"permafrost_index","spectral_NDMI_earlySummer","spectral_NDMI_endSnowfree","spectral_NDMI_peakSummer","spectral_NDMI_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NIR_endSnowfree","spectral_NIR_startSnowfree","spectral_SWIR1_endSnowfree","spectral_SWIR1_lateSummer","spectral_red_lateSummer","spectral_red_peakSummer","texture_NDVI_peakSummer","topo_cti","topo_dem","topo_eastness","topo_tpi","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changeESPS","spectral_EVI2b_changePSLS","spectral_EVI2b_changeLSES","spectral_NBR_annualRange","spectral_NBR_changeSSES","spectral_NBR_changeESPS","spectral_NBR_changePSLS","spectral_NBR_changeLSES","spectral_NDMI_annualMedian","spectral_NDMI_annualRange","spectral_NDMI_changeSSES","spectral_NDMI_changeESPS","spectral_NDMI_changePSLS","spectral_NDMI_changeLSES","spectral_NDVI_annualMedian","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDVI_changePSLS","spectral_NDVI_changeLSES","spectral_NDWI_annualRange","spectral_NDWI_changeSSES","spectral_NDWI_changeESPS","spectral_NDWI_changePSLS","spectral_NDWI_changeLSES","spectral_NIR_annualRange","spectral_NIR_changeESPS","spectral_NIR_changeLSES","spectral_SWIR1_annualRange","spectral_SWIR1_changeESPS","spectral_SWIR1_changePSLS","spectral_SWIR1_changeLSES","spectral_SWIR2_annualRange","spectral_SWIR2_changeSSES","spectral_SWIR2_changeESPS","spectral_SWIR2_changePSLS","spectral_SWIR2_changeLSES","spectral_blue_annualRange","spectral_blue_changeSSES","spectral_blue_changeLSES","spectral_green_annualMedian","spectral_green_annualRange","spectral_green_changePSLS","spectral_red_changeSSES","spectral_red_changeESPS","spectral_red_changePSLS","spectral_red_changeLSES","latitude","site_code","biomass_density_gm2","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other","ecoregion_Canadian.Middle.Arctic.Tundra","ecoregion_Eastern.Canadian.Shield.taiga","ecoregion_Canadian.High.Arctic.tundra","ecoregion_Canadian.Low.Arctic.tundra","ecoregion_Watson.Highlands.taiga","ecoregion_Alaska.St..Elias.Range.tundra","ecoregion_Brooks.British.Range.tundra","ecoregion_Interior.Yukon.Alaska.alpine.tundra","ecoregion_Scandinavian.and.Russian.taiga","ecoregion_Scandinavian.Montane.Birch.forest.and.grasslands","ecoregion_Kalaallit.Nunaat.Arctic.steppe","ecoregion_Northeast.Siberian.coastal.tundra","ecoregion_Yamal.Gydan.tundra","ecoregion_Taimyr.Central.Siberian.tundra","ecoregion_West.Siberian.taiga","ecoregion_Arctic.foothills.tundra","ecoregion_Interior.Alaska.Yukon.lowland.taiga","ecoregion_Copper.Plateau.taiga","ecoregion_Beringia.upland.tundra","ecoregion_Arctic.coastal.tundra","ecoregion_Beringia.lowland.tundra","ecoregion_Kalaallit.Nunaat.High.Arctic.tundra","ecoregion_Pacific.Coastal.Mountain.icefields.and.tundra","ecoregion_Ogilvie.MacKenzie.alpine.tundra","ecoregion_Davis.Highlands.tundra","ecoregion_Northwest.Russian.Novaya.Zemlya.tundra","ecoregion_Ahklun.and.Kilbuck.Upland.Tundra","ecoregion_Chukchi.Peninsula.tundra","ecoregion_Torngat.Mountain.tundra","ecoregion_Russian.Arctic.desert","ecoregion_Cherskii.Kolyma.mountain.tundra","ecoregion_Russian.Bering.tundra","ecoregion_other"
0.982286989688874,-210.360135459724,-577.029096480035,500.393322320286,-604.918835462236,4879.52276373267,4856.81333442534,6086.63481184618,3512.2083591158,1868.18473318508,1926.38447624569,1988.44901373587,2047.60658261946,561.235543172709,710.806736952372,282.890405892936,-0.18925783932209,425.225219726562,-0.000569666735827922,-0.256446212530136,0,1816.33079016044,1243.02677169745,-3.08185058614473,30.2410728997326,-35.0634143032906,-20.5057242184809,1443.78513562877,-18.6928788233998,41.076218983004,-47.0297332238451,-17.7883045523554,-1030.46251300481,1130.6681387651,-17.5921275768026,30.0221834607667,-40.0323919427128,-10.8676311315398,3820.62780749595,4146.70071251918,1903.23779293644,-50.9874928395501,-30.8025024084301,2343.32475129925,-50.0210422472665,-9.00903265804878,-17.5601475802635,21.8849883995164,501.682559555871,12.1711415027379,-6.02826829073287,268.525008590638,6.53769770223885,-11.2544403823782,-0.909883486013848,229.481807562642,-5.48213663261885,3.69633647763297,-7.92030631480641,0.749020524794401,351.864941694712,-6.86442303788634,3.08117491874949,619.264854958498,247.313066445308,-4.48078412413853,-5.88955805713359,-0.235033922809919,-4.30210328523655,3.15102642927929,64.8687599988168,"Canada.DaringLake.LowBirch",277.094,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.997793197631836,-1141.76055301229,1222.76947077602,-923.795304293854,354.636130204331,965.397955596617,1441.54517511928,1557.01640556396,2141.58728809015,961.916200802403,2430.02411077661,967.832920970017,1294.15730872088,810.270108212622,957.59913209308,-168.168098016573,-4.37166357040405,1741.17346191406,-0.109156809747219,24.4707946777344,0,544.810454509949,1125.40697456235,-40.1931062343696,14.8159494916424,2.09115035624955,-12.3990570612132,1904.28392190911,-66.2010021632232,12.8346462315009,31.0023709343736,34.1260270710411,-276.265621091436,2364.53002378831,-53.4427386863077,7.51604305925626,28.1534644870617,62.4597954944775,1441.54517511928,1395.98143132943,1267.22695581303,-5.02048828020344,-23.6327017850899,2290.19431164329,-76.507404430205,26.1966542599231,44.9131390665309,20.7287141489714,1468.10790997421,0.283821047226873,-6.70732760531359,1731.84787292528,-2.85039840597851,-14.443135674718,-13.5968494896193,1307.78923869583,-22.9709272828605,-6.09090275589337,-13.8996348442897,-7.0114788931733,819.367732997925,-27.1207704127313,-1.64981416928599,869.026411411311,938.13732060743,-3.55908503609247,-28.8639102938964,-4.56746074475734,-6.40560973393294,-2.93753899092063,64.2388057569342,"nonveg_919",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.100188583135605,1099.88801588781,1359.19314927943,1590.70165597505,1586.65317257489,5300.45791211788,6177.0003451332,5901.37222926564,4146.62089738673,3024.07442480216,3284.00703393778,2308.48626925899,2434.10355981866,920.951548911375,643.008821767495,-273.931172267045,-0.986966133117676,14.4476661682129,-0.00621568411588669,-0.0654757767915726,0,3352.00478212989,2471.89956088625,22.7266840767796,7.79821674998173,37.6267974836249,-59.9352661928653,1919.03955543544,1.53634129748094,5.68918922721725,48.3970518830091,-61.9045017882399,1048.52112455271,1641.93628953714,-5.29251388119307,6.56318196057925,45.1052094423883,-51.9966875335222,4989.14061661229,5081.87788759676,3200.83044063831,43.936037460294,-62.6692649691079,2504.40736573487,-29.7539433410633,-27.1644058801837,49.1649063284951,-24.1874655050811,1100.64113721861,-0.576096224410001,-35.5045528135036,730.219874380302,-9.7882986227109,24.3406624793434,-18.3706511637145,495.717817927018,-0.522790506354397,-7.17506527204019,16.5239272642339,-8.80546473934266,612.226980420843,-7.77180622650601,-12.6970403408794,795.312413127121,462.401455827079,13.2266756449071,-7.83955690731669,-8.6525678168958,17.8867825136906,-10.0764767724879,61.2704279985922,"USA.YukonKuskokwimDelta.2",261.72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.953537046909332,474.562612370222,391.792917724566,623.411710893534,463.926441543195,4767.46320097457,4990.93756386837,5700.08734077751,2578.6695351064,2569.98362872938,2307.85190239188,2251.16979552045,2286.86444483035,737.396244942617,808.316862871116,-104.046529902938,-1.37073431015014,18.3475711822509,0.00638262005522847,0.228962634503841,0,3041.0858316135,2493.04752266839,56.1282643753896,31.7743489709477,-86.4962457869759,-0.0691032669340454,2339.80223628766,46.0305831966754,36.2395140269225,-139.377593230058,47.0480221048082,852.716021969899,1735.82694938385,32.5839900074393,28.3956975577777,-131.628712954952,51.6957957096819,5183.33385446306,4926.73683390184,4298.26696752339,-141.947490930482,6.92512405371031,1335.11741655531,-2.66529515234824,11.4418832825334,-121.374310595937,60.3146422204055,881.349520462918,10.922379147307,10.1364818685406,1384.51487870995,16.8477345331972,-68.5615917391905,9.47314107595624,624.740869527481,14.2924765063794,7.74315611547788,-36.8913460963976,9.98361587036341,316.484675049813,-0.721113816152642,14.1266181188694,830.96368722247,278.661328649374,-25.332848059034,0.569062319568104,-0.473348365238421,-24.6944988233069,14.7532778576027,71.1787933324421,"Russia.Yamal.Kharasavey-1",18.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.96819075345993,-1314.12195718863,-1525.97173897388,-283.014240405132,-2128.14043342271,3428.63839534583,4241.36326065726,5090.62718453316,1936.40018946035,1678.67338866906,1415.27564207411,2230.50939415741,2146.61098822398,650.845653984231,796.113797262467,235.956312599321,1.85284987092018,117.99236907959,-0.00403043897822499,-0.156556965410709,0,1892.18372368916,2106.25142869945,34.1427765491549,30.717653912924,-28.3599598836296,-9.94830020982906,3225.87669250233,44.0090406805979,55.0784057794908,-38.4131907118482,-23.2342037459576,-1191.0954719284,2207.01196994952,31.970188609324,35.8777555894288,-34.5082684298962,-17.0104777521442,4069.46752231438,3575.14422384475,3494.83405386969,-34.7055083847739,-19.7576461647725,1411.94182953779,-21.8076192587026,-17.7019893795713,-8.66215758223025,56.4285493504071,1028.19687034027,14.6810705091734,4.17819411557869,406.552162677159,2.40103720351623,-9.28363068864249,15.3760660174507,191.172343008888,3.55086769670235,-3.00576515706534,-6.13213952171545,12.2274500598409,213.248280061211,1.89572826010126,10.8882356240188,570.658985604405,210.344934212772,-6.42820025302525,0.351941359569082,-0.33029390805995,-5.46944817706499,12.0615930432129,69.6739277750433,"USA.NorthSlope.FranklinBluffs-C17",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-1596.84006018154,-1201.62432404995,-686.429129275091,-992.060701231564,647.211432541304,-61.583598047562,792.090810834558,-395.344255507965,1822.92977385575,1926.87905082686,1922.49179757453,1336.20726005225,1767.246191194,4909.92199947193,116.982867645677,-3.92962861061096,874.108215332031,0.0529848486185074,0.24509172141552,0,261.981603819776,941.293413141929,9.22051592304883,8.82553015926473,-72.2355165669535,78.4411177618274,1092.86451795241,-13.2354772747345,9.75342917371188,-74.6384707144049,83.1622985005014,-1201.62432404995,1202.82349817145,-15.9152462881574,23.3438700232424,-92.524884474727,57.3023586163828,647.211432541304,402.958167723252,1427.76070430389,-65.6672622217016,91.1666705702904,1149.20020282255,-5.93379544548467,21.1813787408003,-88.4000156017347,54.4386179547214,1320.43278082452,25.7920441293005,49.9041728089294,727.192633315999,3.55810912780555,-45.0114138677378,48.8570447935232,400.141165347443,9.69851282928073,-0.478524296407077,-23.3062655437374,29.4367981219365,1395.1236393319,-24.8256065720871,1.77040512974337,1179.75994304725,1385.32699616636,-94.6584333329247,-28.5576753074732,90.1772024449464,-241.744292944456,-14.7659618261437,80.8848028805404,"nonveg_1037",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.99999988079071,901.092728684745,-1054.4277530345,-1489.68661330878,554.157172788576,3195.33520117985,1149.0180142192,1406.84384890138,1870.50972797621,1280.31248639119,1764.65150879508,1441.74578094925,1451.12297240388,833.781296770135,914.214858909634,-363.822250349319,-2.38980317115784,701.979553222656,0.113934069871902,-0.137973546981812,0,572.186603136725,1172.89684474418,39.8606406473313,-57.5023524318252,-11.4878750809442,3.97512141847132,2434.04964291526,5.99616792880164,-132.087002439245,-4.70696658407049,53.383286475024,-1054.4277530345,2519.56757238244,20.4079738762452,-132.821074555196,-10.7323525324102,43.3882377433232,1406.84384890138,1763.36951614607,2046.31718696065,-21.4854862235151,3.54790571034652,2580.01487777305,51.972266645129,-136.96817244031,-9.5489811539563,40.6765724076066,962.587595104892,-47.898402489855,5.63763181521332,1153.52340263355,-54.9575229991559,-12.9092330995095,-0.721322419586893,765.929330093802,31.1835140314756,-30.2184860645064,-10.8522468959216,-7.05920139858664,792.820079526282,18.2903518206345,7.40861606639743,688.577599173587,746.130723675129,-5.95998184815532,15.2549279517433,-37.0329176495785,-6.70279684495823,4.48071355090654,72.8369972801475,"nonveg_832",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.981321334838867,-618.610505442007,233.20987394281,-413.835737783744,-488.955641209323,5094.86902568368,5566.88494769213,5531.36107983957,3450.81024233551,2059.9313624756,1958.95692274051,1839.36709172097,2229.36950949598,756.971523473689,679.901251692487,-363.380830654982,-0.630571617020502,317.26468234592,0.0229185914827718,-0.341863647931152,0,2823.72908021726,1259.44652834638,18.5985799436307,15.0991144674146,16.7117761316497,-52.1283807236084,2111.61125566706,-22.5673966686934,30.5992348491329,68.0129691690113,-36.7338698321727,742.955720937321,1895.30049661604,-28.2940371969125,22.5645296654371,68.9405075732428,-13.2132378053027,5447.16414015203,5608.68439823703,2310.64832816591,25.5836053494564,-77.5538488138008,2281.19552228497,-59.1016039836107,-21.5982969222025,47.875629731538,4.03420358961173,479.24059266425,4.71799316674085,-25.6617825212703,690.582817975479,-5.77151197859619,-4.53919904725242,-24.5279659858692,345.931192429305,-0.866616607503261,-4.65353126689105,3.0971278944971,-13.4701012655734,279.121063316769,-8.43336336809723,-7.90255597847766,651.145290317107,239.132535575351,11.4859145494919,-11.170023609324,-2.27474929855531,13.3370365700766,-5.02416737551284,61.3059040985947,"Canada.ChukotkaRiver.TH1",27.92,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.907925665378571,-2031.34703172572,-2198.66339398406,-2436.84521225226,-2333.84729328224,1886.42907710766,2689.62519139985,1602.81439892617,1668.20913392313,279.434334264113,1378.61278752885,393.64692448221,1654.72252090234,896.548784889201,776.680535201881,-119.11771473508,-3.41249084472656,1743.4208984375,-0.0957410261034966,-10.2676610946655,0,261.643186864125,646.274575897633,19.9966877643663,-24.2599819255533,17.9999678730184,-23.0812348534869,1142.48045056329,18.7057928827368,-26.5360266159876,41.9356369376307,0.364937615973759,-2198.66339398406,622.836355414277,20.1666841037678,-27.0332120351023,23.0680131634917,-13.7376620409313,1668.20913392313,1825.52823374308,1409.06182404125,40.2522515730993,-50.3236365729017,1301.54199233957,24.0580340447207,-18.9168387191138,35.6485289212511,9.35406362791735,1128.60175934796,-28.3448258528305,-35.7524979492906,1637.42157774484,-33.7270790844697,4.79852610897515,-45.0384141578617,1548.04750950554,-0.454483045110449,-28.6870096413324,-2.55555978686039,-37.2116073201311,473.331700372891,3.54195282439586,-16.4759906128674,869.626122728872,732.77842449016,6.04672504024774,-4.30341402487508,-19.0502191475796,4.43956480323408,-24.3328866168037,61.4917392080328,"nonveg_1442",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.968381643295288,-661.239440632575,-439.810058257122,820.684571392466,273.262974290868,4686.44993361118,5530.83826575918,6355.3633881789,5028.72894561025,2212.84254231345,2446.63476738029,2407.60657437068,2380.30206996015,705.953503999689,694.004021355896,238.736415099994,-1.996253490448,315.569763183594,0.0229436401277781,-0.117648042738438,0,2829.75468148812,1804.43012715636,2.33018035597018,36.0462144187745,-38.1431604260084,-43.8763908083715,2916.66192448685,-29.8046723881312,71.1763280550242,-69.2236705853326,-63.3518714367967,148.435445307157,2140.85948687951,-23.1693103598295,50.2814566248829,-49.4146780875738,-47.8971167705859,5104.22451886291,5253.32185191173,2709.76847937032,-57.9920699475277,-65.1792245693052,2119.76949872596,-56.3718342856007,-1.26121000759874,-22.9446840231261,6.60202829775624,739.318216462695,14.9590905519016,-16.8865567265702,446.377668113763,2.82701314386011,-7.53811128901062,-1.92373424009789,491.063612150672,-12.1186582591251,-0.593327484933352,-6.11521290145912,2.05536478774343,234.670037591391,-5.84383491971605,-0.634347842362613,666.350314413307,193.11778003444,-3.45356219462592,-8.46639728121472,-0.90554196931887,-2.28711667036428,3.26315840202624,69.1564599990207,"USA.NorthSlope.10",102.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
