"permafrost_index","spectral_NDMI_lateSummer","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_red_peakSummer","texture_NDVI_peakSummer","topo_cti","spectral_NDVI_changeESPS","spectral_NDWI_annualRange","spectral_SWIR1_changeLSES","spectral_SWIR2_annualRange","spectral_blue_changeSSES","site_code","biomass_density_gm2","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other","world_terrestrial_ecosystems_X16","world_terrestrial_ecosystems_X49","world_terrestrial_ecosystems_X50","world_terrestrial_ecosystems_X47","world_terrestrial_ecosystems_X5","world_terrestrial_ecosystems_X29","world_terrestrial_ecosystems_X1","world_terrestrial_ecosystems_X27","world_terrestrial_ecosystems_X57","world_terrestrial_ecosystems_X59","world_terrestrial_ecosystems_X45","world_terrestrial_ecosystems_X56","world_terrestrial_ecosystems_X51","world_terrestrial_ecosystems_X10","world_terrestrial_ecosystems_X25","world_terrestrial_ecosystems_X18","world_terrestrial_ecosystems_X55","world_terrestrial_ecosystems_X54","world_terrestrial_ecosystems_X53","world_terrestrial_ecosystems_X63","world_terrestrial_ecosystems_X58","world_terrestrial_ecosystems_X52","world_terrestrial_ecosystems_X22","world_terrestrial_ecosystems_X19","world_terrestrial_ecosystems_X75","world_terrestrial_ecosystems_X72","world_terrestrial_ecosystems_X46","world_terrestrial_ecosystems_X12","world_terrestrial_ecosystems_X43","world_terrestrial_ecosystems_X74","world_terrestrial_ecosystems_X89","world_terrestrial_ecosystems_X90","world_terrestrial_ecosystems_X68","world_terrestrial_ecosystems_X70","world_terrestrial_ecosystems_X78","world_terrestrial_ecosystems_X14","world_terrestrial_ecosystems_X66","world_terrestrial_ecosystems_X88","world_terrestrial_ecosystems_X31","world_terrestrial_ecosystems_X48","world_terrestrial_ecosystems_X11","world_terrestrial_ecosystems_X98","world_terrestrial_ecosystems_X34","world_terrestrial_ecosystems_X115","world_terrestrial_ecosystems_X111","world_terrestrial_ecosystems_X4","world_terrestrial_ecosystems_X7","world_terrestrial_ecosystems_other"
0.248646378517151,3264.54372097159,6010.65409358203,5879.10980149251,7167.48967603256,446.597958207006,128.233380120888,3.07163429260254,53.1213924637297,2210.22569785467,-7.32826528184578,402.683870972839,-8.40128467996354,"Norway.Javrresduottar.A-Salix",1035.82666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.105009347200394,1279.70744114435,4850.30649132891,4374.52935530944,5730.31882239795,986.371455482583,-39.2203204297907,-1.41681778430939,43.7953831393482,1439.8532719673,-3.34131198310926,365.572046858209,-2.45635039325272,"USA.YukonKuskokwimDelta.UB7",239.74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0568372057750823,1784.56665337715,5544.24742072722,5660.28635244781,6573.80527169528,324.244893749197,-15.1034218211225,-2.64623129367829,55.4458720071029,3842.52709596988,6.58950055205748,371.521167042535,-58.2284631814686,"Sweden.Abisko.KJ-BirchShrub",811.703333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.905551075935364,-5380.37709903469,1116.92116472571,1610.22697108821,581.816465045836,551.360250638483,-884.531031381493,-3.36046838760376,6.31484166327927,2782.45476915721,27.7092494863683,267.95729208726,-35.6268127157321,"nonveg_903",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-1516.46128448603,1528.78972666063,1978.55214825322,1723.982587161,1278.92993695061,-70.9979496836528,-0.660196446455441,-1.38325857112771,1304.39974173167,12.1062108527352,508.675801244796,-4.46822612627632,"Canada.EllefRingnesIsland.Isachsen-C01",15.0384615384615,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0814584107138216,1554.21416665589,6088.66333017451,5748.55745764841,6812.86653103063,677.640632729143,119.328513023745,0.433092549443245,36.521399607418,2610.6330425993,-11.8489193396182,611.120946084606,-24.7379400098437,"Sweden.Abisko.NF-SeasonallyFlooded",225.9775,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.99519670009613,-1960.23625595134,1251.85847929265,1103.64167534315,1442.75274978576,1958.18603527434,-170.75416440819,0.0171347204595804,10.024777197023,297.995176808011,-13.9780180889196,414.306881268448,2.90845356224979,"nonveg_849",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00999999977648258,1185.16695599224,5357.94811994337,5234.54626872589,5987.90011139461,647.197324878356,20.1431023984294,-1.2484455064491,23.466889117809,1126.80911484052,-8.13930413862879,360.311984499167,-1.67367317659827,"USA.YukonKuskokwimDelta.72B1",580.83037037037,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.848006188869476,1312.1064222181,5746.23909516936,4930.72345729628,6419.56335551875,659.257376348087,-77.1737678986466,-1.34663196404775,48.4132923916903,745.964837229913,-24.3652864984763,360.8652571454,1.20787390514966,"Russia.Tazovsky.Burned28",797.24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.884397149085999,437.543954768735,5357.73647910977,5556.67855138192,6013.41723289325,575.849346185362,104.033263109712,-2.51939786805047,41.2250875211626,2296.0879155071,16.0283286210955,220.587576998295,-5.45730809277987,"Canada.PayneLake.TDA0",915.87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
