"permafrost_index","trees_cover","trees_presence","spectral_EVI2b_annualRange","spectral_NDVI_annualMean","spectral_NDWI_annualRange","spectral_red_changeSSES","site_code","biomass_density_gm2","ecoregion_Canadian.Middle.Arctic.Tundra","ecoregion_Eastern.Canadian.Shield.taiga","ecoregion_Canadian.High.Arctic.tundra","ecoregion_Canadian.Low.Arctic.tundra","ecoregion_Watson.Highlands.taiga","ecoregion_Alaska.St..Elias.Range.tundra","ecoregion_Brooks.British.Range.tundra","ecoregion_Interior.Yukon.Alaska.alpine.tundra","ecoregion_Scandinavian.and.Russian.taiga","ecoregion_Scandinavian.Montane.Birch.forest.and.grasslands","ecoregion_Kalaallit.Nunaat.Arctic.steppe","ecoregion_Northeast.Siberian.coastal.tundra","ecoregion_Yamal.Gydan.tundra","ecoregion_Taimyr.Central.Siberian.tundra","ecoregion_West.Siberian.taiga","ecoregion_Arctic.foothills.tundra","ecoregion_Interior.Alaska.Yukon.lowland.taiga","ecoregion_Copper.Plateau.taiga","ecoregion_Beringia.upland.tundra","ecoregion_Arctic.coastal.tundra","ecoregion_Beringia.lowland.tundra","ecoregion_Kalaallit.Nunaat.High.Arctic.tundra","ecoregion_Pacific.Coastal.Mountain.icefields.and.tundra","ecoregion_Ogilvie.MacKenzie.alpine.tundra","ecoregion_Davis.Highlands.tundra","ecoregion_Northwest.Russian.Novaya.Zemlya.tundra","ecoregion_Ahklun.and.Kilbuck.Upland.Tundra","ecoregion_Chukchi.Peninsula.tundra","ecoregion_Torngat.Mountain.tundra","ecoregion_Russian.Arctic.desert","ecoregion_Cherskii.Kolyma.mountain.tundra","ecoregion_Russian.Bering.tundra","ecoregion_other"
0.99999988079071,0,0,949.687983523574,2470.31661016565,1747.51902140323,1.3066782988067,"Canada.PrincePatrickIsland.MouldBay-C03",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.961219489574432,0,0,2691.29768020322,4706.78300655556,2412.50389810833,-7.37347062825722,"Canada.DeceptionBay.TH8",64.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.96023416519165,0,0,1048.06603090849,682.009447107421,1949.46270496307,-5.68550400673349,"nonveg_751",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.96023416519165,0,0,1048.06603090849,682.009447107421,1949.46270496307,-5.68550400673349,"nonveg_751",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.204901129007339,50,1,2115.74244634052,5564.66790312615,1525.75886941038,-4.27144592037349,"USA.InteriorAlaska.2",1152.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999999940395355,0,0,1291.59100353575,1059.89216018135,2371.06102163967,-3.872756789192,"nonveg_809",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999985814094543,0,0,1275.86299707842,-283.951020520178,772.873772999742,-21.5497566984724,"nonveg_1161",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.403201431035996,0,0,1021.99572175827,1664.98323823439,1240.60266756571,5.83585915025176,"nonveg_807",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999996364116669,0,0,521.712226096517,1203.2929008671,651.112727058164,-2.06029157074558,"nonveg_975",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00999999977648258,0,0,1727.91495409382,5535.79329865351,1173.20410743462,0.965164638411156,"USA.YukonKuskokwimDelta.72B1",301.147037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.994365394115448,0,0,408.694461438575,1275.95703286608,697.278529400152,-10.6948756040408,"nonveg_874",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999953091144562,0,0,342.636258415066,915.318957644759,226.435661550868,2.91160133831262,"nonveg_543",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999647259712219,0,0,740.014610272523,285.523185398137,821.13810076621,-7.36291851298392,"nonveg_1268",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.568415880203247,0,0,1180.8840042296,5256.27013442621,2612.21620388847,-4.77766820086238,"Russia.Yamal.Nadym-2-IH",191.023333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.204901129007339,50,1,2115.74244634052,5564.66790312615,1525.75886941038,-4.27144592037349,"USA.InteriorAlaska.2",1152.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00999999977648258,0,0,2489.96481819151,1221.87448024111,2543.54930287402,0.334366057567818,"nonveg_532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.999995946884155,0,0,713.981458193315,649.437217846888,784.832225157888,8.14981953492747,"nonveg_900",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,477.500140783987,731.585869567533,228.748027996106,13.2079840491666,"nonveg_994",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.232790768146515,0,0,1347.13159563005,4883.45965410074,1951.62595864961,-0.67754932035227,"Norway.Javrresduottar.EC-Betula",311.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.106934994459152,19,1,511.658169046069,3837.19997346157,1973.00909451291,-5.79662595354575,"Sweden.Abisko.NF-Wetland",137.633333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,660.518271661548,634.91380485003,824.215014960121,-0.958591528869538,"nonveg_912",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.99999988079071,0,0,1261.37772211612,1569.93107829566,2160.63617260799,-1.75182057157061,"Canada.PrincePatrickIsland.MouldBay-C00",34.1626666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00999999977648258,0,0,1059.01588019693,-899.357569024149,1498.07057629146,4.20236085528508,"nonveg_1677",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.974101960659027,0,0,1435.57067141527,4130.15049001059,2913.67162323102,-10.1666365515292,"USA.NorthSlope.11",36.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00999999977648258,0,0,1059.01588019693,-899.357569024149,1498.07057629146,4.20236085528508,"nonveg_1677",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.983469009399414,0,0,1398.20867348318,1608.35455355781,1397.20097709479,-0.427034008016999,"nonveg_915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.989387691020966,0,0,778.077176729154,1343.20815412442,2048.90139472166,-3.1132526717,"nonveg_680",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999980211257935,0,0,474.476172765337,3086.196747645,1785.87190146483,-3.52387284962369,"Canada.BanksIsland.GreenCabin-C00",41.2933333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.849595586458842,0,0,1073.49479567162,4498.45358786562,2219.09490789015,0.1564026308303,"Russia.Tazovsky.Unburned28",126.353333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00999999977648258,46,1,2728.74454069268,7381.75112299554,1257.27239825935,2.45126517791732,"Finland.Kevo.4",3822.966,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.171971887350082,0,0,1046.86960750476,610.714019164971,1066.9492609262,-10.6416310099673,"nonveg_1316",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.849919676780701,21.5555555555556,1,2334.47687870672,5654.49641848993,2702.3142308279,-4.87542902212281,"Canada.LeRoyLake.TDA3",1266.24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.984190464019775,0,0,1203.29245449876,4880.12184331784,1883.53860792476,-1.67946891683484,"USA.NorthSlope.Oumalik1",16.8348888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.104498048623403,0,0,1941.63580603475,5079.0672884889,1319.22602483606,3.4037910602193,"USA.YukonKuskokwimDelta.UB7",268.483333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.00999999977648258,0,0,2136.5062164556,4744.70006197117,3945.16289355589,-21.9206005795635,"USA.YukonKuskokwimDelta.3",198.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.999643504619598,0,0,968.614544799948,924.274004914269,1605.17879957028,7.3618274305724,"nonveg_681",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
