"permafrost_index","spectral_EVI2b_endSnowfree","spectral_NBR_lateSummer","spectral_NDMI_endSnowfree","spectral_NDMI_lateSummer","spectral_NDMI_peakSummer","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_green_earlySummer","spectral_red_peakSummer","texture_NDVI_peakSummer","topo_cti","trees_presence","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NBR_annualRange","spectral_NDMI_annualMedian","spectral_NDMI_annualRange","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDVI_changeLSES","spectral_NDWI_annualRange","spectral_NDWI_changeESPS","spectral_NIR_changeSSES","spectral_NIR_changeESPS","spectral_NIR_changeLSES","spectral_SWIR1_annualRange","spectral_SWIR2_annualRange","spectral_SWIR2_changeSSES","spectral_SWIR2_changeESPS","spectral_red_changeSSES","spectral_red_changePSLS","longitude","site_code","biomass_density_gm2","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other","world_terrestrial_ecosystems_X16","world_terrestrial_ecosystems_X49","world_terrestrial_ecosystems_X50","world_terrestrial_ecosystems_X47","world_terrestrial_ecosystems_X5","world_terrestrial_ecosystems_X29","world_terrestrial_ecosystems_X1","world_terrestrial_ecosystems_X27","world_terrestrial_ecosystems_X57","world_terrestrial_ecosystems_X59","world_terrestrial_ecosystems_X45","world_terrestrial_ecosystems_X56","world_terrestrial_ecosystems_X51","world_terrestrial_ecosystems_X10","world_terrestrial_ecosystems_X25","world_terrestrial_ecosystems_X18","world_terrestrial_ecosystems_X55","world_terrestrial_ecosystems_X54","world_terrestrial_ecosystems_X53","world_terrestrial_ecosystems_X63","world_terrestrial_ecosystems_X58","world_terrestrial_ecosystems_X52","world_terrestrial_ecosystems_X22","world_terrestrial_ecosystems_X19","world_terrestrial_ecosystems_X75","world_terrestrial_ecosystems_X72","world_terrestrial_ecosystems_X46","world_terrestrial_ecosystems_X12","world_terrestrial_ecosystems_X36","world_terrestrial_ecosystems_X43","world_terrestrial_ecosystems_X74","world_terrestrial_ecosystems_X89","world_terrestrial_ecosystems_X90","world_terrestrial_ecosystems_X68","world_terrestrial_ecosystems_X70","world_terrestrial_ecosystems_X78","world_terrestrial_ecosystems_X14","world_terrestrial_ecosystems_X66","world_terrestrial_ecosystems_X88","world_terrestrial_ecosystems_X31","world_terrestrial_ecosystems_X48","world_terrestrial_ecosystems_X11","world_terrestrial_ecosystems_X98","world_terrestrial_ecosystems_X34","world_terrestrial_ecosystems_X115","world_terrestrial_ecosystems_X111","world_terrestrial_ecosystems_X4","world_terrestrial_ecosystems_X7","world_terrestrial_ecosystems_other"
0.852258950471878,2443.38005302602,3861.94262707413,845.805302994096,1046.43176592018,1535.70139774842,4103.68295694368,3634.44455977718,4430.0789693136,5231.63779528232,1135.36432803454,1162.63874762269,319.1700472597,-1.10209053754807,0,2356.29620278449,28.2606431533147,3894.02293568942,199.362070833845,3075.71741875313,3980.922105307,3387.39712212896,-55.3740069912976,779.452254282862,0.755642696982939,12.5433638568767,19.3792424545432,-12.1067071885437,723.924674225317,566.727063808627,4.68010270127532,9.99136019610946,0.983310308549225,-12.5762642762694,78.9646236666667,"Russia.Tazovsky.Unburned28",159.72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999999403953552,266.789804043045,-1503.0149463374,-1234.54607594878,-1761.43260629164,-2084.43067039811,643.242190166423,422.796636199338,-36.0838334697007,-268.629631037424,1451.61659367686,1160.21221275323,739.880191773936,-4.40299320220947,0,751.488446618201,8.08828019943632,1467.83682419754,-1234.54607594878,1155.09624312277,191.607974799011,911.871821203846,24.1516036667915,1039.40812837851,-28.0921115777975,3.37824063517237,-21.1070890138114,14.4800216190225,696.231632063117,543.374004400538,-1.07722412772054,-13.6376739406108,-0.974811505788245,13.475965830341,142.50105592897,"nonveg_703",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.105609303712845,3129.78771407569,4454.05799543812,1112.62510103655,975.331308267039,684.705400391674,6164.01514213093,5858.30535023227,6639.46755881275,6811.12788350954,658.215907307281,410.715196043534,-14.4155501110884,-1.32883515954018,0,1992.35933726646,34.6563997947854,3500.89603504541,304.912076589635,2642.73463630087,5980.06028473208,3171.30204285485,-104.058187673593,1221.86926877929,-23.2669356148469,15.2611228895358,6.0971211464657,-52.2867193806951,1039.24805411596,886.58822109743,7.87670778728877,-6.64970421961188,4.90826853418136,23.1383360094812,18.8222566,"Sweden.Abisko.NF-BirchShrub",810.138,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1323.92436543898,-3673.1984060532,2013.61774196147,-3130.80346414913,-2284.45891025637,1952.61728990624,1900.383065157,2438.45890443987,2708.26276336389,590.234668589888,621.668032878301,-273.623096457273,-3.51582336425781,0,1272.37656287174,-36.2098668383158,6121.31134300926,-2284.45891025637,5144.4212061106,2295.52090505761,807.879698206896,-24.457992694676,9771.79084107788,4.45795444493183,-32.9200132362952,9.99350613930593,-3.470757301209,603.237667248748,401.29502152166,-19.210616911423,5.84029333072583,-18.2704450738301,-1.05374864572938,128.205069359599,"nonveg_991",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,344.248423671371,-2476.55156259721,-3142.85492297483,-3048.58091043472,-2941.97654412489,594.793129707903,630.350113457035,825.456610458211,986.663501228105,1428.3616147234,1554.94280744654,-321.500071327267,-1.66025447845459,0,270.338216589942,-0.0278004910794144,903.639112612622,-3011.94432261438,832.658904519236,707.224768500648,487.803013576119,-32.5177495001961,612.616405796437,8.19379311073247,-11.0816595346193,1.48508476734807,-15.1809420968682,220.728489525102,159.138428224851,-1.91679294777047,1.87825237031075,-12.9228240933191,-9.08637537126879,-114.240276242954,"nonveg_976",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.998387336730957,2430.82563518653,4242.89943225059,-158.467072011077,937.4243064695,1336.32033946999,4801.92655189493,4323.9918450753,5727.75114744269,6500.42146359662,772.437153007618,618.903543101589,215.507663196343,-1.44109570980072,0,2811.15291449708,50.3220660156447,4047.51114972005,130.729436768579,3094.15760200585,4733.1741662922,4252.53706528536,-58.1359219682631,1418.37426075068,-24.1740399793891,18.3928956011934,12.0594874113919,-15.9883105345154,377.329842264352,416.1978848302,-2.01298072838558,-9.52880213187343,-1.19379578829176,0.553033131863081,161.514128,"Russia.Kolyma.OW1",354.233333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.726705133914948,3580.90931950839,5728.49721679298,1222.72737176388,2328.09933673297,2728.48816594047,6507.65164312345,6083.55882568274,7428.22943932262,8022.43465481427,618.195500120836,386.655036888114,101.754379910629,-2.51556899812487,1,2763.96170810205,33.662346951138,1515.72834073724,1784.27790843279,1399.9710570166,6641.95857708285,3861.86349846379,-59.6741850305433,3905.73623113097,-30.7946650826641,3.89055728360598,13.175681972252,-23.5461660847723,561.991376332945,486.800621165356,-4.05599262472231,-3.9356921210967,-13.5869195089917,3.26731073538894,-74.422635,"Canada.ClearwaterLake.AB1",1793.41,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.153082367777824,3430.7179223803,4965.51902315543,996.471009106688,1807.15913566725,1882.06420111655,6503.793997447,5860.98948379121,7050.33604115875,7247.87029879485,700.614151430395,500.153495146758,-137.274744659794,-1.57872598171234,0,2395.72055310587,48.6620394149761,4509.85372697024,1548.56018096467,3730.91453207688,6461.04796943759,3631.39216284867,-93.6271804407895,2188.90666309289,-50.9979190436924,19.4542086715729,-3.74747816479275,-35.0568835473016,795.298444658273,602.917733364114,0.175330710181912,-16.7477148156698,2.46332749678041,19.862934764962,21.2504038,"Finland.Kilpisjarvi.16",590.288,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.913195550441742,-354.823408293595,-4470.85519366163,-4859.46596731451,-4888.36776663049,-3636.30276800736,1021.35254156937,21.8795333284357,467.876232287024,2019.88372508035,931.682006034957,971.482499812371,-554.110677753418,-1.60847091674805,0,1530.82545412781,6.84511820381241,2743.49515898951,-3636.30276800736,2686.35831294026,776.966282810982,1998.00419175191,-24.7775943865882,1555.88037379066,-3.56035250698208,-7.11766803354744,8.46562228447536,-4.49462628860914,974.837573788617,606.415776288407,6.17388882939543,3.98569359694606,-11.6720759868157,-23.2503270536233,-51.9861384712615,"nonveg_1340",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.994602529207865,2144.36165291975,1999.61009836302,-1062.06293593957,-962.349076872955,-1071.10116782548,3756.92514550118,4318.20017199414,4547.83892729354,4549.78419867643,750.863345771229,794.3219395778,-11.8187490682718,-2.14928693241543,0,2218.29033481793,44.4327004906964,3156.02161671221,-1526.21493824416,2373.68529522467,3840.70734009861,3514.78142442974,-111.988331762662,1415.20780492904,-44.2252439040327,22.1317278999114,-11.0877866253303,-54.270818389208,532.255874511874,412.490471920459,6.8575548847808,-9.78042405667625,4.8505273260343,38.2654250864623,-157.450722,"USA.NorthSlope.Atqasuk",17.4221111111111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
