"permafrost_index","spectral_NDVI_peakSummer","spectral_red_earlySummer","trees_presence","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NDMI_annualRange","spectral_NDMI_changeESPS","spectral_NDWI_changeESPS","spectral_NIR_changeLSES","spectral_SWIR1_annualMean","spectral_SWIR2_annualRange","spectral_SWIR2_changeLSES","site_code","biomass_density_gm2","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other","world_terrestrial_ecosystems_X16","world_terrestrial_ecosystems_X49","world_terrestrial_ecosystems_X50","world_terrestrial_ecosystems_X47","world_terrestrial_ecosystems_X5","world_terrestrial_ecosystems_X29","world_terrestrial_ecosystems_X1","world_terrestrial_ecosystems_X27","world_terrestrial_ecosystems_X57","world_terrestrial_ecosystems_X59","world_terrestrial_ecosystems_X45","world_terrestrial_ecosystems_X56","world_terrestrial_ecosystems_X51","world_terrestrial_ecosystems_X10","world_terrestrial_ecosystems_X18","world_terrestrial_ecosystems_X25","world_terrestrial_ecosystems_X55","world_terrestrial_ecosystems_X54","world_terrestrial_ecosystems_X53","world_terrestrial_ecosystems_X63","world_terrestrial_ecosystems_X58","world_terrestrial_ecosystems_X52","world_terrestrial_ecosystems_X22","world_terrestrial_ecosystems_X19","world_terrestrial_ecosystems_X75","world_terrestrial_ecosystems_X72","world_terrestrial_ecosystems_X46","world_terrestrial_ecosystems_X12","world_terrestrial_ecosystems_X43","world_terrestrial_ecosystems_X74","world_terrestrial_ecosystems_X89","world_terrestrial_ecosystems_X90","world_terrestrial_ecosystems_X68","world_terrestrial_ecosystems_X70","world_terrestrial_ecosystems_X78","world_terrestrial_ecosystems_X14","world_terrestrial_ecosystems_X66","world_terrestrial_ecosystems_X88","world_terrestrial_ecosystems_X31","world_terrestrial_ecosystems_X48","world_terrestrial_ecosystems_X11","world_terrestrial_ecosystems_X98","world_terrestrial_ecosystems_X34","world_terrestrial_ecosystems_X115","world_terrestrial_ecosystems_X111","world_terrestrial_ecosystems_X4","world_terrestrial_ecosystems_X7","world_terrestrial_ecosystems_other"
0.999995946884155,1050.26505984132,1999.87124480149,0,515.983514851242,-8.30711624450924,749.387415119912,15.7058163779067,9.5558068289471,-75.609570934852,2737.14800475813,1067.10730729658,-69.4131996204394,"nonveg_940",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.866365134716034,-160.861741053956,250.461910630188,0,1102.09410576979,160.642859036655,3212.37807537339,1294.48834007126,1013.96339639453,13.1435625093252,254.63745996995,445.062692634936,6.92461255808958,"nonveg_1994",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999988257884979,261.7680503614,1473.30009910783,0,587.943567353498,-3.90574651715078,1287.78510068494,-8.61143947770713,-4.4982172081637,-30.5974625214129,2651.90421555066,2476.53788435731,-16.3344741516131,"nonveg_572",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.984104573726654,6533.45868594122,775.717716159905,0,1793.13673099292,23.2073015052436,1662.39317689622,38.6176310885356,-13.8235163273181,-5.28749464566212,2105.83765864816,599.351478066418,11.6125515219252,"USA.NorthSlope.Oumalik2",60.234,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.157767906785011,7636.17326665693,482.247478654731,1,2043.44210526395,55.4285701626733,3939.26671069317,27.368889352932,-47.9271192947339,-24.9721360180838,1648.98806030912,553.582288763242,0.126994033090682,"Finland.Kilpisjarvi.15",2262.502,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1026.51689336575,1229.1420068008,0,481.031582786104,5.11885097828163,1768.03900498992,3.75018408106772,-1.87438105391227,-38.3956629520516,2664.79694984632,725.693195912956,-55.4371684198605,"nonveg_984",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999979972839355,1929.2015541233,1696.4667622014,0,2316.27083889157,-23.6511561466212,2748.85894949971,65.8717222904735,49.3122798594272,30.6413438117589,2247.35499399256,632.609431769878,7.50759400901946,"nonveg_670",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.248646378517151,7758.97997704585,541.641969989648,0,3016.15871273623,58.7769560935571,2722.11379072804,35.538307749114,-31.8095708673956,-33.2659129623567,1457.53245705825,174.416202989257,-2.20103139866547,"Norway.Javrresduottar.A-Salix",1144.85333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.841060340404511,-1219.05518358578,1279.29490270427,0,1011.40663209805,8.64706305999344,2797.17322906013,0,0,61.7908854584373,26.1424046929104,326.778108506474,11.2682106381543,"nonveg_1236",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00999999977648258,5734.78899889344,859.623652066975,0,1002.94734352912,13.9465542624504,1441.18481326578,19.8566141001614,-5.28559782766886,-7.72827649383915,2529.73410142652,238.678156942138,-4.91922228552104,"Finland.Kevo.10",218.012,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
