"permafrost_index","spectral_EVI2b_startSnowfree","spectral_NBR_peakSummer","spectral_NDMI_earlySummer","spectral_NDVI_peakSummer","spectral_NIR_endSnowfree","spectral_red_endSnowfree","spectral_red_lateSummer","texture_NDVI_peakSummer","topo_tpi","trees_presence","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NBR_annualRange","spectral_NBR_changeSSES","spectral_NDMI_changeLSES","spectral_NDVI_annualMedian","spectral_NDVI_annualRange","spectral_NDVI_changePSLS","spectral_NDVI_changeLSES","spectral_NDWI_annualRange","spectral_NDWI_changeSSES","spectral_NDWI_changeESPS","spectral_NDWI_changeLSES","spectral_NIR_annualRange","spectral_NIR_changeESPS","spectral_SWIR1_annualMedian","spectral_SWIR1_changeLSES","spectral_SWIR2_annualRange","spectral_SWIR2_changeSSES","spectral_SWIR2_changeLSES","spectral_blue_changeSSES","spectral_blue_changeESPS","spectral_blue_changeLSES","spectral_red_annualRange","site_code","biomass_density_gm2","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other","world_terrestrial_ecosystems_X16","world_terrestrial_ecosystems_X49","world_terrestrial_ecosystems_X50","world_terrestrial_ecosystems_X47","world_terrestrial_ecosystems_X5","world_terrestrial_ecosystems_X29","world_terrestrial_ecosystems_X1","world_terrestrial_ecosystems_X57","world_terrestrial_ecosystems_X59","world_terrestrial_ecosystems_X45","world_terrestrial_ecosystems_X56","world_terrestrial_ecosystems_X51","world_terrestrial_ecosystems_X10","world_terrestrial_ecosystems_X25","world_terrestrial_ecosystems_X18","world_terrestrial_ecosystems_X55","world_terrestrial_ecosystems_X54","world_terrestrial_ecosystems_X53","world_terrestrial_ecosystems_X63","world_terrestrial_ecosystems_X58","world_terrestrial_ecosystems_X52","world_terrestrial_ecosystems_X22","world_terrestrial_ecosystems_X19","world_terrestrial_ecosystems_X75","world_terrestrial_ecosystems_X72","world_terrestrial_ecosystems_X46","world_terrestrial_ecosystems_X12","world_terrestrial_ecosystems_X43","world_terrestrial_ecosystems_X36","world_terrestrial_ecosystems_X74","world_terrestrial_ecosystems_X89","world_terrestrial_ecosystems_X90","world_terrestrial_ecosystems_X68","world_terrestrial_ecosystems_X70","world_terrestrial_ecosystems_X78","world_terrestrial_ecosystems_X14","world_terrestrial_ecosystems_X66","world_terrestrial_ecosystems_X88","world_terrestrial_ecosystems_X31","world_terrestrial_ecosystems_X48","world_terrestrial_ecosystems_X11","world_terrestrial_ecosystems_X98","world_terrestrial_ecosystems_X34","world_terrestrial_ecosystems_X115","world_terrestrial_ecosystems_X111","world_terrestrial_ecosystems_X27","world_terrestrial_ecosystems_X4","world_terrestrial_ecosystems_X7","world_terrestrial_ecosystems_other"
0.999793112277985,-591.630151915949,-1087.88939634112,-1937.42190229986,1610.76924423262,1514.49952663392,1350.48721770299,1364.6953562738,-433.271350489465,23.57275390625,0,1419.16897743536,32.7395628149891,1779.29249470394,39.3193948912602,-35.5581538684291,668.413230541878,2440.42748939319,-3.98074225720651,-66.0129124012517,987.308985948608,8.36841547546053,9.90728128072871,-27.1557098038801,947.459059453796,18.3712199110456,2108.30819874616,12.2249183915001,1030.43609155653,7.97187468303354,14.2316832133234,3.20832725590722,8.61625332047928,-7.90347910613034,562.475080431791,"nonveg_616",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.181683570146561,1639.36000958519,2146.41804987199,-1085.43743370478,5075.51123321252,2114.30736176848,814.669102734835,781.779450022163,-219.044186295402,4.74538621902466,0,1376.99354576133,30.310269728738,1690.5411281184,28.568818117303,-85.3251733051216,4691.11088921437,2038.41355059362,-17.194062113234,-102.71261733345,2601.96627442955,-10.9500184939877,-26.4051943605362,-73.7730438375305,844.552617926045,-3.50561729854913,2752.66520252067,-44.1242099755392,877.384716886866,5.91469654647109,-31.8891332371973,-1.259611407715,-5.65526933768249,-17.0525066626767,539.45532656328,"Finland.Kevo.12",293.596,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999938666820526,950.443830283279,-384.834190496931,-2453.58455069898,1943.18823868861,1637.4756433527,1248.85863906385,1773.22854482743,35.6179764311019,0.204385504126549,0,1018.46742491335,-13.941865083688,1224.0002651886,-29.6897739193743,-105.379242088306,1540.94856035173,1435.39476520609,0.760417256439632,-130.490433200554,1655.3194267712,-38.7034160283914,41.5614930425814,-150.483584251927,865.79640243818,15.1628931647027,3348.38761860275,-73.2160934537033,685.557720101218,2.59655231568886,-53.0712857610104,-10.2601746224717,12.7390366082084,-50.3932247725772,547.51997209352,"nonveg_863",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.954548120498657,745.174029293153,2874.23999381501,240.374803302956,5284.12771064406,2460.26325621255,833.713807539961,858.386377077169,414.685316095536,1.39605462551117,0,3060.43549293612,77.9997630622875,4253.45917367147,113.21226361391,0.668289142306605,4237.85376921321,6079.01243570532,-146.793168250953,-30.5855060695693,2567.95909075839,-24.3355467119882,-20.3914796623475,40.9527710431595,687.309347960348,3.3734889375328,2391.01609795896,0.644881035244604,808.436920440643,27.6575200964836,2.4048314397175,61.6773907450997,16.8926114338946,0,967.522160253959,"Russia.Yamal.Kharasavey-2b",448.51,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.995325565338135,558.046589636909,-3392.01384785565,-4479.67160987908,1465.5059578914,899.32803987386,725.190100899451,776.674409220756,553.151759628088,1.69325041770935,0,324.340590895012,-9.26687402557178,1470.58421614684,-42.0166918899097,-15.7017223844829,1027.74004138917,568.688733791359,-3.82533760370109,-29.6840547445776,1497.23922267161,-42.7782635049033,5.23982818282817,-12.4563643475686,441.460000583714,3.29097382951634,2399.55725657702,-21.4523310896136,540.181650306481,-6.24870192055148,-15.3086024137025,-12.9722823019196,-0.26572476113143,-2.39225547781328,373.063589593538,"nonveg_979",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,709.312364618084,-2493.52630280813,-1533.56494386917,2651.69681359777,342.804304431662,618.683627268599,569.05224418341,-409.120337257061,-13.4085483551025,0,751.682579485708,14.9285088221642,5764.72967920533,-6.77444296802388,218.945663787689,2485.24212312614,1664.77294222402,-15.131888012496,-41.2357568149464,9759.21327485385,-13.741316284958,-74.9888174409609,315.20482328245,1000.93682492545,-30.5876742752967,887.993261251098,-20.1863892876561,654.32963098872,4.13397951762037,-10.5205091466624,4.10624084816075,-17.6638911417762,-4.31948955452978,374.305032830836,"nonveg_991",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.232790768146515,1421.03919732437,3701.87860215071,-895.414285298606,6354.50051908659,1874.91987529664,562.043508391106,551.076369612266,-289.261547094715,0.0252656042575835,0,1434.21035076975,31.3811700557844,3443.22062102385,64.4232482396379,-26.0453385546779,5302.83203995333,2672.0467840391,-15.6422082926273,-54.0998014082277,1725.65037088524,-16.4241158084768,-35.8683196728942,16.7852814993283,550.797604899254,3.12786328453191,1810.53322916096,-9.76659373112234,342.26058316985,0.236492506542776,-3.3658631063156,3.01487692249976,-4.65091554393852,-1.660992998229,166.696349987331,"Finland.Javrresduottar.EC-Betula",1052.425,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.951022803783417,113.211358742228,-1873.90934109301,-920.454752260596,1204.5187652349,628.329959482045,197.019488993168,75.2359342862053,646.845690271217,-4.72931909561157,0,835.609650807213,1.96661048582903,6165.48971946174,-98.9185497035759,45.2543168281433,709.675028524122,1224.5304345612,-22.4928971232171,28.5774660143014,1770.85496519672,-33.3848241910329,-25.070393151824,69.2040533978156,1324.21442537895,-15.0905958812114,1627.84746305741,7.92760508340788,552.237926552918,10.6650485406542,0.61629505779795,-11.4660468878996,-19.0192488408012,9.34323576362353,1465.52432524932,"nonveg_1469",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.109319090843201,1936.25274397042,3201.19301135482,-1003.72485646934,5200.81731153038,2299.54111210421,971.042242876223,839.931924095807,-71.9258618785476,0.645012517770131,0,1353.19015904092,-3.6304345605667,1539.24731970265,-12.9291045313755,-31.9427418863161,3754.58754805106,1634.74698777093,-8.13092814215659,-43.314229427989,1380.43095265007,-25.8713002499024,2.24287264015272,-14.3849578314007,836.064451106128,12.7514957815445,2440.32099128374,-14.3428950623331,295.053546585862,-3.35976854750697,-7.04372964490668,-4.99677020492201,2.73976055545398,-5.79596210177145,329.670013902888,"USA.YukonKuskokwimDelta.5",124.39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.181683570146561,1639.36000958519,2146.41804987199,-1085.43743370478,5075.51123321252,2114.30736176848,814.669102734835,781.779450022163,-219.044186295402,4.74538621902466,0,1376.99354576133,30.310269728738,1690.5411281184,28.568818117303,-85.3251733051216,4691.11088921437,2038.41355059362,-17.194062113234,-102.71261733345,2601.96627442955,-10.9500184939877,-26.4051943605362,-73.7730438375305,844.552617926045,-3.50561729854913,2752.66520252067,-44.1242099755392,877.384716886866,5.91469654647109,-31.8891332371973,-1.259611407715,-5.65526933768249,-17.0525066626767,539.45532656328,"Finland.Kevo.12",293.596,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
