"permafrost_index","spectral_EVI2b_startSnowfree","spectral_NDMI_peakSummer","spectral_NDVI_earlySummer","spectral_NDVI_lateSummer","spectral_SWIR1_endSnowfree","texture_NDVI_peakSummer","topo_cti","topo_eastness","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NBR_changeSSES","spectral_NDMI_annualMedian","spectral_NDMI_annualRange","spectral_NDMI_changeSSES","spectral_NDMI_changeLSES","spectral_NDVI_changeLSES","spectral_NDWI_annualRange","spectral_NDWI_changeSSES","spectral_NDWI_changeESPS","spectral_NDWI_changeLSES","spectral_NIR_annualRange","spectral_SWIR1_annualRange","spectral_SWIR1_changeESPS","spectral_SWIR2_annualRange","spectral_SWIR2_changeSSES","spectral_SWIR2_changeLSES","spectral_green_changeLSES","spectral_red_annualMean","spectral_red_changeESPS","spectral_red_changePSLS","spectral_red_changeLSES","latitude","site_code","biomass_density_gm2","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other","ecoregion_Canadian.Middle.Arctic.Tundra","ecoregion_Eastern.Canadian.Shield.taiga","ecoregion_Canadian.High.Arctic.tundra","ecoregion_Canadian.Low.Arctic.tundra","ecoregion_Watson.Highlands.taiga","ecoregion_Alaska.St..Elias.Range.tundra","ecoregion_Brooks.British.Range.tundra","ecoregion_Interior.Yukon.Alaska.alpine.tundra","ecoregion_Scandinavian.and.Russian.taiga","ecoregion_Scandinavian.Montane.Birch.forest.and.grasslands","ecoregion_Kalaallit.Nunaat.Arctic.steppe","ecoregion_Northeast.Siberian.coastal.tundra","ecoregion_Yamal.Gydan.tundra","ecoregion_Taimyr.Central.Siberian.tundra","ecoregion_West.Siberian.taiga","ecoregion_Arctic.foothills.tundra","ecoregion_Interior.Alaska.Yukon.lowland.taiga","ecoregion_Copper.Plateau.taiga","ecoregion_Beringia.upland.tundra","ecoregion_Arctic.coastal.tundra","ecoregion_Beringia.lowland.tundra","ecoregion_Kalaallit.Nunaat.High.Arctic.tundra","ecoregion_Pacific.Coastal.Mountain.icefields.and.tundra","ecoregion_Ogilvie.MacKenzie.alpine.tundra","ecoregion_Davis.Highlands.tundra","ecoregion_Northwest.Russian.Novaya.Zemlya.tundra","ecoregion_Ahklun.and.Kilbuck.Upland.Tundra","ecoregion_Chukchi.Peninsula.tundra","ecoregion_Torngat.Mountain.tundra","ecoregion_Russian.Arctic.desert","ecoregion_Cherskii.Kolyma.mountain.tundra","ecoregion_Russian.Bering.tundra","ecoregion_other"
0.999999940395355,159.399155196598,-1852.12488527067,242.058597719809,787.325444804284,2509.04106566196,383.298009871345,-3.28070092201233,-0.0850434228777885,0,253.520213728528,562.052863721892,-3.09638102529634,-115.454141201247,-1852.12488527067,5215.07298852995,-137.746073692621,-34.2338017998197,-61.2011201047113,2130.17541378106,-59.9993384631835,2.82722623828837,-48.7418359063631,1068.0689191089,968.077868461063,21.090307217045,742.955695761205,8.72295411136341,-20.5466297421974,19.3703146081595,1724.3981745034,-10.3258172293675,-2.05797988234985,24.3531525479227,75.9973608392018,"nonveg_897",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.972447454929352,2387.10359805201,2077.33476470405,5714.48286000724,6445.01579997894,2142.12094423156,46.530222015438,-1.8791054142846,-0.00046337411687192,0,3857.25064568534,2185.87450549026,23.1937403450661,-42.5509022477062,2350.38780490553,2619.79020980102,-29.3892085259664,-5.83951131687195,-27.6644697703494,2904.76047033811,-84.8609790433258,-5.91278565473999,41.3416352135978,730.338079794722,604.794525648133,2.60281792004398,540.076676554645,-14.5967862871386,16.2679717006576,5.8012745572684,810.474638167986,0.687332378555901,9.84729216776471,12.7901504495479,68.8571119990074,"USA.InteriorAlaska.DEW",151.533333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.854342579841614,1970.16940595358,208.225360200148,5304.77455871282,5593.9807534623,2226.29674409378,-198.695344198897,-0.0112153664231305,0.000532842512863368,0,3135.0807473113,2331.47469566489,47.049050517394,64.8410689986264,284.18850807612,3806.28395181877,52.4951175826243,-165.195451996735,-130.118920670663,1679.6204438701,-23.9144645467861,-27.7078054052408,-34.7354661485077,1008.45726205349,1259.02798012469,-8.65544380252989,720.018318632482,4.92695022583528,-34.2865866015468,-13.8057490853298,709.880738158122,-4.51925319652963,14.8613260762637,-11.282193431092,67.0155801655903,"Russia.Tazovsky.Burned12",60.8733333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.931496798992157,2310.08807987266,-102.413093427029,5612.71630456566,5669.58843460455,2173.4759677022,-11.7531715438897,-0.910686474707389,9.07551406675727e-05,0,2776.87538039793,1872.57370295707,4.72584088176769,-26.9406825944053,73.5948269470462,2566.94999564976,-25.7222411638865,-97.4327488829178,-109.973882093318,3534.86453147258,-49.177405404434,-3.91189895080956,-52.6809730350639,1137.80944893355,953.407786055278,4.44238142743674,672.910935263624,-4.52578344985223,-18.8835128307066,-16.9792862946831,601.342462140491,2.33500089583445,-6.95163646827593,-16.4741896482965,60.0629279984963,"Canada.CoutureLake.TD7",17.1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.996917963027954,1794.08355861427,-845.153913085304,2676.29957064432,4573.84587495591,2618.48459534791,279.18399860667,7.19798612594605,0.00457496102899313,0,2200.62172160468,1129.09573948658,-23.5388481399437,-51.8965986103795,-782.460463461993,1782.71589706653,-49.649908857489,10.5407373763989,-0.827373484288919,2480.49842592495,-82.683280864165,42.7664105206022,27.1537815010108,714.515384347368,670.969410578255,21.2684202183956,461.878807349671,-13.4781917967879,1.76500692995741,4.83929036639253,944.671233350343,14.8190717388642,1.99571073603796,4.91728768426789,63.344354349552,"nonveg_529",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999998152256012,319.527479649609,-2342.90733949013,1011.89623179577,966.029788760819,2260.44810366895,-206.644754242634,-3.92900395393372,-0.0234156139194965,0,470.538944078917,232.10460469244,7.73682015641465,9.5886451711156,-2232.14565172321,242.858118204607,8.09527060682024,2.22708436723133,-1.7872558126113,458.146298336073,5.30045795162402,-10.755583933787,10.2354238073436,442.182004579431,642.439038974062,-7.5500334937481,605.543778359619,7.45601945126092,-10.0015612896425,-2.98574905760152,1393.76940501305,-5.22235046593017,-3.34354388911631,-3.71300254112448,61.4629573074318,"nonveg_814",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.854342579841614,1970.16940595358,208.225360200148,5304.77455871282,5593.9807534623,2226.29674409378,-198.695344198897,-0.0112153664231305,0.000532842512863368,0,3135.0807473113,2331.47469566489,47.049050517394,64.8410689986264,284.18850807612,3806.28395181877,52.4951175826243,-165.195451996735,-130.118920670663,1679.6204438701,-23.9144645467861,-27.7078054052408,-34.7354661485077,1008.45726205349,1259.02798012469,-8.65544380252989,720.018318632482,4.92695022583528,-34.2865866015468,-13.8057490853298,709.880738158122,-4.51925319652963,14.8613260762637,-11.282193431092,67.0155801655903,"Russia.Tazovsky.Burned12",60.8733333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.153510108590126,2170.32748922441,2139.79192637112,6187.11852970638,7317.31354742591,1960.10857392547,-220.414197632856,-1.7357616186142,-0.00817281939089298,0,3847.96409062315,2057.97233931827,48.3070573213131,65.0410753413783,1151.97222465425,2373.94252177926,48.6915125540477,-12.6140646980774,-40.036056623066,2088.75291241604,-10.9672627325164,-47.0536515012626,62.6958426695462,645.914077197127,584.674938998685,-16.2409705277412,471.431999346245,1.6244627558298,11.578503851609,8.84648769962261,639.848968244837,-10.359515080648,8.67020658048133,12.1387215621609,68.8111725990054,"Finland.Kilpisjarvi.16",700.652,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.703528563181559,1496.36483225287,-774.562912384983,3573.17507864537,3750.77218796726,2121.02596090862,-35.8712681736453,-1.06495628092024,-0.00476234501952098,1,1925.038180998,418.823195972193,-1.71915697304883,-43.0263253533023,-592.491596985671,1800.15514478166,-40.0034476618147,34.8736286391901,18.3794071901749,2609.27262306145,-44.5979094702453,-7.5732910378015,31.9476673774928,536.343636380702,780.332397152592,-2.48495746110224,589.397986051148,-3.06397901137369,9.4750058676092,3.11079533609428,933.760169820275,-1.85480029065729,-4.16480277211965,5.0568433016192,56.3631129981035,"Canada.ClearwaterLake.LS1",417.36,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.89070326089859,350.685927993171,-951.857576178626,846.981964971791,595.733192544898,1577.94326228673,37.5681559204397,-4.20977354049683,-0.0677944645285606,0,186.036491256858,480.708457388611,4.92606604922555,-109.85371285464,-951.857576178626,8018.23745939149,-112.382719273068,-41.871370280557,10.5465333514917,2373.03539151168,-17.0765828835777,-34.1268752010077,8.89459679156223,2624.37109346421,948.66142312377,-8.89649726089249,815.61686731614,18.9678341236312,5.25386712766618,-9.97179878749168,2075.55419502987,-23.9729823270032,-18.4079936771955,-10.791116394727,63.0656095779329,"nonveg_1473",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
