"permafrost_index","spectral_NDMI_endSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_SWIR1_endSnowfree","spectral_SWIR1_peakSummer","spectral_red_lateSummer","spectral_red_peakSummer","texture_NDVI_peakSummer","topo_cti","topo_eastness","topo_slope","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changeESPS","spectral_NBR_annualRange","spectral_NDMI_annualMedian","spectral_NDMI_annualRange","spectral_NDMI_changeSSES","spectral_NDMI_changeESPS","spectral_NDVI_annualRange","spectral_NDVI_changeSSES","spectral_NDVI_changeLSES","spectral_NDWI_annualRange","spectral_NIR_annualRange","spectral_SWIR1_annualRange","spectral_SWIR1_changeSSES","spectral_SWIR1_changePSLS","spectral_SWIR2_annualRange","spectral_SWIR2_changeSSES","spectral_blue_changeESPS","spectral_blue_changeLSES","spectral_green_changeESPS","spectral_red_annualMean","site_code","biomass_density_gm2","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other","world_terrestrial_ecosystems_X16","world_terrestrial_ecosystems_X49","world_terrestrial_ecosystems_X50","world_terrestrial_ecosystems_X47","world_terrestrial_ecosystems_X5","world_terrestrial_ecosystems_X1","world_terrestrial_ecosystems_X29","world_terrestrial_ecosystems_X27","world_terrestrial_ecosystems_X57","world_terrestrial_ecosystems_X59","world_terrestrial_ecosystems_X45","world_terrestrial_ecosystems_X56","world_terrestrial_ecosystems_X51","world_terrestrial_ecosystems_X10","world_terrestrial_ecosystems_X18","world_terrestrial_ecosystems_X25","world_terrestrial_ecosystems_X55","world_terrestrial_ecosystems_X54","world_terrestrial_ecosystems_X53","world_terrestrial_ecosystems_X63","world_terrestrial_ecosystems_X58","world_terrestrial_ecosystems_X52","world_terrestrial_ecosystems_X22","world_terrestrial_ecosystems_X19","world_terrestrial_ecosystems_X75","world_terrestrial_ecosystems_X72","world_terrestrial_ecosystems_X46","world_terrestrial_ecosystems_X12","world_terrestrial_ecosystems_X36","world_terrestrial_ecosystems_X43","world_terrestrial_ecosystems_X74","world_terrestrial_ecosystems_X89","world_terrestrial_ecosystems_X90","world_terrestrial_ecosystems_X68","world_terrestrial_ecosystems_X70","world_terrestrial_ecosystems_X78","world_terrestrial_ecosystems_X14","world_terrestrial_ecosystems_X66","world_terrestrial_ecosystems_X88","world_terrestrial_ecosystems_X31","world_terrestrial_ecosystems_X48","world_terrestrial_ecosystems_X11","world_terrestrial_ecosystems_X98","world_terrestrial_ecosystems_X34","world_terrestrial_ecosystems_X115","world_terrestrial_ecosystems_X111","world_terrestrial_ecosystems_X4","world_terrestrial_ecosystems_X7","world_terrestrial_ecosystems_other"
0.0338936406187714,1163.95639071335,4773.23243594338,5338.01182523971,6200.27360525794,2246.58246788469,2433.67192393769,800.510191697699,798.029502016709,156.383656662078,0.00486233457922924,-0.017824366223067,1.45158195495606,2141.44444109733,-8.62571407203373,45.562647682922,2529.20334073645,1319.52162380773,2091.01724874797,-23.779521634508,44.4897286967653,2744.26021044766,-11.3526384200586,-28.0607414996197,1744.45902028181,1001.29346643895,399.257565942205,-6.53804199724794,-6.67763215808371,363.083434478686,-7.72517945699332,5.19009634362062,1.08009826321917,4.66761109575056,845.670832575664,"USA.YukonKuskokwimDelta.72B2",740.395,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.990371882915497,-3012.26687368443,1380.97037693974,1642.05131328984,1424.49906367768,2558.41178892561,2274.35913566248,923.015272449859,716.268331441675,-1148.55847824435,-2.90983581542969,0.0253587532788515,5.28651666641235,882.840680827042,20.4225036514759,-8.59289545922431,2170.61224317438,-3260.52538380459,2027.52858244096,-32.8148734612084,-20.5411418661852,1919.85841791962,43.6520389886712,27.1940312015203,1083.01250795186,571.004723182782,668.432852172855,17.5903382150751,36.0443410529211,521.430129719736,13.7218455189404,-11.1850715354373,21.9739129021508,-10.5006751526729,1078.48448780551,"nonveg_779",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.997793197631836,1536.31087886463,1726.76723178729,1259.65189450524,968.636974559476,1166.20901553036,1678.16742374708,688.712223430127,983.468573554303,-322.496254747808,-4.37166357040405,-0.109156809747219,18.0881576538086,499.182769967923,4.8188360248076,-3.21754454039171,1786.7511000691,-522.175754550262,2378.20575559802,-7.16445035489232,-11.0247973166594,758.130257227813,14.8617522942283,12.1256216644069,1927.32525464912,1108.19020170868,1221.17800148937,-6.10102106517836,-27.2825053006971,1035.95942736967,-6.52314194454372,-5.82172094331299,6.92320252900062,-8.08976643148151,1096.28040540947,"nonveg_919",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.79019695520401,1741.81952358139,6807.11220679349,6261.10191785302,7479.36866834282,1948.60333167527,1856.73400851878,468.493973523895,360.376457021064,-49.1023667688849,0.540392223331663,0.00581884767032332,3.65455799632602,1807.13444363109,-6.01786260509001,44.0764498446608,2519.40627142511,1342.35361807233,2235.92503769282,-19.1067245144101,54.534757016898,2314.62408142628,-17.1025275086999,-24.881412072495,3310.90206072187,964.908668847284,1060.71113095886,-26.5177782739716,-9.51958683615191,747.448166943512,-18.6862041735878,5.03039591378602,8.83528068737036,4.98473278844557,501.765063178323,"Canada.BonifaceRiver.AB8",2071.52,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999999940395355,-1281.71152532732,694.320811474,1305.28817576638,1142.56660726582,3784.96348520833,3533.56479712345,2194.82818064265,2077.47627814991,272.648374720757,-0.604909777641296,0.00635723024606705,0.847245991230011,520.599055679204,-17.3533018559735,0.447708549483348,993.35935951889,-1396.35667895472,965.193972278878,-32.1731324092959,3.99450781990917,807.220943625153,-26.9073647875051,40.6803921251404,1387.32896342964,614.88292227484,672.487517583083,-17.1467346531919,42.6033439757025,585.094587830577,-13.337055638636,0.649529106913288,10.9604051055078,-1.54633487872504,2275.74015657211,"nonveg_583",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999953091144562,-3537.58668454135,1562.40689404444,681.891463734451,1170.59569416009,3796.63413808242,3773.61295648042,1716.23921198672,1500.57868950186,-35.8204865061622,-0.384111285209656,0.00231041084043682,0.690925061702728,810.133714395739,2.54778054879249,-24.5495064968406,1286.09851677176,-2980.75570007701,1239.46796688691,1.64235509122215,-37.5596353602095,1032.05409920595,5.66590874540755,-122.17605760641,1219.57498439946,809.048939036366,847.006601300913,3.97034703093146,71.1023792051755,660.667432717979,1.60987994750194,-15.8515294676327,-45.6092404168373,-15.5321325161708,1764.90249244157,"nonveg_543",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.100188583135605,1574.68275664044,5286.01190745835,5433.32183280384,5591.62753729864,2268.17050352533,2360.7047606903,730.596698671581,821.355436071828,299.483584395919,-0.986966133117676,-0.00621568411588669,0.46497905254364,1764.61121002026,-0.46018449090811,37.8956786911257,1890.10576166235,1343.27419227047,1620.80769116959,-7.93387903533547,38.4728309644617,1986.22214438155,2.27318483456885,-2.07942975150954,1950.33719361601,923.661737810407,641.188636365549,-6.91166870003928,-15.7689412504386,499.973589889172,-4.5185999748166,2.43235954156173,4.10280463239075,2.12815554192301,827.177429323361,"USA.YukonKuskokwimDelta.2",587.38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.120529764890671,-1886.32038816548,3568.85674376775,3439.97943433676,3779.54049747624,2396.3776097771,2696.3486198647,827.034120933005,867.016470723905,5.93533921507081,-2.68978524208069,-0.0396153561770916,2.61634411811829,757.748827372607,7.777024532704,9.06183829779837,1313.42776520035,-1839.36902520392,936.508713922896,7.05197925481551,13.7593254990266,1526.76294835494,20.1869768214301,-117.060794860709,1438.2637972318,335.824849454365,411.462672676551,-1.56928132166351,-34.3969076294582,409.726013612806,-2.88512649469957,0.473027629011009,-26.7538220358836,0.627999988393385,881.703911256045,"Finland.Kevo.3",145.188,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.933068633079529,-5.25457331635795,4535.71960996901,4610.30418259337,4927.36565376317,2505.63843755473,2396.23537120409,825.582589492113,728.759286700911,-224.935108069186,3.60138559341431,0.00676103802397847,0.713865792751312,1015.09270715811,19.7024193078701,16.5508916620625,1202.15186582998,-195.50763272972,865.202823993032,0.339112707833063,28.3537611743613,1858.18546874322,35.2638520790127,-59.5858831907707,935.082869074046,266.408612079227,327.990307047252,-0.58748647581891,-3.08619241867521,253.781418654902,-1.39635167062493,3.77650632689497,-11.3249745687478,3.75099330413601,927.830081160556,"Russia.Yamal.VaskinyDachi-3",381.648,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999999940395355,-1585.95213631146,159.218997592718,1473.33491329836,226.283024078901,3033.72525587799,2238.16393945872,1288.20577550012,1273.96016288728,44.3250994500882,-3.28070092201233,-0.0850434228777885,10.1982593536377,1262.46297881704,-17.2954005449103,1.63592327274611,5598.77960845227,-1585.95213631146,5896.21857638335,-152.335738110311,-58.4429651581441,1314.11591570564,-12.500645389059,311.762972304864,2818.20373290802,1624.72328201888,1203.66337719474,6.36882732755514,-13.4969370524533,737.679340024123,3.67879961606113,-14.6252099343225,86.079274733611,-15.5070489712083,1722.39786778092,"nonveg_897",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
