"permafrost_index","spectral_EVI2b_startSnowfree","spectral_NDMI_endSnowfree","spectral_NDVI_peakSummer","spectral_SWIR1_endSnowfree","spectral_red_lateSummer","spectral_red_startSnowfree","texture_NDVI_peakSummer","topo_eastness","topo_northness","trees_presence","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changeESPS","spectral_NBR_annualRange","spectral_NBR_changeSSES","spectral_NDMI_annualRange","spectral_NDMI_changeESPS","spectral_NDVI_annualMedian","spectral_NDVI_annualMean","spectral_NDVI_changeSSES","spectral_NDVI_changePSLS","spectral_NDWI_annualRange","spectral_NDWI_changeESPS","spectral_NIR_changeLSES","spectral_SWIR1_annualRange","spectral_SWIR1_changeESPS","spectral_SWIR1_changeLSES","spectral_SWIR2_changeSSES","spectral_blue_changeESPS","spectral_blue_changeLSES","spectral_green_changePSLS","spectral_red_changeSSES","spectral_red_changeESPS","latitude","site_code","biomass_density_gm2","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other","ecoregion_Canadian.Middle.Arctic.Tundra","ecoregion_Eastern.Canadian.Shield.taiga","ecoregion_Canadian.High.Arctic.tundra","ecoregion_Canadian.Low.Arctic.tundra","ecoregion_Watson.Highlands.taiga","ecoregion_Alaska.St..Elias.Range.tundra","ecoregion_Brooks.British.Range.tundra","ecoregion_Interior.Yukon.Alaska.alpine.tundra","ecoregion_Scandinavian.and.Russian.taiga","ecoregion_Scandinavian.Montane.Birch.forest.and.grasslands","ecoregion_Kalaallit.Nunaat.Arctic.steppe","ecoregion_Northeast.Siberian.coastal.tundra","ecoregion_Yamal.Gydan.tundra","ecoregion_Taimyr.Central.Siberian.tundra","ecoregion_West.Siberian.taiga","ecoregion_Arctic.foothills.tundra","ecoregion_Interior.Alaska.Yukon.lowland.taiga","ecoregion_Copper.Plateau.taiga","ecoregion_Beringia.upland.tundra","ecoregion_Arctic.coastal.tundra","ecoregion_Beringia.lowland.tundra","ecoregion_Kalaallit.Nunaat.High.Arctic.tundra","ecoregion_Pacific.Coastal.Mountain.icefields.and.tundra","ecoregion_Ogilvie.MacKenzie.alpine.tundra","ecoregion_Davis.Highlands.tundra","ecoregion_Northwest.Russian.Novaya.Zemlya.tundra","ecoregion_Ahklun.and.Kilbuck.Upland.Tundra","ecoregion_Chukchi.Peninsula.tundra","ecoregion_Torngat.Mountain.tundra","ecoregion_Russian.Arctic.desert","ecoregion_Cherskii.Kolyma.mountain.tundra","ecoregion_Russian.Bering.tundra","ecoregion_other"
0.978575825691223,1375.62684057457,-2865.13151491966,1031.68166366809,1305.03950851338,689.820403574129,1102.91251612535,-447.643295431359,0.182610839605331,-0.167817160487175,0,1422.53153722172,-35.563288430543,6.90361938972994,3304.16033497498,-82.6040083743746,2782.76192269763,11.6329269626952,1272.42458316173,1175.27746302796,-26.8421535729862,8.59796141048686,2241.60150465649,-3.30246661369251,-1.09336307628788,584.998908796214,0.60684364447359,-9.864324934472,-3.13842212747146,-1.14819473706765,-0.223411812400311,-0.578026765755262,-9.30902878795832,-0.683778105812574,60.4383116341149,"nonveg_608",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.104449324309826,2733.05853046351,873.776111468293,6925.75735553122,1669.05805238334,591.173139196994,833.86160876733,449.937750441995,-0.0450600770075956,0.050988374898831,0,2297.24639022487,18.6443948416728,45.6859047435089,3510.80197678968,26.2153637443437,2846.84023547481,59.807307932717,5539.20818952418,6076.8631912283,28.9938424294814,-64.3117778994864,1429.24083763931,39.7011343788696,-27.2134238277398,960.54670672406,22.1772650618941,-28.8172608899911,-5.95711025789211,13.5771496917541,-14.0578289662903,-11.4889336713799,-4.40683180198593,10.6705706140674,68.3177143323167,"Sweden.Abisko.NF-DryHeath",165.653333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999952673912048,871.869028485923,-2486.95042644135,1617.5437698173,2347.01893665547,1096.12260688248,470.233750828617,-557.614451850617,-0.127293646335602,0.163004502654076,0,1175.61589743156,13.6519179497307,-21.5161033547581,2016.9772895585,23.2663534652152,1670.15190763473,-23.7906458217824,1716.41811195497,1884.33075258157,26.457713225961,89.9064884077061,1558.984422363,-21.5979167762706,-38.3628570630751,999.991605766915,-22.5830070580275,-36.4650352406838,0.8822423850012,-1.13888822655773,-13.6259923255625,32.3546905311628,6.45118386806309,0.309593059249636,69.5417670483238,"nonveg_701",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00999999977648258,2345.97603462315,1945.94821683706,7135.98116773203,2012.88542141052,440.435411130715,707.649479246777,144.916890969642,0.0162076447159052,0.0455853429933389,1,1325.46757978679,33.7227983993877,11.5835475401515,3104.51575474985,74.7046713208842,2832.29376583401,21.2832474252962,6562.35590079068,6280.79217906698,66.6705666476154,-61.0199936634623,1316.15257209986,-15.6680566426702,18.8085711788682,644.420166457047,-7.55023584837715,22.8472760026624,3.03949413717178,-3.29824361420498,34.8582597037176,-27.8748893900013,7.58835383812622,-3.69310373389928,68.4387781656554,"Sweden.Abisko.VJ-MesicHeath",156.951666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999952673912048,871.869028485923,-2486.95042644135,1617.5437698173,2347.01893665547,1096.12260688248,470.233750828617,-557.614451850617,-0.127293646335602,0.163004502654076,0,1175.61589743156,13.6519179497307,-21.5161033547581,2016.9772895585,23.2663534652152,1670.15190763473,-23.7906458217824,1716.41811195497,1884.33075258157,26.457713225961,89.9064884077061,1558.984422363,-21.5979167762706,-38.3628570630751,999.991605766915,-22.5830070580275,-36.4650352406838,0.8822423850012,-1.13888822655773,-13.6259923255625,32.3546905311628,6.45118386806309,0.309593059249636,69.5417670483238,"nonveg_701",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.994602596759796,1424.28573868703,-1143.02554532859,4588.94041352527,2444.01537124602,805.717799462719,1005.0709337903,-58.8953991851657,-0.013496170938015,-0.00653457439297603,0,1843.59790145108,32.528351345947,-9.50860985477537,3212.30928541967,36.6805002936323,2059.08111352275,-7.83586864816647,4476.9380069973,4436.48557009238,49.1284759266373,181.092871709856,1524.38944125062,-39.2585626380619,-98.7041988173968,865.621579079449,-19.0979432251522,-95.3944250509224,3.27732922321182,-6.52805178363683,-25.019872103078,38.7008374018102,0.339875424284911,-8.80956758684289,70.4644999990778,"USA.NorthSlope.Atqasuk",5.35877777777778,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.232790768146515,1431.32020299603,323.865576076568,6292.84941759538,1795.95591781267,472.267271405006,654.669721363305,479.49660815986,0.0586264036595821,-0.0150873094797134,0,924.115157298548,11.0943678656349,10.8331521505403,2880.93327723493,9.30571439405821,2160.61203066154,13.9385655934679,5375.76858437451,5024.42028308183,29.9312122618929,9.41310688070904,3173.35559504749,-41.746611175868,9.85701958980842,1802.35009065526,-23.498167589003,36.4657457673157,-23.9396147957907,-4.34939743019256,8.03788838472517,7.3205740681198,-8.76727813949404,-6.12549941448714,68.8321139990063,"Finland.Javrresduottar.EC-Sphagnum",4.48,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9999168664217,1384.00767041764,687.031550116318,5825.63847683267,2331.40219069782,745.611676301639,1113.32930721435,-183.234472178022,0.00831539541832172,-0.0134727013064549,0,2566.92768995213,85.5642563317376,-3.11776578603588,3924.23096032098,130.807698677366,3298.37467127366,-23.1648671806325,5949.25449576631,5266.43884749693,131.966304270601,8.55904583188997,2241.37588542836,-74.7125295142787,-6.01546210524273,1029.67939536924,-27.1113408989641,14.8708453847393,13.9650785410786,-13.9833763873242,9.79922529585886,6.42465492238342,7.28931815636098,-14.4345257173238,71.5937676241268,"Russia.Tiksi.GraminoidTundra",33.054375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00999999977648258,2619.68417233632,3003.64564759463,7830.05812296978,1569.64750617064,489.158486247365,529.642333608948,137.33128384085,-0.134915575385094,0.0652286857366562,1,2129.92562464826,32.4609177007345,16.4414287293108,2844.1099010821,40.0438332601373,2749.0237660813,24.7934778727427,6986.00234502507,7154.21291035634,28.3274438936516,36.0597333868546,2250.22705362321,-14.8121559046884,-47.8374974209876,576.315040079693,-7.25969560010334,-21.7992716886079,-4.95613761996416,-1.43121647705567,-20.5222098700887,11.0493421065368,-6.10998608558188,-2.96927527889181,70.0586049990601,"Finland.Kevo.11",2224.764,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999950230121613,599.320986419592,-2675.51476582534,1834.04448056357,2063.61455086407,882.350806833876,922.838780045561,57.2721160774961,0.0425042845308781,-0.212103679776192,0,226.222040132134,-4.00991447550586,10.2828200060061,776.195185842334,-26.5754229232637,734.765492583655,-1.25093041648337,1731.66772422343,1667.31512563923,-0.138242936284531,-6.82511708934265,425.683207920471,6.57299388329183,1.74194455105059,310.464703229568,13.4134834986127,0.725046101257825,2.2296499158783,4.07657824091517,2.58590538476732,-4.5890502986049,-1.86410883937107,3.18898774925471,68.9753276827919,"nonveg_986",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
