"permafrost_index","spectral_NDMI_peakSummer","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_SWIR1_lateSummer","spectral_red_lateSummer","spectral_red_peakSummer","texture_NDVI_peakSummer","topo_cti","topo_eastness","topo_tpi","trees_presence","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changeLSES","spectral_NBR_annualRange","spectral_NBR_changePSLS","spectral_NBR_changeLSES","spectral_NDMI_annualRange","spectral_NDMI_changeSSES","spectral_NDMI_changeLSES","spectral_NDVI_annualMean","spectral_NDVI_changeLSES","spectral_NDWI_annualRange","spectral_NDWI_changeSSES","spectral_NDWI_changeLSES","spectral_NIR_changeESPS","spectral_NIR_changePSLS","spectral_SWIR1_annualRange","spectral_SWIR1_changePSLS","spectral_SWIR2_annualRange","spectral_SWIR2_changeSSES","spectral_SWIR2_changeESPS","spectral_red_changeESPS","latitude","site_code","biomass_density_gm2","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other","ecoregion_Canadian.Middle.Arctic.Tundra","ecoregion_Eastern.Canadian.Shield.taiga","ecoregion_Canadian.High.Arctic.tundra","ecoregion_Canadian.Low.Arctic.tundra","ecoregion_Watson.Highlands.taiga","ecoregion_Alaska.St..Elias.Range.tundra","ecoregion_Brooks.British.Range.tundra","ecoregion_Interior.Yukon.Alaska.alpine.tundra","ecoregion_Scandinavian.and.Russian.taiga","ecoregion_Scandinavian.Montane.Birch.forest.and.grasslands","ecoregion_Kalaallit.Nunaat.Arctic.steppe","ecoregion_Northeast.Siberian.coastal.tundra","ecoregion_Yamal.Gydan.tundra","ecoregion_Taimyr.Central.Siberian.tundra","ecoregion_West.Siberian.taiga","ecoregion_Arctic.foothills.tundra","ecoregion_Interior.Alaska.Yukon.lowland.taiga","ecoregion_Copper.Plateau.taiga","ecoregion_Beringia.upland.tundra","ecoregion_Arctic.coastal.tundra","ecoregion_Beringia.lowland.tundra","ecoregion_Kalaallit.Nunaat.High.Arctic.tundra","ecoregion_Pacific.Coastal.Mountain.icefields.and.tundra","ecoregion_Ogilvie.MacKenzie.alpine.tundra","ecoregion_Davis.Highlands.tundra","ecoregion_Northwest.Russian.Novaya.Zemlya.tundra","ecoregion_Ahklun.and.Kilbuck.Upland.Tundra","ecoregion_Chukchi.Peninsula.tundra","ecoregion_Torngat.Mountain.tundra","ecoregion_Russian.Arctic.desert","ecoregion_Cherskii.Kolyma.mountain.tundra","ecoregion_Russian.Bering.tundra","ecoregion_other"
0.99999988079071,-1522.85427559112,154.613843499451,-287.06160430016,1986.04803372406,1531.74626590575,1561.47780933937,-296.321488183273,-1.26573991775513,-0.00405859341844916,-0.561375916004181,0,578.452403917287,27.5453525674899,35.5386685274759,1202.82981880041,11.4881055165534,97.8600598289386,1152.13183549737,9.48136160148262,94.8651659299629,278.374412939592,62.4145165681527,1183.968312289,22.6521669559076,104.979160657416,-15.632248809711,-3.5593110719581,664.145426348866,-11.5905721453836,493.146941971803,23.483187712943,-9.00091030809666,-12.2378528272779,73.0542120896528,"nonveg_806",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.998895227909088,840.954907486108,1419.54688791121,-1756.20697921663,578.823999912275,411.313003898605,366.8698054638,1096.84944167435,0.014239483512938,-0.00815203972160816,-0.609632432460785,0,1475.89181992201,22.531414326641,2.27989929350486,1424.62088837261,4.60702650639978,10.497484588118,1005.17372184554,-40.2069488738217,-12.8807867779432,369.493332552767,-14.1555499906846,1325.31000158467,-53.012400063387,25.6382323897511,20.4154817861685,3.77263961700974,702.210920401547,2.5882707800169,425.618013607679,2.27397888701213,10.0501684580621,4.99418455139043,65.1282060130517,"nonveg_1547",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.99155604839325,809.118387420627,5263.0912060942,3200.5953626911,1912.53364575693,680.536336523028,773.132956572064,-760.071398691783,3.78454651832581,-0.000686330033931881,0.0367807351984084,0,1749.70761443439,79.5321642924722,-5.02322946750625,1696.67576711042,-71.785911636893,70.1886395760204,1493.80428753286,42.2658640927933,75.231289800962,4353.47506815556,3.60210969126703,3365.76542702327,29.9096432054568,53.9993459382862,-19.5904016702586,-39.1433408924531,1437.01023784957,-60.5839025491294,838.243439904311,20.4680223830135,-19.5749586134057,-21.2664593198554,73.3286099992025,"Russia.Yamal.OstrovBelyy-1",49.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999995589256287,-2631.68828114778,920.184275504065,1116.85852640687,4499.17358410583,2187.93584218496,2138.1283324252,-977.544696290713,0.941744863986969,-0.0260343849658966,-0.753807842731476,0,509.314651932862,-7.2552788369593,-54.829909791142,1140.34095747107,52.1015123138626,-98.2930869579941,957.035804404663,-16.1485199104783,-76.9721509600948,949.448774043934,-63.0866486935917,1109.53912977952,-21.6231828403355,-58.5689418091337,-4.39911666272586,18.4443116243308,475.346276390134,10.2470000100025,372.497970826369,-2.41845455123941,-4.79598253043291,-4.83461238941223,70.4839932710382,"nonveg_568",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.892463326454163,-302.818205341333,5273.7483920258,3180.49297864499,2536.14869621974,809.825471944733,726.968233475554,78.7557552993559,-1.69586871729957,0.0109778913772769,0.905657837788263,0,1356.5162978227,18.3267144800584,-15.4083583372215,1865.67123684374,-21.3197605073117,-28.2735276676629,1428.54831143183,14.8674880993424,-21.5311010174958,4375.59605864489,-30.8061947252964,1055.26025156431,-12.4440858763581,4.71043039891947,5.37393464515458,-9.52522960240836,245.033378528849,-8.97703254975506,167.727007159587,1.9268895259508,0.460845450853937,-0.79446452377681,59.5518220084517,"Canada.PayneLake.TD2",476.56,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.89070326089859,-999.169100178144,595.253024020698,-515.01870175726,1743.86586639263,1326.51207116136,1337.83078971652,-527.324366312381,-4.20977354049683,-0.0677944645285606,12.7808895111084,0,932.207032170259,-18.8153214690055,-17.9755789216982,8012.32750796323,14.6154049853121,-75.4308464969299,7935.90741338717,-139.496196634232,-72.3203943993976,354.593031601027,-21.5223125356833,2338.05766159376,-42.3131580526018,-19.4466253896696,-10.4693814208506,13.4346915287541,658.84818801518,14.2376450648413,630.400012928895,10.3657206296381,2.44145046930135,-15.7425123555149,63.0656095779329,"nonveg_1473",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.99968820810318,-3197.75961994062,2626.99426512305,1778.43650785023,2293.51343448052,635.53343056361,830.992790550941,-608.984946557228,-1.92960906028748,0.0356225706636906,-4.01330900192261,0,513.654036843462,3.12614327413859,-4.83895263518297,713.65995635153,-18.1372641142152,0.954137726215176,768.217626398188,-10.5092800023815,0.0339186627720846,2109.44246203803,-6.07031566105006,1189.08937545349,-24.8713577621056,6.10008271458819,0.0769013898924034,-12.1419404095706,666.255457881799,-16.929159633262,562.766590918134,4.78399227208876,-2.16646177368751,-1.84030822168457,67.7745939590111,"nonveg_758",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.426080593041011,1509.94895998839,7552.63963940443,4014.04468790027,1702.38731567263,388.036987711213,344.572205029165,-56.5373022423954,-2.20507981095995,-0.126517783318247,0.340406111308505,1,2091.79650558226,22.4157564833192,-48.8624064079823,2901.33893573474,-30.8445227080084,-44.2674877057969,2241.4682561779,-9.1107656413756,-47.2160679464198,6394.03073547962,-68.4294027591921,4679.50657653451,-142.199062696272,28.3835580395867,21.9004260102054,-13.366253824727,1584.88661845904,-13.0185610228404,1228.67317153877,-33.2080978676025,-2.43116462556138,0.470749845920957,69.0430819990156,"Finland.Kilpisjarvi.19",1925.78,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.103674411773682,1134.1467546609,6733.48517391864,1002.27542282947,1746.29744551571,457.706579101654,351.407561251723,118.105980988208,-2.40227357546489,0.0150928498866657,0.0312279363473257,0,4028.60169931754,89.162051357751,18.5053048797888,1853.85745568848,-132.418389692035,60.5839343998207,1788.38563026976,-28.6158348334117,55.4230222526645,5434.22158459051,33.9987657436504,6685.30333405738,-136.383038586238,91.0102118262451,-1.30860828640881,-50.2049339451498,786.458893560671,-45.1599836460193,586.817991105923,8.02889812524184,-4.76108987878633,-13.0768185557073,68.4119491656542,"Sweden.Abisko.KJ-MesicHeath",493.443333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00999999977648258,4095.66819523362,1920.15691742605,-2356.41951730019,274.070585450424,534.220261651292,255.170235558298,870.022386930912,0.248362168669701,0.000945008476264775,0.0755094289779663,0,994.022281788587,-7.16647148093502,-38.8991672838089,2162.24929969434,53.4702084749166,-24.2335750645207,2723.60472045947,48.1867169856715,-10.512480913865,397.935381538442,-93.9028229079541,8470.91448773348,-152.858259897312,41.0445795189705,0.562158751976394,29.7980386503692,365.204926100203,13.050980259544,212.819878315356,-5.19072873939894,0,-1.65302011636388,59.9849621312185,"nonveg_1794",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
