"permafrost_index","spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDMI_lateSummer","spectral_NDMI_startSnowfree","spectral_NDVI_earlySummer","spectral_red_earlySummer","spectral_red_peakSummer","texture_NDVI_peakSummer","topo_cti","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NBR_annualRange","spectral_NDMI_annualRange","spectral_NDMI_changeSSES","spectral_NDMI_changeESPS","spectral_NDVI_annualMedian","spectral_NDVI_changeESPS","spectral_NDVI_changePSLS","spectral_NDWI_annualRange","spectral_NIR_changeSSES","spectral_NIR_changeESPS","spectral_SWIR1_annualMean","spectral_SWIR1_annualRange","spectral_SWIR1_changeESPS","spectral_SWIR1_changeLSES","spectral_SWIR2_annualRange","spectral_SWIR2_changeLSES","spectral_blue_changeSSES","spectral_blue_changeLSES","spectral_green_changeLSES","spectral_red_changeSSES","spectral_red_changeESPS","spectral_red_changePSLS","latitude","site_code","biomass_density_gm2","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other","world_terrestrial_ecosystems_X16","world_terrestrial_ecosystems_X49","world_terrestrial_ecosystems_X50","world_terrestrial_ecosystems_X47","world_terrestrial_ecosystems_X5","world_terrestrial_ecosystems_X29","world_terrestrial_ecosystems_X1","world_terrestrial_ecosystems_X27","world_terrestrial_ecosystems_X57","world_terrestrial_ecosystems_X59","world_terrestrial_ecosystems_X45","world_terrestrial_ecosystems_X56","world_terrestrial_ecosystems_X51","world_terrestrial_ecosystems_X10","world_terrestrial_ecosystems_X25","world_terrestrial_ecosystems_X18","world_terrestrial_ecosystems_X55","world_terrestrial_ecosystems_X54","world_terrestrial_ecosystems_X53","world_terrestrial_ecosystems_X63","world_terrestrial_ecosystems_X58","world_terrestrial_ecosystems_X52","world_terrestrial_ecosystems_X22","world_terrestrial_ecosystems_X19","world_terrestrial_ecosystems_X75","world_terrestrial_ecosystems_X72","world_terrestrial_ecosystems_X46","world_terrestrial_ecosystems_X12","world_terrestrial_ecosystems_X36","world_terrestrial_ecosystems_X43","world_terrestrial_ecosystems_X74","world_terrestrial_ecosystems_X89","world_terrestrial_ecosystems_X90","world_terrestrial_ecosystems_X68","world_terrestrial_ecosystems_X70","world_terrestrial_ecosystems_X78","world_terrestrial_ecosystems_X14","world_terrestrial_ecosystems_X66","world_terrestrial_ecosystems_X88","world_terrestrial_ecosystems_X31","world_terrestrial_ecosystems_X48","world_terrestrial_ecosystems_X11","world_terrestrial_ecosystems_X98","world_terrestrial_ecosystems_X34","world_terrestrial_ecosystems_X115","world_terrestrial_ecosystems_X111","world_terrestrial_ecosystems_X4","world_terrestrial_ecosystems_X7","world_terrestrial_ecosystems_other"
0.999955713748932,-471.942911527523,-2654.89595205162,-507.468270325438,1309.40646841726,-3803.43463117909,529.116446790292,513.092010818673,910.614382316769,1.96775984764099,3325.87446015347,86.0619325316916,2187.46029439169,1816.87473874269,-46.0320197984016,15.0486933220855,-3784.81057686851,119.842994934814,-100.829271840116,2385.07006961226,4.70477310930924,33.3276781000138,121.46726091923,516.927170624329,24.6155795535395,1.70511309503158,335.786047177525,1.08015608715674,-29.6814537618983,13.29769583616,7.3363205288689,-35.7973537967466,-0.763068379600874,-16.2329477750086,72.7387173112119,"nonveg_1797",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.999970734119415,542.783804045052,8.72954063863637,-2077.87783770031,-3250.32476333449,834.55737077099,1495.42749205988,1525.96272065584,655.881328949971,-3.77394843101501,707.381744827334,16.6522048586243,1597.25754238128,1172.44692563418,26.2766572447579,15.8115646967245,994.102144280369,12.6243296886616,12.1936486727043,1261.56882145784,16.2398476157856,6.20270522138968,2793.20023807473,631.986916183856,2.46084379852624,-25.8701269189769,510.629703950736,-20.5080134857763,5.99487795715255,-7.12773459927234,-12.1156352368283,8.66288590537177,1.69640158866447,-1.65822121047769,61.5558776393484,"nonveg_682",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999980449676514,1379.80160301463,-620.998245912406,389.600004201909,3290.4857203692,2108.8243310259,453.827004985595,495.10818288619,678.860028449183,2.54945993423462,2288.69927512448,49.4759164850592,1871.81986776582,2906.48820776725,-76.5493504580855,-33.9335220687788,4084.76033868339,117.424344792921,-57.0161028281688,8486.09696949275,22.7760824333956,20.6104140293402,732.836616915197,961.353619899867,17.2547033255429,-6.6006915605891,579.765660830187,-2.58780544126848,1.26398046939598,1.15523295903396,0.965742346345386,1.24456803356271,1.52893251483685,-1.7526758923671,74.85919551536,"nonveg_1813",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999999940395355,437.185167124784,411.121181104597,-2741.86924445824,-2102.26465193803,1206.66500244545,2136.21391442823,1959.34482767546,-246.953279279508,-2.72245764732361,428.311772338822,12.9745065507844,878.934328177818,899.820331919756,9.29341926426961,-8.98523989486463,766.504634211593,1.33877861629323,-206.475923833941,1058.17026713051,5.22341546639973,-5.12448796854414,3762.54297175961,416.262350504534,-2.31406315444328,16.7683925854349,242.559991024109,10.5046949702938,-4.93715333504995,11.8228676472353,9.69270249063027,0.655520819138197,-6.31675309831334,-63.0680370725284,74.5890028352278,"nonveg_809",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999999761581421,345.610165984566,290.671428233746,-3809.53858270359,-3721.61898983911,843.199918600749,918.152282563515,681.642738797156,161.124259542071,-2.6501190662384,676.204382847456,8.11895067781218,793.453176709367,728.779858810894,10.183366422976,-104.111408401556,783.621669065776,-117.835260750333,20.3483042190463,1050.74012462374,6.96427649734706,-71.248006343208,2222.99739618954,485.180229809853,-69.3114614014076,-3.41150398980677,297.520169788635,-3.45219653375709,3.3517776009907,0.191574211502266,-0.399389322313909,3.48277911980877,-33.7870776809084,5.10460704564183,62.1373776750359,"nonveg_972",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.171971887350082,311.373912461366,216.817391495803,-3085.40232980001,-2952.64339984243,379.118135172515,1132.35280725377,1125.07924116478,613.699545556649,-3.13705658912659,176.362610032087,-2.40606144313304,189.646418752934,156.253498296117,-1.89762238944503,0.799412922980777,441.139143828636,4.41455833748521,-8.00672498348869,156.498209279538,-0.556055380979835,0.506400920804715,2429.75716173298,242.034989189567,1.16665230912484,16.9757164413334,204.316302256834,13.3307516301874,-2.37067613538831,6.63017876692283,6.52172360883026,-0.650110386045459,-0.213928414382,0.235825265808775,69.4247554880683,"nonveg_1316",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.00999999977648258,2062.36331633489,1862.25924530765,-263.984388417776,-766.302227679408,4328.0522324272,922.746820825897,873.017633800078,167.440021621451,-1.68263057867686,1479.73451601012,22.3657300775974,1660.10501663792,1340.09210777036,19.4570379039114,7.34480425149575,4629.6483775495,13.4653803226975,-12.1502450823268,1038.5070450646,12.3592506283744,-0.522016646412039,2381.94179142189,770.792673711244,-5.56134566548874,-16.2386637272605,440.452890734035,-7.68332342174366,3.23469009017948,-6.95733581937255,-6.98948456793209,2.83308189191521,-3.93898099739897,0.578017881887648,61.2361633319229,"USA.YukonKuskokwimDelta.15B5",127.11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,389.650338214205,84.1746669814054,-2831.42432604573,-2656.83194121092,518.933704060819,1595.32657379964,1458.74300662836,25.2454946128165,-1.66025447845459,580.476408647353,8.10753561427635,558.820161874435,564.772218725339,-15.8277156383817,-4.90799630317979,689.912926100182,6.21698417240292,72.0993798212006,470.229200236214,-4.89801024647266,-3.02160666741409,3258.28436372206,270.857902144459,-1.38644382702869,-36.287010808082,176.66859140328,-25.8541376545331,-11.3620080827572,-16.2365945026607,-12.7295068100261,-9.42647790621829,-4.87798454183142,25.0951849658417,75.6525418287001,"nonveg_976",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.210421621799469,4267.53973906608,2622.09008343627,1925.13544543666,-688.905878853962,6868.16921182568,368.394553261295,374.46978556507,-75.6480232082355,-1.08683893680572,1806.67998868293,8.72364031388881,3951.47929957636,3176.11769902624,34.6122804947481,57.1228617772802,7278.56364181389,56.7771195532993,-63.2911981637053,1676.94379140518,-2.93321808955521,23.9425793309075,2087.45292154625,905.848525030787,6.84961707863661,10.4871781782583,748.548201938032,8.67026032451527,-6.19189816433574,3.76159649633896,3.58323160729762,-9.01984577491175,6.20967086982939,-11.9735296860236,69.414814199032,"Finland.Kevo.2",3261.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,661.457317639994,1368.44565951889,-3672.76981813072,-535.83417198692,2547.02467207202,784.55511509145,698.939853092137,611.627412133738,-3.51582336425781,1553.79019309317,-46.2974956111234,5924.48191427267,4963.58019459536,-82.2783301000957,-1.80306358276593,2547.02467207202,23.6767687011461,-54.540789814338,9084.58020885783,-40.4970536771883,-1.19047291860115,885.507751328899,1588.43998605664,2.09557823728878,-15.6486953012819,1007.33675400375,-7.72917190305611,-20.5951301848022,-1.85255283431699,1.96761547925332,-21.8870886800983,-4.75640344440628,-13.2136620352518,67.46882946735,"nonveg_991",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
