"permafrost_index","spectral_EVI2b_peakSummer","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_startSnowfree","spectral_SWIR1_lateSummer","spectral_green_earlySummer","texture_NDVI_peakSummer","topo_eastness","trees_presence","spectral_EVI2b_annualRange","spectral_EVI2b_changeESPS","spectral_NBR_annualRange","spectral_NBR_changeESPS","spectral_NDMI_annualRange","spectral_NDMI_changeLSES","spectral_NDVI_annualRange","spectral_NDVI_changeSSES","spectral_NDVI_changeESPS","spectral_NDVI_changePSLS","spectral_NDVI_changeLSES","spectral_NDWI_changeSSES","spectral_NDWI_changeESPS","spectral_NDWI_changePSLS","spectral_NIR_annualRange","spectral_SWIR1_annualMean","spectral_SWIR2_annualRange","spectral_blue_changeSSES","spectral_blue_changeESPS","spectral_blue_changeLSES","spectral_green_changeESPS","spectral_green_changePSLS","spectral_red_annualMedian","longitude","site_code","biomass_density_gm2","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other","world_terrestrial_ecosystems_X16","world_terrestrial_ecosystems_X49","world_terrestrial_ecosystems_X50","world_terrestrial_ecosystems_X47","world_terrestrial_ecosystems_X5","world_terrestrial_ecosystems_X29","world_terrestrial_ecosystems_X1","world_terrestrial_ecosystems_X57","world_terrestrial_ecosystems_X59","world_terrestrial_ecosystems_X45","world_terrestrial_ecosystems_X56","world_terrestrial_ecosystems_X51","world_terrestrial_ecosystems_X10","world_terrestrial_ecosystems_X25","world_terrestrial_ecosystems_X18","world_terrestrial_ecosystems_X55","world_terrestrial_ecosystems_X54","world_terrestrial_ecosystems_X53","world_terrestrial_ecosystems_X63","world_terrestrial_ecosystems_X58","world_terrestrial_ecosystems_X52","world_terrestrial_ecosystems_X22","world_terrestrial_ecosystems_X19","world_terrestrial_ecosystems_X75","world_terrestrial_ecosystems_X72","world_terrestrial_ecosystems_X46","world_terrestrial_ecosystems_X12","world_terrestrial_ecosystems_X43","world_terrestrial_ecosystems_X36","world_terrestrial_ecosystems_X74","world_terrestrial_ecosystems_X89","world_terrestrial_ecosystems_X90","world_terrestrial_ecosystems_X68","world_terrestrial_ecosystems_X70","world_terrestrial_ecosystems_X78","world_terrestrial_ecosystems_X14","world_terrestrial_ecosystems_X66","world_terrestrial_ecosystems_X88","world_terrestrial_ecosystems_X31","world_terrestrial_ecosystems_X48","world_terrestrial_ecosystems_X11","world_terrestrial_ecosystems_X98","world_terrestrial_ecosystems_X34","world_terrestrial_ecosystems_X115","world_terrestrial_ecosystems_X111","world_terrestrial_ecosystems_X27","world_terrestrial_ecosystems_X4","world_terrestrial_ecosystems_X7","world_terrestrial_ecosystems_other"
0.999999940395355,1230.23763666507,1312.47689720355,641.058015604282,248.336904014992,780.248612262345,3633.15425473075,1999.23841697427,533.653857111993,0.0421751588582993,0,1122.35362223439,7.69426226572581,2171.22658365017,22.8734594130507,1739.23018113672,143.005680938925,1406.49280051563,16.1281298467033,10.3743274947596,-351.623200128907,130.90703719643,1.89029977638448,12.369823444244,-310.177066945818,737.72217504549,3943.85339389504,462.844197826539,-2.2483111890825,6.96424377321401,25.6728166949457,2.57088531877024,-86.9415120608564,2286.18607416268,-85.486304859024,"nonveg_624",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.779269814491272,2539.00725233137,3928.81567304143,3959.97442878724,4624.1335852881,3212.41377150338,2531.05841252757,822.553475427036,135.273491984642,-0.0367667848865191,0,982.093313734355,13.1592642615214,1395.61059873923,25.1344433415449,1066.66666686666,14.5145497219407,2106.70936960707,22.9444509597927,26.582382076646,-43.2712842136901,5.64949967461681,-20.3710693338704,3.93752886611228,-38.5271326420979,418.588848866325,2384.65528247651,512.882914411304,-2.49839847611434,4.45780522758613,19.3513160216316,4.05527826354461,-18.0451228749115,953.995851028815,-76.1743573,"Canada.BonifaceRiver.LSA2",488.66,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999996364116669,1041.63429599217,1123.63370013904,951.364224837755,1494.99455302601,1268.64760848432,3342.28942473187,1511.56702936679,-218.882523397978,0.0358423516154289,0,493.946514109772,17.4264221982231,666.159828715136,18.0121076172993,634.272836586618,-26.2912462662826,675.375850243082,-6.59154128842161,22.8684715882634,-8.7830348036555,-36.2420218792167,-32.1405850095352,11.6066352179154,0.353050079376787,439.012683686863,3238.98358394737,386.303714910281,-10.1167732911715,3.25342253119281,-7.86709659177523,3.6626825682589,-2.83734496242579,1782.59290117179,-110.25745827312,"nonveg_975",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.997309625148773,641.259664451537,887.638804984447,856.317580952268,444.284042856217,1487.79144751137,2722.29048740953,1142.4689779352,-171.912486218033,-0.207187607884407,0,916.882656499138,7.62474014505245,1688.85537949674,14.9731637826928,1356.97580610056,22.262941814339,1043.50740465515,-20.0050880842306,11.0994411171781,-36.9684759830274,18.7287971861841,-28.9447905485814,10.9809199157967,-34.1897663950867,887.167387556043,3132.25700065631,891.239207305448,-6.95547755408077,2.77258662339657,4.81743524547827,1.8206340815177,-13.3066550345136,1336.61299556804,149.936460161203,"nonveg_695",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.968232691287994,3826.47293770537,5511.51761826363,4893.97030502868,5708.4214594,3932.65169292508,2266.43131088642,674.044928126885,304.596638559269,0.0459540635347366,0,1482.88240038822,29.0358936180598,2057.94288806388,40.3628896998714,1349.14315028384,-23.4761051245135,2177.47935667835,35.702587411671,36.8800578109405,-13.6755318352216,-36.3978650774977,-32.9003539324622,-19.10492684181,20.3189979624849,502.758432905729,2363.00499277313,355.384520817173,-4.66458038787421,-1.21985275039126,5.40356279042043,-0.396489011620497,4.24457001812555,701.154349774385,-148.847711114,"USA.NorthSlope.HappyValley-C19",532.506,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.232790768146515,3428.17250507108,5592.13466475914,5527.6353473234,6349.61386261455,3980.50208946262,1741.35145097044,547.43957603455,379.322107372969,0.0509097222238779,0,2074.66786138027,33.5312131648063,3760.7401619243,62.2731939922247,3113.83150916091,23.6663937820984,3133.23660151187,52.588845717064,48.4833027188027,-79.0051781844854,1.45599283175793,-13.4620371409356,-5.96326041778969,-56.1597447276251,1038.05174671817,1725.42109034052,454.715961211761,2.24683168883558,3.48453772945831,9.55129954894576,3.47205154650689,-13.647767157986,555.379048605886,23.912248,"Norway.Javrresduottar.EC-Hummock",1185.6175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.984344720840454,2663.30546446272,1082.68941478624,186.970152024945,1934.50456576649,1065.01749431588,3093.6038595487,1118.78740509955,-101.811979385387,-0.0487819500267506,0,2155.72407644224,23.4184431215179,1912.48094921175,18.2678063777418,1555.27525793845,-50.1701696109176,1747.53441374154,0.570061950656854,19.7971647020741,7.04212517786698,-56.3720778626304,-8.80749901718814,10.5530159211534,10.1472353401824,1232.66525177771,2920.71583361057,325.663267840827,1.59773930957187,2.27088342597216,-9.12214531406426,2.47813092782759,0.274961433103352,1239.93658240645,-140.85958821456,"nonveg_647",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.999683976173401,1957.65706124756,2646.03088507564,2159.99774102176,3170.96203579452,-208.452551694869,1836.59325913371,843.118090570538,-456.342974394747,0.00422522192820907,0,2237.16448908235,25.340447927918,3377.87820913071,45.4004556374865,1708.04601327942,-58.9253528095727,4224.17742708532,109.787824491173,50.7294070486969,-64.981756891995,-72.2117353409114,-41.9735029337821,-28.9376965688295,-31.4515125957133,1410.69056763547,1625.11673903469,715.753406441845,6.27186383668968,11.6798707070631,-3.71745987490534,3.03159054333067,-14.0307361627551,835.382081537553,-109.458078397423,"nonveg_671",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.99992314974467,2809.59145894428,4174.43406465222,4657.26747828732,4815.74317038619,3132.09123817911,2209.701065596,801.588676816091,10.2001622780712,0.0133078923487725,0,2023.02042869595,22.2283802693082,1463.5646930137,9.00059206202302,626.762404744551,43.4030710457683,3226.00668776308,76.8832381668805,29.6615981534407,-44.3222533873836,-16.5156536430253,-30.4121326901818,-37.507979395218,-33.8192978015159,522.569342665869,2358.02158652145,844.129503606854,7.12214734585566,-12.5794368115272,29.3531776043505,-10.83462325891,-26.6472881326029,818.974119834751,128.889537722222,"Russia.Tiksi.ShrubTundra",356.852222222222,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.99155604839325,3136.05251187513,4841.96193886262,4981.3163193638,5121.09155695188,3496.52612331299,1928.39573821797,746.776524095808,212.708101528523,-0.000931331666652113,0,883.546980606,-19.9262200557548,2461.17728696374,-62.4357437201465,2187.60567631295,133.716415471071,1458.21214130671,66.2823700593959,-42.879193002186,46.006328946316,53.4149579431562,-28.0827527667859,-104.733057190043,67.4454985289083,571.038262640304,2232.43493841795,1048.57420482338,0.404317883441577,-41.549525928443,44.6444698967861,-39.0322901491288,26.5745987225375,946.145769997044,70.07811,"Russia.Yamal.OstrovBelyy-1",263.24,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
