"permafrost_index","spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_peakSummer","spectral_SWIR1_endSnowfree","texture_NDVI_peakSummer","topo_cti","trees_presence","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changePSLS","spectral_NBR_annualRange","spectral_NBR_changeSSES","spectral_NBR_changePSLS","spectral_NDMI_annualMedian","spectral_NDMI_changePSLS","spectral_NDMI_changeLSES","spectral_NDVI_annualRange","spectral_NDVI_changeSSES","spectral_NDVI_changeLSES","spectral_NDWI_changeSSES","spectral_NDWI_changePSLS","spectral_NDWI_changeLSES","spectral_NIR_annualRange","spectral_SWIR1_annualRange","spectral_SWIR2_annualRange","spectral_SWIR2_changeESPS","spectral_SWIR2_changeLSES","spectral_green_changeESPS","spectral_red_annualMean","spectral_red_annualRange","spectral_red_changePSLS","spectral_red_changeLSES","latitude","site_code","biomass_density_gm2","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other","world_terrestrial_ecosystems_X16","world_terrestrial_ecosystems_X49","world_terrestrial_ecosystems_X50","world_terrestrial_ecosystems_X47","world_terrestrial_ecosystems_X5","world_terrestrial_ecosystems_X29","world_terrestrial_ecosystems_X1","world_terrestrial_ecosystems_X27","world_terrestrial_ecosystems_X57","world_terrestrial_ecosystems_X59","world_terrestrial_ecosystems_X45","world_terrestrial_ecosystems_X53","world_terrestrial_ecosystems_X56","world_terrestrial_ecosystems_X51","world_terrestrial_ecosystems_X10","world_terrestrial_ecosystems_X18","world_terrestrial_ecosystems_X25","world_terrestrial_ecosystems_X55","world_terrestrial_ecosystems_X54","world_terrestrial_ecosystems_X92","world_terrestrial_ecosystems_X90","world_terrestrial_ecosystems_X89","world_terrestrial_ecosystems_X88","world_terrestrial_ecosystems_X63","world_terrestrial_ecosystems_X58","world_terrestrial_ecosystems_X52","world_terrestrial_ecosystems_X22","world_terrestrial_ecosystems_X19","world_terrestrial_ecosystems_X75","world_terrestrial_ecosystems_X72","world_terrestrial_ecosystems_X46","world_terrestrial_ecosystems_X12","world_terrestrial_ecosystems_X36","world_terrestrial_ecosystems_X43","world_terrestrial_ecosystems_X74","world_terrestrial_ecosystems_X68","world_terrestrial_ecosystems_X48","world_terrestrial_ecosystems_X70","world_terrestrial_ecosystems_X78","world_terrestrial_ecosystems_X14","world_terrestrial_ecosystems_X66","world_terrestrial_ecosystems_X31","world_terrestrial_ecosystems_X11","world_terrestrial_ecosystems_X98","world_terrestrial_ecosystems_X34","world_terrestrial_ecosystems_X115","world_terrestrial_ecosystems_X111","world_terrestrial_ecosystems_X4","world_terrestrial_ecosystems_X7","world_terrestrial_ecosystems_other"
0.999955713748932,203.810505570509,-2068.53392751657,-4059.83101287206,-1273.14121706565,447.054586002019,-41.9297543624886,1.96775984764099,0,2750.81161786609,47.9890553901063,-53.7815488174378,2793.89137216673,-58.0258997890944,-108.937369534832,426.822540838944,-61.9707987962714,48.3686807660609,6385.73691245605,171.383196030935,3.47751631214464,-110.719289098309,-5.04439578369364,76.9728486346456,807.049317155037,523.389852185488,339.880030648757,16.1847633642265,13.5605744848943,-2.80060087833546,676.637119300123,1267.75892010919,-15.2661381136985,23.5607109793414,72.7387173112119,"nonveg_1797",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.999950230121613,625.07061214043,319.114292451413,1870.70722655629,1860.60111480075,2007.618331099,304.976227111173,-1.93528640270233,0,541.061865159031,23.5367647203358,6.55491971504299,524.127025056265,12.9817852420822,7.90133055116306,-2382.69050652576,0.561600691604508,-25.2360076478521,901.153832823204,35.5164753264667,-20.6657526114178,25.5558793107698,13.0753212335742,-17.2003443347503,399.72378170946,617.557941578214,416.486006083074,2.20167818400039,-13.2166626208897,-2.46629247106451,923.784929747161,193.306322663956,0.775829764001355,-6.96173024061258,68.9753276827919,"nonveg_986",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999998271465302,942.328306538966,403.359150691916,500.665712206652,1263.59078311525,4096.2123075777,-708.987935971305,-1.10877621173859,0,818.283216679514,3.95372351684654,16.1096803955202,1000.28570180326,-38.4725269924329,44.8700640238133,324.262162320646,40.1858116237369,-3.78764625506054,1177.3324555833,4.32109287059015,-34.9755402831331,-27.0741186628942,40.6850736493908,-12.1286171589768,306.424699393835,910.495167084778,893.270116533003,9.28233429667795,-24.537320088775,-2.74067200085105,3393.65539621064,150.847370406955,5.16325840163878,-4.6475076571974,73.1055057925722,"nonveg_855",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.108242653310299,3622.06006263016,2223.3162737306,5573.09729239403,6530.46484498637,2073.23220019454,-309.309048520439,-2.83200430870056,0,1313.83523670961,27.6153744172367,4.64858803658682,3146.13217173842,51.6351979160365,38.5072626270377,439.179870978707,36.0781174442414,-3.12338785456161,2134.89457579632,48.2505670417505,-21.3028470642492,-25.5930335007444,30.8759216508653,9.2040027827422,380.098926362498,727.354794090659,623.615923228004,-12.8227615360874,-3.24184456124895,-6.83225058777289,566.837636573692,347.612268959035,8.68609484697542,0.32161089712923,69.6087199990405,"Finland.Kevo.5",1203.452,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.97977739572525,2367.26550564633,1939.21779747683,5481.2414638349,6667.23807017657,2274.99232668096,273.755045802852,-2.04162861506144,0,1949.86354536509,37.79325012995,-17.4737971779828,2726.39491976324,41.0645307033721,-18.1277080474195,544.676576103533,-13.418060413566,-58.7350639912626,3076.35804443996,65.8502176046413,-70.849594783876,-52.3075996122968,21.0327735668645,8.10568194790858,1033.34699950148,709.632683222985,535.915449077613,-10.0748656869473,-2.0861682494384,-5.072946780841,892.727884462168,540.150014337542,6.33100481211256,-2.79230426650423,67.001901998923,"USA.InteriorAlaska.LOWERQUARRY",115.913555555556,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.849971115589142,-384.692538881998,-1164.04615519459,25.453241332192,1441.59873436114,158.131829068513,221.314054844494,-3.63827872276306,0,1162.38593994285,24.2163737488093,-18.9001763027901,4693.92746690377,-66.0408998736465,93.4862191251161,3322.3918457613,83.5010054076489,54.6504958811157,2895.15022466522,30.8125985757557,-46.0453843658815,-23.0911925054004,23.4808036705225,-81.7127163364466,1280.01446287922,849.305593971865,734.112173025659,2.45416754157449,3.90696271523819,-11.4340209860665,905.090202349359,1055.52224773834,-19.0232652221923,18.1975840839044,60.9288824750202,"nonveg_1290",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.988191366195679,2899.44772568222,2498.95731908606,5720.77245790259,6858.32926469522,2267.15747298744,98.3008025154675,-1.76721917523278,0,2161.3662345298,42.9641361056773,-39.1666521964842,2243.89288571616,45.0567426175152,-31.6246009211815,1395.03993585914,-26.9722037012021,-58.4800150500129,2449.13174006064,51.2478571459107,-76.7628434642804,-16.1174169618007,-0.855391509891433,12.1305478917393,1009.94585213556,501.875305283824,401.801648583551,-9.95077913215168,3.2621234000862,-3.31970775787111,823.804999585015,403.695465773988,1.74273135889004,3.96924800250408,68.4870169989909,"USA.NorthSlope.Ivotuk1",30.4831111111111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.248646378517151,3698.95260676354,2433.8617041472,5990.90626527961,7448.35362987702,1560.73180841771,215.187637398467,1.31534648453817,0,2353.60493205707,28.5883282769858,-29.8090144016687,2811.69526794346,27.3379412154841,-20.2215095084085,3270.61778835069,-15.116937809561,-21.3816797493421,2835.06795708485,29.2300469226625,-42.2464363359676,-34.0424019113898,-4.77425051575701,19.65033363491,1262.38381989448,392.417055255672,201.383796072287,5.92305282565549,-0.273353602105264,6.20250435782367,617.9626348216,179.150823713389,-1.55739758855751,2.18262530085897,68.8330669990063,"Norway.Javrresduottar.A-Sphagnum",8.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999023616313934,718.20192856863,409.600684880276,1287.51379351304,1825.78355360772,4100.13454539819,-5.94291895787155,-1.28124272823334,0,754.752513795671,18.6175188104828,-4.30836530736784,900.395025558748,21.8409257009984,-4.71623788125502,-1891.29277316195,-5.41408005625293,-29.5530697498859,1316.7171201786,32.4353066701636,-36.0412649448109,20.0867945193869,0.0337832775590895,-24.3792919834244,424.815017253941,657.660049059714,374.365345270929,4.52348850433962,-13.4080899500579,2.83066866205523,2259.55999085416,242.517980280157,-3.31420915011543,-10.3431347071219,68.6194633066118,"nonveg_767",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.999999761581421,-868.005917968536,1244.49528957135,809.331761987538,807.565614622767,1158.64971896423,107.424857767474,-3.39307475090027,0,2112.50120753989,-37.0032691011872,11.3564580400615,708.270995297761,-19.5320328581965,6.62657155917734,975.7927632392,-0.348071943312216,-18.1741466722381,1030.10804240813,2.93423768126331,-34.4969688568792,-21.027306956268,18.8807655427218,23.012772972701,1134.65236402524,845.606365791241,732.558025621271,14.0334476197431,-20.2785532070934,1.35430991695009,1189.99219436239,988.229881087577,-6.12485902348581,-23.8781903802723,61.8615453510018,"nonveg_571",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
