"permafrost_index","spectral_NDVI_earlySummer","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_SWIR1_endSnowfree","spectral_blue_earlySummer","spectral_red_peakSummer","texture_NDVI_peakSummer","topo_cti","trees_presence","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NBR_annualRange","spectral_NDMI_annualMedian","spectral_NDMI_annualMean","spectral_NDMI_changeLSES","spectral_NDVI_changeSSES","spectral_NDVI_changeLSES","spectral_NDWI_annualRange","spectral_NDWI_changeSSES","spectral_NDWI_changeESPS","spectral_NIR_annualRange","spectral_NIR_changeLSES","spectral_SWIR1_annualRange","spectral_SWIR1_changeLSES","spectral_SWIR2_annualRange","spectral_SWIR2_changeESPS","spectral_SWIR2_changeLSES","spectral_blue_annualRange","spectral_blue_changeSSES","spectral_green_changePSLS","spectral_green_changeLSES","spectral_red_changeESPS","spectral_red_changeLSES","latitude","site_code","biomass_density_gm2","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other","world_terrestrial_ecosystems_X16","world_terrestrial_ecosystems_X49","world_terrestrial_ecosystems_X50","world_terrestrial_ecosystems_X47","world_terrestrial_ecosystems_X5","world_terrestrial_ecosystems_X29","world_terrestrial_ecosystems_X57","world_terrestrial_ecosystems_X59","world_terrestrial_ecosystems_X45","world_terrestrial_ecosystems_X53","world_terrestrial_ecosystems_X56","world_terrestrial_ecosystems_X51","world_terrestrial_ecosystems_X10","world_terrestrial_ecosystems_X18","world_terrestrial_ecosystems_X25","world_terrestrial_ecosystems_X55","world_terrestrial_ecosystems_X54","world_terrestrial_ecosystems_X92","world_terrestrial_ecosystems_X90","world_terrestrial_ecosystems_X89","world_terrestrial_ecosystems_X88","world_terrestrial_ecosystems_X63","world_terrestrial_ecosystems_X58","world_terrestrial_ecosystems_X52","world_terrestrial_ecosystems_X1","world_terrestrial_ecosystems_X22","world_terrestrial_ecosystems_X19","world_terrestrial_ecosystems_X75","world_terrestrial_ecosystems_X72","world_terrestrial_ecosystems_X46","world_terrestrial_ecosystems_X12","world_terrestrial_ecosystems_X36","world_terrestrial_ecosystems_X43","world_terrestrial_ecosystems_X74","world_terrestrial_ecosystems_X68","world_terrestrial_ecosystems_X48","world_terrestrial_ecosystems_X70","world_terrestrial_ecosystems_X78","world_terrestrial_ecosystems_X14","world_terrestrial_ecosystems_X66","world_terrestrial_ecosystems_X31","world_terrestrial_ecosystems_X11","world_terrestrial_ecosystems_X98","world_terrestrial_ecosystems_X34","world_terrestrial_ecosystems_X115","world_terrestrial_ecosystems_X111","world_terrestrial_ecosystems_X27","world_terrestrial_ecosystems_X4","world_terrestrial_ecosystems_X7","world_terrestrial_ecosystems_other"
0.857117997275459,6117.58529757284,7052.52442132535,4524.01666213839,2022.31366657283,520.078735660874,558.544356414991,-125.302440481013,0.189938710795509,1,1530.30529592545,20.6971692803384,2581.09153401524,78.2112002418316,167.05487911229,-27.531765971469,34.7041057136374,-36.5351646722346,1115.53149317234,-6.72319662934098,-17.4905555108144,657.009721787458,-10.2752834416536,362.890490236837,-4.57558651690954,253.401898940907,-2.11686713198552,-1.36830273560185,95.9355301648648,1.49878280783561,-2.46516904901851,-0.542532885491408,-1.23533825824155,1.11128452619889,58.4788333283488,"Canada.LeRoyLake.TDA6",932,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.982371807098389,5785.73696069306,6811.3364333735,3539.4112204622,1978.62290629456,525.633571346266,441.782062523748,42.9414007160128,-0.54914710521698,0,2647.54856588873,75.1409642837015,4028.22481607274,869.446390349448,561.23767049928,-63.5503681612485,122.105814529349,-87.943344995968,1996.48092171452,-12.1806149212237,-52.2219954566642,1137.61463918245,-26.5016260780485,771.138941987655,-13.2505124294234,473.650080574852,-11.4644931285168,-7.40813124348597,263.525568006087,3.74724961169726,4.24254890339081,-3.60732523352011,-9.65774976966819,0.894018356580564,64.870999998817,"Canada.DaringLake.MediumBirch",1232.97555555556,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.974346518516541,4684.67886693793,5442.02030028776,4289.60813627369,1910.66516402273,470.899677627301,593.343848067899,518.202955309609,-2.49010109901428,0,1900.58683131871,18.7596325919568,2950.4027032622,-436.31107630572,-413.951911906891,-14.6293057655358,32.3632341407585,-34.1239790016545,1222.68343326673,-23.2817410313167,2.42722550761421,921.770436693619,-2.64782395267185,537.460464302262,7.0745059334421,271.462982756637,4.23506068269949,5.99156204022895,129.714156479123,-1.85763695046168,-7.93141003477714,2.38125035837465,2.70485521938363,8.10150498645591,69.4253599990325,"USA.NorthSlope.12",80.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00999999977648258,5924.54023540806,7370.9505309913,3681.8682832679,1725.59944094056,390.232191146808,468.062303982394,176.486725918576,-1.69683273633321,0,3140.35289117949,58.9365689848226,5539.59092580581,1811.83790693375,1136.9873305418,23.2830312501236,96.0488662601123,-11.002593365219,1934.84393376423,-21.1427165383462,-23.102942326944,1552.70912802351,0.716187561133615,535.486803241436,28.359752660036,534.182838462148,-1.29329856342938,29.6768243590082,506.899334309683,7.81489643543124,-19.7397964231191,22.8092189535047,1.10914917156435,26.8297659372938,68.4383933323221,"Sweden.Abisko.VJ-Wetland",38.54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.905551075935364,414.8839208445,991.817339753844,-606.989320470514,2427.3300727674,883.604969112568,471.812404495186,-6.49415353532221,-3.36046838760376,0,703.561445114893,6.77650066845845,5380.41008749129,-4681.33125859366,-3989.38714888804,-10.3154757687494,30.9658557974246,-18.1501620604329,2603.83482043208,-48.7880204548806,-29.2302983947359,1174.65903985061,-2.7760363977399,471.419486688027,-12.1978964691601,354.880406274933,3.72964252474081,-10.2627339458617,1786.48365503267,-38.8560001450287,12.128202115864,-0.85789555259785,-13.8687070235912,-0.237628104866686,59.7059352449525,"nonveg_903",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.957899696297115,4593.72000387442,6508.5504934339,3248.50264721431,2008.91411078779,454.918108534664,640.308069329393,254.794066492392,-1.50781370533837,0,1997.76104129903,17.640442525981,1934.05325023627,276.836346656452,273.751473387949,15.333402264091,38.5708765900965,-31.8245944412176,2418.45072483508,-43.6583146792347,-10.1290701887298,741.878357762404,-1.89190118163331,463.189677681256,-0.333352319422937,265.400385843009,5.04878800115987,2.05667065536335,371.248423373626,-6.68197530639021,-7.29684780916912,5.05056747937074,-0.667086629015318,8.03780651470898,62.1024679986513,"Canada.DeceptionBay.BEGL2",811.44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,388.869925181223,451.274385603582,471.134893509418,2846.82404333182,1142.95618475003,1518.19060041613,-846.59264867447,-2.8937611579895,0,775.780805453216,-10.1449310831953,1505.19106525117,-2027.10143388444,-1840.01701644481,104.870819154393,-4.8391157840115,82.5138441579994,1338.06645435792,-61.8748703319975,-15.899647706331,465.526070631759,40.966053712235,278.542462283771,18.679376682712,190.489000354582,0.749897931617776,10.264993787541,570.458456076203,-23.2105046123028,7.96644802663263,23.7460962113913,-4.98669176858089,23.9618924397951,80.8099869934287,"nonveg_578",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999999940395355,1502.08915184326,470.713347167132,-264.353628907922,3718.18447356426,1527.06147032497,2140.67313474774,577.673090423377,-0.690458416938782,0,1436.21908528848,42.289582286796,2715.6418098891,-2257.0100053549,-2016.74154111554,-488.3873356063,53.5285691136721,-397.116010156751,1254.13988819139,33.8069711411786,-23.1546699096822,905.519113868106,-207.914540154678,728.720347242911,-126.378340340842,508.570189205455,-14.7466280927941,-101.762348014749,369.02312600453,7.24325672775593,64.8113188123977,-97.5278660115354,-8.60385093083945,-113.095947919043,75.5061397191024,"nonveg_624",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999710738658905,925.337626131138,2083.64580714916,-769.431878255364,2884.25234743942,753.54996230915,2313.54722934233,-137.091873481809,-1.12664127349854,0,1075.63700360531,15.2273149499076,6100.54370184455,-913.79590903471,-142.429803264628,19.1028918074161,89.1983949677107,2.12357103115715,3572.01019254361,-153.685926979622,-22.0959868700272,1753.09864195163,-18.0084841464004,2705.93721673228,-28.8036407003354,2631.21417804754,76.0576695717513,-36.1432872046109,391.4941307845,2.63604512071558,-6.10276986048915,-7.03155628727769,36.2256435473724,-15.0652152814289,72.647206361188,"nonveg_1672",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999999403953552,356.922266716446,-187.244426166388,215.546508272266,2072.62619291308,1116.24654694641,1185.73140999674,-479.972137539415,-4.40299320220947,0,527.221253362061,1.56718365560272,1059.74339654714,-1255.4204600048,-1428.75004193335,24.1506538488925,3.92710440122722,21.0079939546375,891.726143083763,-2.02624924336482,-18.6197273294811,618.153639240873,12.409919271618,605.341626584074,4.96736205936479,522.20941306564,-10.2752051828157,0.569669887512311,385.301675041997,-2.62701683933437,11.9477121373182,6.07007380939252,-9.29422614142186,5.82212995045127,61.9543252175649,"nonveg_703",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
