"permafrost_index","spectral_EVI2b_startSnowfree","spectral_NDMI_lateSummer","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_SWIR1_earlySummer","spectral_SWIR1_lateSummer","spectral_blue_endSnowfree","spectral_red_earlySummer","spectral_red_peakSummer","texture_NDVI_peakSummer","topo_cti","topo_tpi","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changeESPS","spectral_NBR_annualRange","spectral_NBR_changePSLS","spectral_NDMI_annualMedian","spectral_NDMI_changeSSES","spectral_NDVI_annualRange","spectral_NDVI_changeLSES","spectral_NDWI_annualRange","spectral_NDWI_changeSSES","spectral_NDWI_changePSLS","spectral_NDWI_changeLSES","spectral_NIR_annualMedian","spectral_NIR_changeLSES","spectral_SWIR1_annualRange","spectral_SWIR2_changeESPS","spectral_blue_annualRange","spectral_red_changeESPS","site_code","biomass_density_gm2","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other","world_terrestrial_ecosystems_X16","world_terrestrial_ecosystems_X49","world_terrestrial_ecosystems_X50","world_terrestrial_ecosystems_X47","world_terrestrial_ecosystems_X5","world_terrestrial_ecosystems_X1","world_terrestrial_ecosystems_X57","world_terrestrial_ecosystems_X59","world_terrestrial_ecosystems_X45","world_terrestrial_ecosystems_X51","world_terrestrial_ecosystems_X56","world_terrestrial_ecosystems_X10","world_terrestrial_ecosystems_X25","world_terrestrial_ecosystems_X18","world_terrestrial_ecosystems_X55","world_terrestrial_ecosystems_X29","world_terrestrial_ecosystems_X54","world_terrestrial_ecosystems_X53","world_terrestrial_ecosystems_X63","world_terrestrial_ecosystems_X58","world_terrestrial_ecosystems_X52","world_terrestrial_ecosystems_X22","world_terrestrial_ecosystems_X19","world_terrestrial_ecosystems_X75","world_terrestrial_ecosystems_X72","world_terrestrial_ecosystems_X46","world_terrestrial_ecosystems_X12","world_terrestrial_ecosystems_X36","world_terrestrial_ecosystems_X43","world_terrestrial_ecosystems_X74","world_terrestrial_ecosystems_X89","world_terrestrial_ecosystems_X90","world_terrestrial_ecosystems_X68","world_terrestrial_ecosystems_X70","world_terrestrial_ecosystems_X78","world_terrestrial_ecosystems_X14","world_terrestrial_ecosystems_X66","world_terrestrial_ecosystems_X88","world_terrestrial_ecosystems_X31","world_terrestrial_ecosystems_X48","world_terrestrial_ecosystems_X11","world_terrestrial_ecosystems_X98","world_terrestrial_ecosystems_X34","world_terrestrial_ecosystems_X115","world_terrestrial_ecosystems_X111","world_terrestrial_ecosystems_X27","world_terrestrial_ecosystems_X4","world_terrestrial_ecosystems_X7","world_terrestrial_ecosystems_other"
0.210681304335594,2204.34755564254,484.829678328223,5381.31580393798,5601.5492563799,5960.60966703782,2828.53505769484,2654.67015145054,454.601181835583,829.122632578174,755.65917726606,145.306138135875,-1.55701882839203,-0.512569779902696,0,3348.08752736397,1379.82758365654,26.2115451301661,10.0997070713218,2169.20897453583,-41.4680785016213,28.0749954178728,31.1059551660649,1892.89540360217,-52.8331828736175,2209.63004206052,-13.1895527278012,-38.3726050340727,-39.755770282079,2695.30086956729,-24.0980092665958,932.957520902717,-5.48163655243045,404.809552525701,-3.17878937413507,"Finland.Kevo.1",410.874,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.753384411334992,922.981271239645,-3235.64401482123,1777.99592836269,2220.61721354781,2457.70550953084,2734.33584851465,2694.55523613949,782.160100411448,832.019288878157,966.384532964469,-533.090967144033,-1.20591700077057,2.61975407600403,0,945.170708927132,722.861013207226,-5.48241443176902,13.6388870416458,3214.41175790371,-19.0782614228109,-3235.64401482123,-53.3555423869632,1517.31446268703,-11.289918856335,2798.52070902641,-52.8022775288002,-9.47694099658586,-2.38382364404567,1412.92852672755,0.00394822535175384,275.349611359673,2.592906495653,1217.29895567778,2.53519328464739,"nonveg_619",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999710738658905,186.452360657775,-1158.63632379731,677.390860661166,1304.78152920663,1271.34451780821,2094.96266187689,3699.44559644264,1059.60284570808,1551.25634576249,2055.98751346632,497.963155519936,-1.12664127349854,0.185194104909897,0,492.043058266901,642.984821687338,3.94767493024173,12.1360459965544,6038.2685957083,19.6564482887343,-785.08402527884,-183.626147723294,2084.99192938453,1.67185056992111,4025.69804457628,-163.732137469572,41.6398206168628,17.314841701713,2461.98851087959,-18.3208485444426,2695.38031778597,64.9597246359472,380.27225882026,26.5647983002018,"nonveg_1672",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.232790768146515,1438.04887512502,769.880961128621,5135.21841188624,5241.58603440336,6006.03405633259,2013.85017021683,1809.36385589161,424.469679276345,581.219153877509,397.905263944496,450.714694432457,-1.42356544733047,0.504836112260818,0,2434.20897434234,1654.04462417319,7.55332127816827,42.5692430907163,4006.45920364577,4.19509011551287,777.202020903051,15.8650771034882,2960.59241306351,-56.0388667994897,1397.34045669451,-42.3436502028639,8.55261446944678,16.1989710683016,1932.36190265692,-9.90379000631174,511.876006108081,3.46168936956311,207.494250598567,3.28853329315746,"Finland.Javrresduottar.EC-Hummock",1630.4925,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.977506577968597,556.437211024773,458.479571694777,4259.9076253218,4105.76164558294,5347.32181214084,2294.47900253755,2226.00811148206,441.124826546819,888.567993067109,610.992859187998,-363.878327182297,-1.36197948455811,0.066405825316906,0,2368.24717881075,2301.39068367399,59.4232287320737,12.3903437797183,4807.47314874315,69.1633141690657,-49.3797704265101,76.9688850827616,4112.48525845721,-175.770759356806,1788.38181617291,3.66576251423063,54.7125007449066,-97.443699554452,2210.16821541461,-63.0494028996808,656.384950346344,-7.35261221980068,420.709742470463,-7.21886030629031,"USA.NorthSlope.14",143.533333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.403201431035996,842.728222441323,-2672.15924181323,1762.96440734565,1966.8728219586,1726.54047644985,2739.59584215038,2626.75116444511,953.488948310569,1212.80956928947,1311.60115719818,324.088162959636,-2.03749251365662,3.4634153842926,0,1063.46260937097,757.524724344573,11.0367193464826,25.5614446388058,982.460643592403,-57.791802564259,-2103.22726376555,-11.7023298485082,1411.29361769582,14.1371967946322,951.557039350831,-24.8514565257427,-49.526277262034,55.9739434912254,1889.10813332484,10.9014264280901,481.173697030185,11.0731703246864,310.834019070419,4.70436132898599,"nonveg_807",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999998867511749,-220.627313905888,-1165.57829145928,-51.8254025192898,-356.468010314265,534.147468519598,2197.08711679823,2474.25288261244,912.691300867034,1832.48894093514,1889.12191899071,-46.0374508878512,-1.22199010848999,-4.80932474136353,0,-108.873886324862,799.646612641971,2.86547250207758,8.87596044910097,1727.12708581474,-3.38627052292402,-1165.57829145928,-28.0332488710161,890.615478833863,-74.2179565694886,1249.62289705232,-19.9560068789135,4.45166845519047,-67.9939385966312,1831.43297463765,-48.1342105206832,497.317308646962,1.83457563227427,834.32590530535,1.45212764245068,"nonveg_1416",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.990565568208694,556.786629042626,-421.191012302144,1878.666992288,2237.2883290742,2708.90307712154,2091.99291448559,2080.21197235093,755.660783586877,1140.45315004285,1056.58303985136,120.235638948389,-2.33893537521362,0.689003660343586,0,1031.93155449749,881.47672364073,-20.0031405672874,21.4994322839203,1489.01953545343,-187.589810227375,-809.389586435497,-31.782562961445,1429.18432714421,-165.565868139643,2958.1867011476,-73.95466752869,-171.323268896864,-147.602754157129,1574.55080274594,-94.2941149142795,535.670078746085,4.81915551769406,523.544524152041,6.57084161633738,"USA.NorthSlope.HoweIsland-C12",4.4275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.753384411334992,922.981271239645,-3235.64401482123,1777.99592836269,2220.61721354781,2457.70550953084,2734.33584851465,2694.55523613949,782.160100411448,832.019288878157,966.384532964469,-533.090967144033,-1.20591700077057,2.61975407600403,0,945.170708927132,722.861013207226,-5.48241443176902,13.6388870416458,3214.41175790371,-19.0782614228109,-3235.64401482123,-53.3555423869632,1517.31446268703,-11.289918856335,2798.52070902641,-52.8022775288002,-9.47694099658586,-2.38382364404567,1412.92852672755,0.00394822535175384,275.349611359673,2.592906495653,1217.29895567778,2.53519328464739,"nonveg_619",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.998883128166199,1066.78309535665,-759.327051983166,3422.58369890787,1880.00103387542,4776.19265014596,3861.10644051307,4008.9053788463,766.642958388265,1296.52553391983,1149.47866138263,377.792531443531,-0.784139096736908,0.0445140115916729,0,1599.03447670561,2254.61065653404,36.3429620516716,-15.8717550767116,3091.03206299018,160.797454753735,-2156.21049491597,-24.0687281533038,2896.19161627055,-170.364212721797,1704.01367004566,-7.10551224874777,100.23609823798,-99.2490643140039,2139.97157322829,-84.3036691254556,1457.52587305415,-1.15694256615353,499.931737555337,-5.65564894373848,"nonveg_632",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
