"permafrost_index","spectral_EVI2b_earlySummer","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NBR_endSnowfree","spectral_NBR_lateSummer","spectral_NDMI_endSnowfree","spectral_NDMI_lateSummer","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_peakSummer","spectral_NDWI_peakSummer","spectral_NIR_peakSummer","spectral_SWIR1_lateSummer","spectral_SWIR1_peakSummer","spectral_SWIR2_endSnowfree","spectral_blue_startSnowfree","spectral_red_earlySummer","spectral_red_endSnowfree","spectral_red_lateSummer","spectral_red_peakSummer","texture_NDVI_peakSummer","topo_cti","topo_dem","topo_eastness","topo_tpi","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changeESPS","spectral_EVI2b_changeLSES","spectral_NBR_annualRange","spectral_NBR_changeSSES","spectral_NBR_changeESPS","spectral_NBR_changeLSES","spectral_NDMI_annualMean","spectral_NDMI_annualRange","spectral_NDMI_changeSSES","spectral_NDMI_changeESPS","spectral_NDMI_changePSLS","spectral_NDMI_changeLSES","spectral_NDVI_annualMedian","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDVI_changeSSES","spectral_NDVI_changeESPS","spectral_NDVI_changeLSES","spectral_NDWI_annualRange","spectral_NDWI_changeSSES","spectral_NDWI_changeESPS","spectral_NDWI_changeLSES","spectral_NIR_annualRange","spectral_NIR_changeSSES","spectral_NIR_changeESPS","spectral_SWIR1_annualRange","spectral_SWIR1_changeSSES","spectral_SWIR1_changeESPS","spectral_SWIR2_annualRange","spectral_SWIR2_changeSSES","spectral_blue_changeESPS","spectral_blue_changePSLS","spectral_blue_changeLSES","spectral_green_annualRange","spectral_green_changeESPS","spectral_green_changeLSES","spectral_red_annualMean","spectral_red_changePSLS","spectral_red_changeLSES","longitude","latitude","site_code","biomass_density_gm2","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other","world_terrestrial_ecosystems_X16","world_terrestrial_ecosystems_X49","world_terrestrial_ecosystems_X50","world_terrestrial_ecosystems_X47","world_terrestrial_ecosystems_X5","world_terrestrial_ecosystems_X29","world_terrestrial_ecosystems_X1","world_terrestrial_ecosystems_X57","world_terrestrial_ecosystems_X59","world_terrestrial_ecosystems_X45","world_terrestrial_ecosystems_X56","world_terrestrial_ecosystems_X51","world_terrestrial_ecosystems_X10","world_terrestrial_ecosystems_X18","world_terrestrial_ecosystems_X25","world_terrestrial_ecosystems_X55","world_terrestrial_ecosystems_X54","world_terrestrial_ecosystems_X53","world_terrestrial_ecosystems_X63","world_terrestrial_ecosystems_X58","world_terrestrial_ecosystems_X52","world_terrestrial_ecosystems_X22","world_terrestrial_ecosystems_X19","world_terrestrial_ecosystems_X75","world_terrestrial_ecosystems_X72","world_terrestrial_ecosystems_X46","world_terrestrial_ecosystems_X12","world_terrestrial_ecosystems_X43","world_terrestrial_ecosystems_X36","world_terrestrial_ecosystems_X74","world_terrestrial_ecosystems_X89","world_terrestrial_ecosystems_X90","world_terrestrial_ecosystems_X68","world_terrestrial_ecosystems_X70","world_terrestrial_ecosystems_X78","world_terrestrial_ecosystems_X14","world_terrestrial_ecosystems_X66","world_terrestrial_ecosystems_X88","world_terrestrial_ecosystems_X31","world_terrestrial_ecosystems_X48","world_terrestrial_ecosystems_X11","world_terrestrial_ecosystems_X98","world_terrestrial_ecosystems_X34","world_terrestrial_ecosystems_X115","world_terrestrial_ecosystems_X111","world_terrestrial_ecosystems_X27","world_terrestrial_ecosystems_X4","world_terrestrial_ecosystems_X7","world_terrestrial_ecosystems_other"
0.999710738658905,508.281854439989,526.245361573033,684.925180287525,-314.341496182139,-1298.36490371781,-946.745240195552,-1474.5200042204,950.536645097799,1133.06827192852,1661.07118828063,-2973.49524495092,2766.504461159,3503.05649712231,3468.97064951853,2688.26581548384,865.361879778576,1632.78104998715,1949.38705998314,2204.49554094337,2187.42311255553,688.33160803188,-1.12664127349854,4.06728601455689,0.000872678123414516,0.185194104909897,0,643.184359375523,381.69477817747,-9.29701714987031,20.0891988514458,5.84694989012451,6586.7330672377,-231.523893962326,-92.365135969581,49.2011703767836,-58.778108667829,5069.56402185114,-197.425273536392,-60.8208924964489,-8.57299301195579,26.3887382012422,950.536645097799,890.383330127277,1889.64993465993,62.0587048145843,37.3965549043597,9.86244901098921,4115.24331541955,-175.528521421488,-41.0632320216459,23.9068078949535,1086.88899407559,15.058639982105,42.1460439166101,2176.11104368565,48.8365510927333,63.9016171221019,2470.80588766766,49.4591365922256,10.9144492400676,-0.772292469127024,2.72044927902875,520.953040211684,19.0988534064463,-5.09515443268272,1863.69987272518,0.898548862517959,-12.7554240480118,108.379754663243,72.647206361188,"nonveg_1672",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,142.515393606159,397.602139352072,323.911473525683,-1067.10411901862,-864.171804053021,-1590.08290864997,-1407.10621405026,328.870936942572,642.159126088629,-108.981757264195,-1806.16324406178,1130.15107582602,2105.57969150265,1582.80459887698,1717.96206940705,1687.70766911256,1266.11676453569,1245.95724628825,1302.070009874,1061.37779713421,128.969588265941,-5.59687900543213,321.157684326172,-0.37727501988411,21.766092300415,0,318.449768167564,449.054612534864,-7.88678608345757,-8.08199444953962,-79.1523711845081,2646.88178190861,-79.8479181510992,-33.7658193513887,-202.9323149656,-1405.84279525582,2464.68962657684,-74.3062666376094,-31.4852289129926,0,-182.976694599712,593.137479792342,455.36447717091,930.618357559398,-11.4898496891205,-18.2438622586153,-179.477474206574,2381.26523629021,-66.4513167292229,-35.5368729799202,-196.590676175947,581.306959104086,-14.5138636613183,-10.3120039539069,539.885506245453,-11.5820478692638,-11.3957668855161,322.999956442912,-5.96433603652089,-9.80810922309562,0,-55.7856655051739,726.695476857688,-9.05977203973019,-55.7646979079339,1309.53205206513,0,-56.1127635857522,-93.836840603133,80.7713379741114,"nonveg_761",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.232790768146515,2626.1927593347,2950.17633125071,1627.62398700912,3525.58929452682,4042.53548482229,455.925229907513,860.590277968719,5817.57135192945,5402.86155739437,7031.28611984616,-6481.10958500776,2303.31704623623,1522.28204645911,1870.62739895054,747.393085042883,443.848026781393,573.223498380931,482.612555816528,413.334615305243,508.274212097784,186.158744402873,-1.86840262413025,500.040197753906,0.0531275562942028,0.131606536731124,0,2715.79810900657,1555.84888177868,27.5049021119786,19.6420336994965,-20.4713054433804,2955.76018191313,49.4097859066431,40.1587044543608,-12.2155149652532,553.743137442481,2232.74521624336,34.2380281409071,33.4209178058615,-15.8854507923771,-10.7728655617463,5993.84775569395,5867.52405636519,2457.45591283252,45.8150040359123,28.6533569590126,-34.4292137833517,2490.84828846069,-37.3382213958267,-37.0382287384679,46.331788751012,591.787079970048,9.93133297982843,8.00160883744574,560.525722183244,-3.83418813076137,-8.01529655218835,618.338586067189,-6.26744001925579,-3.49907754077661,-3.38439783493858,6.87186528515648,172.308454864619,-2.48224159815139,4.87911706133543,541.782246391991,-2.14090312709581,9.50441758696683,23.9112044,68.8331695990063,"Finland.Javrresduottar.EC-Spring",2379.424,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00999999977648258,3014.91353337379,3530.65263935927,2404.74362400183,3936.60290640863,4379.32145319419,953.6256695939,1313.06008908706,4978.8784203886,4916.54870955136,5879.57819813491,-6222.16485283512,3024.65451231089,2247.16553149326,2347.59205000941,1088.33561950286,669.518163813308,935.171838375425,848.839443527652,841.766367511871,806.826465669125,68.8413273840722,0.154296506765402,14.5223763253954,0.00174727201617012,-0.101039310917258,0,2488.06628984008,1748.40344094886,11.2112830935822,26.8255130793888,-43.306685054732,1819.19907613449,2.64365939091869,29.4589682245874,-47.6837219539601,375.087496183191,1470.95941355784,-1.79149651678594,24.1990380619405,13.1032818978213,-42.8861577165191,4246.53406660787,4772.56776640559,2341.19296000917,12.9496230563636,37.4461621142102,-55.5842634124483,697.269672522581,-8.54634688590755,-2.6492566171119,-22.4925700813736,876.754902833345,5.30658558881729,13.0312468202806,497.853414590385,4.88315085943176,5.91818869733603,283.320700739338,1.01242844723417,2.00094998856137,3.57952888569337,-7.63039987277114,224.708422843195,2.60330267743988,-7.24865880139338,902.5528940309,3.38452013544629,-5.98258692690631,-163.24341,61.2593199985913,"USA.YukonKuskokwimDelta.15B4",268.970833333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.961778879165649,228.158954536731,181.419136482803,-739.734840920172,4648.3238558997,7163.54523396182,3622.69831453834,4702.43357597563,-390.308747543694,-3365.40099948148,-48.1836952351786,2797.59671533433,314.802857758378,232.208879425163,107.325071170448,0,0,307.76700915745,113.175601496167,286.812227065789,225.379746201523,534.719190745411,-0.722232699394226,5.20403528213501,-0.00227405712939799,0.0231208093464375,0,47.1889733185084,967.893795456902,50.941778708258,-9.52473585359065,-33.3821594561094,10036.8126369742,430.637188482836,97.6161082000174,-125.761068903106,3066.65240237016,8413.31283209133,410.795888849942,32.0100496811807,-32.0388861573949,-53.9867630718644,-719.780740200339,-1435.71721126405,3317.2173042463,119.18963822715,18.0065817004482,-132.281012964057,7202.40328466567,-322.930033539698,-56.1438235479689,45.9463325640341,500.883713558035,26.3623007135808,-9.79372925261352,275.06156095387,14.47692426073,-8.82823630439063,178.692876193009,9.40488822068466,-5.04389332522169,3.56689463606077,-10.0952681211382,261.675559166547,-3.96291250249801,-8.00887602971514,191.502871097983,3.07162404321331,-8.68183127848111,83.7202575635776,69.7001789005379,"nonveg_1720",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,269.906041288576,520.925307112685,81.9331696930442,-1358.0109214363,-2075.67354805714,-2384.48225101805,-2975.45686045382,674.702674222991,1755.84486002286,259.276893199398,-2713.83377539884,923.712366147843,2801.16570394996,2432.30771778906,2484.79894753865,1056.49886258024,1233.08041158314,1439.23033250087,1265.18171135053,1011.24937993456,262.043479034806,-1.71154868602753,177.839508056641,0.0982642695307732,4.93172407150269,0,269.906041288576,1332.74228497608,6.96195820724191,-20.5408185318987,75.3029883986722,1869.62950284753,-41.9237218806648,-27.3218152618365,102.523232374405,-2943.77268959995,1696.24971001099,-39.091281040028,-23.7327822937123,131.88517081465,84.42494420511,674.702674222991,825.992923586329,1496.56796682346,15.314511517957,-15.3861400379109,82.416504682088,1891.32514900297,-15.1336940721594,-35.3257506035817,111.399492688742,1033.88635825155,-2.73133119921151,-19.8556603450387,664.64469061825,-3.07525645031528,-14.3332352119582,284.580837076168,-3.89182443980013,-10.3722421198774,52.6736532920807,37.0499763973425,453.403286107828,-8.33501324463838,26.1975248831646,1275.76081081148,36.2760473451391,24.8640887357621,-112.028763471529,75.5098542079364,"nonveg_984",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.983469009399414,888.147339075071,653.201334500996,1082.17913984169,-656.326883140634,-886.468061557863,-1438.79603282565,-1610.93507046604,1323.85152854662,1332.83830876299,1350.02398353866,-2046.88319232807,2829.42216612783,3512.07478210392,3637.03268716322,2959.05219677574,1555.43562109136,2278.11968090954,2089.68514408465,2099.05324765891,2177.7289498401,694.130165937649,-4.75372409820557,1752.64770507813,0.150892600417137,19.2685394287109,0,886.279233105065,428.97780534069,-7.76127203066464,-0.676076545721339,12.9487721446705,606.604324828525,-8.96466050500326,-3.08517521223433,12.7856210231794,-1308.70564639585,602.948288537622,-7.4142763780451,-3.81242169230905,-18.7334361815564,9.56327986891049,1332.83830876299,1317.9594739966,401.245021502017,-6.73251027087032,1.00663288430907,13.4399469414795,450.622111855852,-13.2325885278165,0.735720313991062,21.490895829186,471.182754033006,-5.27661792386361,-5.1091495829048,449.852877344324,-8.54645902054985,-3.89216331529427,418.974708734452,-5.84494796060733,-3.31218794121407,-3.1136059785405,3.87762399158678,192.307905299156,-3.33118599965878,0.367632700496946,2195.59338885224,-4.6279824812465,-0.520450198570112,-132.572576439673,64.4459037282593,"nonveg_915",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.932565271854401,3196.00743247335,3855.66076414969,2171.23768104555,3861.50714454687,4082.05300609348,745.39192652534,745.176850141537,5264.48320252617,5317.41301183682,6477.61673103385,-6247.76133949539,3101.80176789404,2743.69424254136,2763.70431210902,1460.3004913981,639.184936651232,931.565301963062,988.967874808877,781.324513119799,718.091273110818,60.2289806346841,0.121952086687088,21.1242988586426,-0.000835127488244325,-0.00974497757852077,0,3470.32671171005,1850.71278514686,36.849751075392,22.1365781815533,-21.9593646079248,2341.44379349452,51.5125274829665,-12.5230769761129,67.9219218440633,780.742128377197,1717.59612449315,36.0449883459043,-20.488025362065,7.70569735172247,71.2645523175223,5785.18090159298,5424.52624096609,2880.23195126298,66.8719973055748,25.2250010871925,-15.1858821802658,1928.33837329282,-24.8972760635623,-36.1413379788246,75.7298893813513,957.652574884142,23.9180264258929,-3.81044551226407,920.212043693873,23.2989230022773,-11.2679040200381,791.68322984023,19.3619012716592,-18.9302714364301,6.00118476901868,46.1183037877466,727.152603271234,-16.2351966733233,41.1338677746121,999.814380050606,6.1240499678017,44.9974195170657,68.8911833333333,70.2756566657363,"Russia.Yamal.VaskinyDachi-1",417.324,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999999523162842,-115.819745508717,1445.35200839227,565.309717809737,-178.540025371942,2334.92291295353,-1448.14683781761,681.871473946701,356.128572614512,660.430083611415,1742.29047503662,-1823.83654135585,2241.29397897499,2346.82875371665,2350.86561536188,1054.65536546805,1165.04188291196,1313.46651231908,1041.09536031461,1636.24209834266,1598.46845869,37.8364530965581,2.43538379669189,45.811408996582,-0.0076152621768415,-0.429621040821075,0,565.309717809737,1561.17175390098,-34.0564731659227,56.7053629806382,-112.649934879343,2875.57881678934,-90.0061717392763,97.2837232734017,-193.343302948113,-511.806326134342,2248.14174148924,-66.7200895429158,78.5826372484256,52.0376151169794,-163.847562443409,1112.55132053346,1233.44450112322,1939.69348120559,-37.8211373959476,69.3080951211055,-125.799382323745,1717.55973864445,-56.5532786691693,46.4258080047297,-132.119979895727,1152.49995475263,-18.6152501852953,35.9394621438942,839.58747175076,-0.413399304302368,22.9191395035718,801.148383273457,0.908185118439837,10.5279998144239,3.60784539365498,-36.1247888956611,605.053151848392,13.5847521320968,-46.542550142184,1422.23284970197,2.905664588666,-45.7805183098497,-100.764266043004,73.6792653206976,"nonveg_663",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00999999977648258,2557.33358991605,3198.81615261978,1856.15778424428,2899.3285854586,3702.27877272445,7.42575129443357,639.881845511884,4134.56721443198,4058.6287681037,5220.09902152306,-5681.49086289455,2886.0774642885,2564.15684767821,2615.39834667496,1250.62809381583,586.11229713343,999.640151276813,906.37517081209,958.735319015516,918.919452813563,-118.179679738641,-1.67099940776825,15.974440574646,-0.0136157386004925,0.847252905368805,0,2405.01663508234,1495.48589164863,9.91427819312157,10.7557394340115,-54.5539778548353,1667.90887129553,5.04940498219045,15.3977489984723,-51.6358285637912,1.55388509699878,1288.01734707759,2.85515594029574,10.5075877138393,22.9585246063273,-42.9761461479275,3944.57678861445,4232.17909701085,2041.05560218688,11.543472381647,16.9138542739195,-65.1211673644692,982.065656726376,-8.48931956224096,-11.1519935722866,-22.6873180048204,816.367352370099,5.27654646113098,2.54714070922722,496.274878009049,3.42842706921063,-2.3249243023303,238.418215346729,-0.110562962375866,-1.06296148310595,6.72106992064122,-9.17928203949869,202.569572988704,-0.88160492885293,-7.50257677735942,924.970378305423,7.02869892702063,-7.15225534961118,-163.22282,61.2366499985896,"USA.YukonKuskokwimDelta.UB5",1084.34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
