"permafrost_index","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_SWIR1_peakSummer","spectral_blue_startSnowfree","spectral_red_earlySummer","spectral_red_lateSummer","texture_NDVI_peakSummer","topo_cti","trees_presence","spectral_EVI2b_annualRange","spectral_EVI2b_changeESPS","spectral_EVI2b_changePSLS","spectral_NDMI_annualMedian","spectral_NDMI_changeESPS","spectral_NDMI_changePSLS","spectral_NDVI_annualMedian","spectral_NDVI_changeSSES","spectral_NDVI_changeLSES","spectral_NDWI_annualRange","spectral_NDWI_changeSSES","spectral_NDWI_changeLSES","spectral_SWIR1_annualRange","spectral_SWIR1_changeLSES","spectral_SWIR2_annualRange","spectral_SWIR2_changeESPS","spectral_SWIR2_changeLSES","spectral_blue_annualMedian","spectral_blue_annualRange","spectral_blue_changeSSES","spectral_blue_changePSLS","spectral_blue_changeLSES","spectral_green_changeLSES","site_code","biomass_density_gm2","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other","world_terrestrial_ecosystems_X16","world_terrestrial_ecosystems_X49","world_terrestrial_ecosystems_X50","world_terrestrial_ecosystems_X47","world_terrestrial_ecosystems_X5","world_terrestrial_ecosystems_X29","world_terrestrial_ecosystems_X57","world_terrestrial_ecosystems_X59","world_terrestrial_ecosystems_X45","world_terrestrial_ecosystems_X53","world_terrestrial_ecosystems_X56","world_terrestrial_ecosystems_X51","world_terrestrial_ecosystems_X10","world_terrestrial_ecosystems_X25","world_terrestrial_ecosystems_X18","world_terrestrial_ecosystems_X55","world_terrestrial_ecosystems_X54","world_terrestrial_ecosystems_X92","world_terrestrial_ecosystems_X90","world_terrestrial_ecosystems_X89","world_terrestrial_ecosystems_X88","world_terrestrial_ecosystems_X63","world_terrestrial_ecosystems_X58","world_terrestrial_ecosystems_X52","world_terrestrial_ecosystems_X1","world_terrestrial_ecosystems_X22","world_terrestrial_ecosystems_X19","world_terrestrial_ecosystems_X75","world_terrestrial_ecosystems_X72","world_terrestrial_ecosystems_X46","world_terrestrial_ecosystems_X12","world_terrestrial_ecosystems_X36","world_terrestrial_ecosystems_X43","world_terrestrial_ecosystems_X74","world_terrestrial_ecosystems_X68","world_terrestrial_ecosystems_X48","world_terrestrial_ecosystems_X70","world_terrestrial_ecosystems_X78","world_terrestrial_ecosystems_X14","world_terrestrial_ecosystems_X66","world_terrestrial_ecosystems_X31","world_terrestrial_ecosystems_X11","world_terrestrial_ecosystems_X98","world_terrestrial_ecosystems_X34","world_terrestrial_ecosystems_X115","world_terrestrial_ecosystems_X111","world_terrestrial_ecosystems_X27","world_terrestrial_ecosystems_X4","world_terrestrial_ecosystems_X7","world_terrestrial_ecosystems_other"
0.982395112514496,1970.80546114138,5865.99438105407,6002.42663686829,6551.34234368346,2363.13917473346,772.418931193365,806.491686243949,596.171572538201,170.907966379901,-0.622312585512797,0,2064.62236862425,24.8613852982837,-21.1822786363724,437.505495639359,16.7339620970655,-13.6832662033384,5812.9219334492,73.5043494620989,-42.8734230998714,1876.784249601,-34.2139689765364,14.3436281667378,448.923047191979,-2.44322381459172,185.422854399936,-0.170042206730571,0.0669396169781938,545.426724167005,180.018743605969,-0.381186502872996,-1.05987348350596,2.9320092742604,0.638417503749508,"Canada.DaringLake.Tower3-DwarfShrub-2",416.833333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.997956037521362,554.163174058469,117.898278459524,-434.56129821148,154.316857124099,231.502850448259,2430.60517993869,1246.32315602667,389.619195645535,212.93059413064,-4.51411104202271,0,1163.25303808333,8.90028327506404,-12.2472828863927,1557.88553481348,-73.5239371267983,74.3823417666175,-434.56129821148,36.6274996380894,-5.49707665075032,3199.36424187346,-57.2879258986224,65.8093915625031,1126.23390176401,53.6301857982863,1099.36531796686,-14.3311511663985,52.3507294269935,1152.31273183702,2386.24168311925,-35.8448431190211,14.3097366641087,38.449750717681,42.4163168542148,"nonveg_593",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999999940395355,-182.507994207573,710.347509071401,641.709263508071,1303.79965644169,2650.78344865296,1829.91942589,1802.56000204608,1379.95161806334,-120.371609974282,-3.28070092201233,0,885.231571675465,7.61781321752524,-127.391911796834,-1788.64779203179,-52.2965008366238,-161.997563163792,710.347509071401,36.1391658068703,78.6871094751834,1700.22126622454,-27.5786777657298,89.7895145224974,1314.50004944107,81.0063167306794,886.363313495871,14.4281093823936,23.8273899968529,944.359199150372,1031.37675766687,-21.8573672919126,-26.6789797118276,36.4541327318094,47.2206101508079,"nonveg_897",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.974346518516541,1955.46292458468,5057.09545665251,5735.44628593174,6139.16045057941,2282.74964754099,481.823568396774,802.344211891624,742.988053072825,-170.792497116734,-2.05583953857422,0,1075.02529688863,3.08310416955492,21.0461677078819,259.59999879046,8.87536943812628,25.0410058528248,5311.26560341297,36.6903092820782,-71.0666179533634,1568.21837584978,-16.0504534072012,7.62598941456544,474.549959668323,-8.66368490697495,451.844499887333,-10.4464605248046,-3.51244039326081,558.903522736116,174.626647407717,1.01341910985767,10.2721557298657,-4.2046433337649,-4.50657241282007,"USA.NorthSlope.Sagwon-C18",94.518,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.977906346321106,2113.36770369771,5358.67606862238,6397.81921225512,7590.05648664776,2388.01859875184,719.411612377593,482.238939288464,566.612578153837,185.229103794941,0.110099911689758,0,3054.75392488743,72.6031261289057,-45.7831395967465,-58.680096998673,104.950740675582,-57.8270258242615,5459.79854366817,39.6970129440721,-101.89954603702,2886.03816754657,-75.1742245693792,-26.0311509854405,1262.82979948343,-28.3914717038535,769.395029036617,17.3433443747662,-16.3665747215877,539.858029466822,612.026446095293,-9.92418865316655,-11.6716474524117,-12.3167407609616,-12.9349276938179,"Canada.DaringLake.Tower4-LowShrub-2",860.846666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.879716718196869,1529.01443886335,4301.79672068326,4530.02601307614,5728.7129405558,2624.91421269113,715.833143670074,1059.94861324289,877.634008599912,-59.7189972569095,-2.30568290352821,0,3181.85205603106,52.0978158717564,-62.9626099847935,-475.511522044529,58.4683372522244,-63.4616584501208,4006.53321192982,40.5436216409448,-70.9078112565721,1571.621074429,-32.316154571015,26.0622156231781,608.962731736553,4.24020511565206,573.345154572445,-5.53022329951031,8.79650088980661,656.826728694948,309.334675204482,-4.08630735058242,-8.20544257833818,2.12648702358976,1.16496662116046,"Canada.KluaneLake.Ruby-MixedTundra",108.7975,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.98184462123447,2004.60953636137,4751.53644483311,5945.71168041108,6467.3673858293,2407.5035495756,863.2156074631,897.620632635755,813.142435116031,87.635390516358,-1.37762364546458,0,1252.27588576518,23.6829374560341,-34.989768353857,129.979129940699,19.7783450753252,-147.111817754309,4538.17882618515,13.4226213027374,67.1181447698173,4872.94912416661,-88.3067660746365,151.632933045253,1712.73689243908,71.3640371849617,1727.0414754296,-5.89058286695903,71.9600614762335,0,2409.75960282827,-63.199212246817,0,100.406650117845,107.122013854772,"Canada.Yukon.UPPERQUARRY",104.722666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.779269814491272,1578.24425516265,3856.50134899747,3990.48724545307,4281.87204277215,2416.81001683353,923.106700331125,994.707904478955,742.989017390275,-237.41387213664,1.40637443794144,0,609.758191933459,3.62224870506287,11.629787689912,-1228.8661504532,1.0226787095673,23.9535986136308,3527.16401639168,13.4918200772062,-27.8287600884259,2442.82392005256,-37.9127086108255,-14.0958985845424,474.749711760664,-8.63944302665054,463.130925005946,-3.74361737588899,-8.83077182709329,666.120094763572,763.679305440472,-11.9605535826764,20.2453488384497,-7.16616772265445,-5.92158016477147,"Canada.BonifaceRiver.LSA4",756.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999996185302734,388.892787321093,1152.85471025989,54.4153143802661,691.906348362087,2562.23178033131,1996.78242837606,1982.92712590536,1131.76523525352,-12.40335110704,-2.91451239585876,0,699.654097505623,-11.6225055140438,-34.0909549712106,-1638.05170294519,-32.5079227714944,-38.1879114184182,581.509310180685,22.8538160031682,26.178096100964,1644.6044556291,-0.573163562012317,47.0061722419243,987.775708670912,-4.29381968382438,801.938965527055,-13.2173041055432,-6.63572368912535,1013.08591502275,1234.97509420528,-16.2884233937451,-20.9398817376641,20.6201759327405,16.6867943340775,"nonveg_560",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999996304512024,641.764291531282,707.627697982872,1125.92520669377,329.763135587586,4515.20434195191,2230.98917224228,2931.54995572436,2778.90336156032,331.401325731945,-1.49961316585541,0,658.932724601345,-10.9393218772307,109.822120766891,-1972.58845953754,-17.8422656274207,174.745408795791,707.627697982872,-3.11081708780159,-70.2947351390689,943.881371177599,-14.7150797496486,-56.7605073499469,606.208529135635,-40.394484209628,549.491762714227,-14.2026552176168,-37.1582140295626,1762.37552559732,665.32997090126,-11.7512446620829,32.7860540427168,-17.2031579091849,-23.2360580846298,"nonveg_643",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
