"permafrost_index","spectral_EVI2b_startSnowfree","spectral_NDMI_earlySummer","spectral_NDMI_endSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_lateSummer","spectral_SWIR1_endSnowfree","spectral_red_peakSummer","texture_NDVI_peakSummer","topo_eastness","trees_presence","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changeESPS","spectral_NBR_annualRange","spectral_NBR_changePSLS","spectral_NBR_changeLSES","spectral_NDMI_changeESPS","spectral_NDMI_changePSLS","spectral_NDVI_annualMean","spectral_NDWI_annualRange","spectral_NDWI_changeSSES","spectral_NIR_annualRange","spectral_SWIR1_annualRange","spectral_SWIR1_changeSSES","spectral_SWIR2_annualRange","spectral_SWIR2_changeESPS","spectral_blue_annualRange","spectral_blue_changeSSES","spectral_blue_changePSLS","spectral_green_changePSLS","spectral_red_annualMedian","spectral_red_changePSLS","spectral_red_changeLSES","latitude","site_code","biomass_density_gm2","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other","world_terrestrial_ecosystems_X16","world_terrestrial_ecosystems_X49","world_terrestrial_ecosystems_X50","world_terrestrial_ecosystems_X47","world_terrestrial_ecosystems_X5","world_terrestrial_ecosystems_X29","world_terrestrial_ecosystems_X27","world_terrestrial_ecosystems_X1","world_terrestrial_ecosystems_X57","world_terrestrial_ecosystems_X59","world_terrestrial_ecosystems_X45","world_terrestrial_ecosystems_X53","world_terrestrial_ecosystems_X56","world_terrestrial_ecosystems_X51","world_terrestrial_ecosystems_X10","world_terrestrial_ecosystems_X18","world_terrestrial_ecosystems_X25","world_terrestrial_ecosystems_X54","world_terrestrial_ecosystems_X55","world_terrestrial_ecosystems_X92","world_terrestrial_ecosystems_X90","world_terrestrial_ecosystems_X89","world_terrestrial_ecosystems_X88","world_terrestrial_ecosystems_X63","world_terrestrial_ecosystems_X58","world_terrestrial_ecosystems_X52","world_terrestrial_ecosystems_X22","world_terrestrial_ecosystems_X19","world_terrestrial_ecosystems_X75","world_terrestrial_ecosystems_X72","world_terrestrial_ecosystems_X12","world_terrestrial_ecosystems_X36","world_terrestrial_ecosystems_X43","world_terrestrial_ecosystems_X74","world_terrestrial_ecosystems_X68","world_terrestrial_ecosystems_X48","world_terrestrial_ecosystems_X70","world_terrestrial_ecosystems_X78","world_terrestrial_ecosystems_X14","world_terrestrial_ecosystems_X66","world_terrestrial_ecosystems_X31","world_terrestrial_ecosystems_X46","world_terrestrial_ecosystems_X11","world_terrestrial_ecosystems_X98","world_terrestrial_ecosystems_X34","world_terrestrial_ecosystems_X115","world_terrestrial_ecosystems_X111","world_terrestrial_ecosystems_X4","world_terrestrial_ecosystems_X7","world_terrestrial_ecosystems_other"
1,-54.3016250656769,277.072543528629,43.4970461605629,543.131609587626,732.351981350419,752.147968240981,493.861971902778,292.200687369069,0.472355216741562,0,781.42829799995,10.7447996345638,-17.5277611145419,1427.36904925872,59.3838606733049,-22.9699835989377,-31.3348614655788,55.7682595286224,211.505094629264,1035.04959395669,-5.73108682435569,518.87253957493,664.200207754152,8.89737597732895,404.49944717002,-9.80087111179102,374.568913499515,-5.67905332735769,14.9752299335353,11.7274039979443,752.917450406358,12.952773925179,0.21707060735985,66.7590561469078,"nonveg_689",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.108242653310299,1731.70263855625,-756.745226179784,972.659569765933,5218.73089243197,6292.61275881379,1826.21682032321,395.480632758201,152.337959199381,-0.0482607677578926,0,1397.15958663429,16.9571028561499,22.9617424762585,3848.36660579239,-5.61786195553108,52.5352325802742,39.8482814393522,-2.39090778354446,5772.20170639145,1757.75965602062,-37.3427710977034,413.097379309558,916.739453324042,-16.4607359223123,735.736468247343,-3.9415042289059,364.879211572431,-10.0405260604301,-6.46580635105449,-4.39821806756662,340.127999409931,-4.49432526187874,17.0397341859389,69.6090101990405,"Finland.Kevo.5",1336.79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.401205226778984,1566.50689545736,63.2648920835158,-10.708760394394,5235.43777304076,4993.8959488142,2431.36890236229,822.765491542563,-48.1481784638896,0.068653117865324,0,1480.24756431466,21.4177650585036,13.8262245680359,1794.58375020491,1.5797847325815,4.51215827737411,13.3726979078673,3.83738246242366,3621.13357403371,4799.71664287715,-90.8421694874321,311.979549339382,219.524208546231,-0.994851912172267,359.642996798013,-3.48831350399525,1316.59590088281,-28.8478483040614,3.34828799072842,1.71955147715416,1031.51512183885,3.43301694841409,4.07485996406111,65.1648299988325,"USA.Kougaork.LowShrub",201.79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.972424924373627,1092.52505478838,-3459.22882449735,-2966.06961105702,1924.48457427684,1551.3752796562,2580.34802503071,724.320399524112,-168.496753629163,0.0224280748516321,0,644.867191543524,-11.2417881545993,-9.89378105522536,1351.06378688628,1.74548007035849,68.8870663881594,-15.5410647341415,1.5004534337457,1898.31616301144,1173.36821389599,-23.8963505097538,555.287588671575,853.957379470894,-13.2525074107998,516.724608088588,-8.14582228292568,214.176446122842,-4.05678654491524,-0.132606421932678,-0.14071887915862,849.309447174656,-0.460583531700812,11.4360740928631,60.7937394480651,"nonveg_746",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999994456768036,10000,-57.5463090395275,-437.680334949552,81.2530269543411,1413.51258381671,2392.62669398507,1314.5424307162,-183.897475254612,-0.0588624775409699,0,10628.5302615535,-415.368526181774,-27.4869013829536,4335.31202069734,1286.29463889687,-772.074069265191,-51.6404105826384,1086.79537239363,155.065774446093,2152.30496899679,-46.2437985887022,1447.28896870694,1213.96067359598,13.1796284262134,806.652195382896,-20.7106591172878,1238.43861433371,-35.1603291886538,405.918069394209,373.989920567845,1805.92365597817,397.92411229349,-152.233499662504,71.3418112735275,"nonveg_1477",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0769102940601964,1798.49848613593,1253.01781944063,1543.00372811166,6102.61423635425,6574.17932205874,1942.09631354278,568.83760622552,5.49781141191764,0.0200974374477353,0,2832.55437259644,107.399843983889,21.3526274977679,2616.40707182085,-120.585824545345,101.697855698436,-0.0103535867105455,-106.567418955228,6611.78628911832,2721.4853478585,5.78361852437568,1163.35745431591,982.060678243803,18.7283152141532,680.820833545111,-10.8677388290502,821.976374293819,15.1317867228299,-30.4122185671807,-28.441606377207,669.344039027736,-26.5686263746897,37.8302458657481,68.4116392847018,"Sweden.Abisko.KJ-SalixShrub",565.131428571429,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999990701675415,756.030255390991,-586.160697017148,-1295.04137868523,3095.03006571944,2870.57028658428,2035.44889698786,1091.015591556,-735.447244405173,-0.0162668656557798,0,1029.40133009239,44.7565795692343,-16.2349471451317,1075.27058371944,25.4551716255868,-23.4355140602878,-18.7853383195915,15.7846465372046,2534.20573818525,1177.24059312084,18.859349420696,830.451125044064,788.244951452691,31.7002443672228,564.950036807755,-11.3989749810403,253.121561690382,10.1202272286939,5.17061197546157,3.33189573303152,1091.015591556,3.72945409592684,-8.18540849145593,73.158350902705,"nonveg_898",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.210681304335594,2259.7830303118,-761.618047583959,-68.7426976879521,5126.70470881587,5477.44979159369,2611.45373111534,813.632279086836,-4.74146214739204,0.0491999827325345,0,1488.89593783076,27.7324267384609,10.1832823757697,2390.61139544202,-67.0925847931358,4.25239935261432,11.7655197933625,-60.2397718698127,5638.78992617518,1568.05775657343,-13.0955653064,625.617065055789,681.015591893517,8.54712922530232,481.546879518558,-5.61993244873548,198.698193667054,0.65727623059922,-8.26864813185271,-7.10232024540256,827.952722610201,-7.53383747014666,2.41204717117158,69.4187847990321,"Finland.Kevo.1",291.698,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999996304512024,988.785299191723,-1334.2399844031,-1290.5318001967,1208.38653641346,803.504070288452,4627.19482766275,2721.00312478307,-458.929412486808,0.0267367959022522,0,417.847040583397,-1.05459592959092,-12.4243408634219,1193.9980357156,17.23092621821,113.145376793433,-20.117173418606,11.6059697398783,1047.83898197431,918.686808246934,-12.3200687873485,641.566265628414,615.256914466829,4.1496854653591,542.861447559292,-14.7521691035029,658.085641868864,-11.0590974153573,-0.00613079433329252,-3.59354273720487,2758.85097052932,-6.08592088646621,10.6233387235778,71.7283863060289,"nonveg_643",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.973925630251567,725.707416493988,-2893.96768996909,-2860.41882846996,1815.08758429138,2028.97951595288,2536.60600409987,929.67404215694,72.328402864799,0.0165309504502349,0,769.546071100127,-1.12498091362059,17.1628859412412,928.499659813169,7.97204945870107,-1.55585484392003,14.9062049492056,6.0328150440743,2432.08626497101,1986.28938322363,-37.5964679226143,370.301290636642,274.515472018175,-6.38408074460872,173.113644374608,2.07651923195556,717.980678307951,-14.1352005552893,4.49250591955538,3.28519666051903,1035.74919908061,3.74317553095689,2.6494068398644,62.4030449986713,"Canada.Ivujivik.RTP12",212,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
