"permafrost_index","spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDMI_endSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_SWIR1_peakSummer","spectral_green_peakSummer","spectral_red_peakSummer","texture_NDVI_peakSummer","topo_cti","topo_eastness","trees_presence","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NBR_changeLSES","spectral_NDMI_annualMedian","spectral_NDMI_annualRange","spectral_NDMI_changeESPS","spectral_NDVI_annualMedian","spectral_NDVI_annualRange","spectral_NDVI_changeSSES","spectral_NDVI_changeLSES","spectral_SWIR1_annualRange","spectral_SWIR1_changeSSES","spectral_SWIR2_annualRange","spectral_SWIR2_changeESPS","spectral_blue_changeLSES","spectral_green_changePSLS","spectral_green_changeLSES","spectral_red_changeSSES","spectral_red_changePSLS","latitude","site_code","biomass_density_gm2","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other","world_terrestrial_ecosystems_X16","world_terrestrial_ecosystems_X49","world_terrestrial_ecosystems_X50","world_terrestrial_ecosystems_X47","world_terrestrial_ecosystems_X5","world_terrestrial_ecosystems_X1","world_terrestrial_ecosystems_X29","world_terrestrial_ecosystems_X57","world_terrestrial_ecosystems_X59","world_terrestrial_ecosystems_X45","world_terrestrial_ecosystems_X56","world_terrestrial_ecosystems_X51","world_terrestrial_ecosystems_X10","world_terrestrial_ecosystems_X25","world_terrestrial_ecosystems_X18","world_terrestrial_ecosystems_X54","world_terrestrial_ecosystems_X55","world_terrestrial_ecosystems_X53","world_terrestrial_ecosystems_X63","world_terrestrial_ecosystems_X58","world_terrestrial_ecosystems_X52","world_terrestrial_ecosystems_X22","world_terrestrial_ecosystems_X19","world_terrestrial_ecosystems_X75","world_terrestrial_ecosystems_X72","world_terrestrial_ecosystems_X46","world_terrestrial_ecosystems_X12","world_terrestrial_ecosystems_X36","world_terrestrial_ecosystems_X43","world_terrestrial_ecosystems_X74","world_terrestrial_ecosystems_X89","world_terrestrial_ecosystems_X90","world_terrestrial_ecosystems_X68","world_terrestrial_ecosystems_X70","world_terrestrial_ecosystems_X78","world_terrestrial_ecosystems_X14","world_terrestrial_ecosystems_X66","world_terrestrial_ecosystems_X88","world_terrestrial_ecosystems_X31","world_terrestrial_ecosystems_X48","world_terrestrial_ecosystems_X11","world_terrestrial_ecosystems_X98","world_terrestrial_ecosystems_X34","world_terrestrial_ecosystems_X115","world_terrestrial_ecosystems_X111","world_terrestrial_ecosystems_X27","world_terrestrial_ecosystems_X4","world_terrestrial_ecosystems_X7","world_terrestrial_ecosystems_other"
0.999920964241028,-373.216336876955,-95.4228413038225,-888.058418808082,-722.888350716342,-536.29008785636,21.4230171285784,-554.462771565005,1121.17184682843,842.565795539688,951.870248582232,-599.520460103772,-0.714977979660034,-0.00313713634386659,0,607.253390962882,-6.7397100928269,-59.5907594008826,-241.254491644924,8956.31319463936,-58.8269160902988,-554.462771565005,1906.93240268586,44.7161936477285,-37.1808736656625,1118.59534283673,23.17724230272,952.306201388454,11.1828103773347,-13.427294781363,10.520535430754,-14.9813064726857,6.42515588774789,11.2485721145434,72.1967993150336,"nonveg_1642",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999989867210388,263.572536791044,23.1730910537805,-2883.96700627761,720.972918532099,613.410113780469,21.8868234092578,-447.174231529667,1911.59248019513,896.475313401506,925.458859845204,-312.948808421965,-1.76915812492371,0.00517040630802512,0,584.694905767586,9.73278047120254,718.379122900629,-2978.20445437208,1463.67790822405,-44.3538760067894,27.1666337251061,1168.14715006177,21.6814464002185,591.523290371211,841.430756975455,9.81971945462178,585.348901127791,-17.7378454887209,185.874571076679,0,172.51067751223,2.16117114893568,0,70.3339627743113,"nonveg_822",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.977506577968597,1985.40230295042,1097.18882059366,-432.014632260131,4522.20969352655,4289.92101818191,4903.70283023276,4900.88074994869,2074.95845986081,627.904777093059,664.272585961045,586.938483352142,-1.36197948455811,9.22600229387172e-05,0,929.821103464328,28.8053324774911,89.4515768846685,-580.434417364522,891.782952537111,-16.5073974658261,4314.85254088025,1859.10781847818,45.9010007370766,33.9218997772447,425.95226335519,0.943366442023322,412.088539272474,-11.7481187431153,18.360664532404,4.55907788953199,16.1138552377415,-5.60817791889353,6.00786360661268,70.1621599990646,"USA.NorthSlope.14",151.266666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,142.993447854073,-115.797253682208,-3394.27007093029,352.874243445864,366.323529142013,264.037003147301,64.9428891076101,2844.11055606916,1077.63524634357,1252.99130423195,169.859803074561,-1.66025447845459,0.024918157607317,0,292.296110631406,10.8257818752373,35.0759825496977,-3394.27007093029,913.026200818036,-20.6200959319347,264.037003147301,493.830189164338,17.7918853136366,17.047754332452,317.086978600399,5.84940825237663,236.036150868174,-8.4298625310062,15.1811894269948,16.7390465625625,12.452685391975,-8.25824959616052,14.520220506346,75.6525418287001,"nonveg_976",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.980976760387421,1718.7342414819,1259.37179271974,-1352.13589197945,3424.33925541826,3657.96541682328,3669.27918395731,3693.00746774698,2636.82349877242,708.618036332289,785.167456365747,-71.5507730618258,-1.04533790217505,0.00491824541758332,0,998.54027206787,19.5751066116746,80.4642103976546,-2214.99283056584,1658.66112929328,-5.90970136623364,3467.26743098628,1978.84167468518,41.239768477334,59.6200681125457,691.230276948097,14.7707524845855,364.793000859826,-5.73989366740886,29.0573159621565,0.724633646738312,26.2524256467088,4.82836625513907,1.36913233593711,61.2847199185933,"Canada.ChukotkaRiver.TPO5",942.54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.982200491428376,2178.14045873419,2130.72781912711,-395.634333458953,5242.5801193154,4489.01010343152,5366.35953648762,5874.96899089466,2320.73328699065,635.115633000223,666.392771414581,66.4438641355691,0.502999377250672,2.752827713266e-05,0,1159.21279286565,21.7713545007102,-27.3846557257453,76.0202853748906,682.788794560122,4.60959281295903,5002.21944600017,2095.88425055594,43.7658742226782,-37.4293581779765,399.675475698273,8.83675607092727,275.936953199693,-5.22130465476643,0.63090530238732,-0.426559658168507,-2.34173964901242,1.16333823953257,0.542543987052321,64.8683399988168,"Canada.DaringLake.LowBirch",420.936,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999979972839355,-148.749002201176,-429.289668148325,-1831.4879538796,555.479402746945,-63.0358452955212,832.607877600325,1197.69841386426,2482.87883266438,1453.01993291834,1730.71197142169,-617.509936025923,-3.99211120605469,-0.240644454956055,0,1264.36107596885,35.0086166940664,-16.9781944305959,-1602.89308648083,306.838138214199,7.45002250634523,555.479402746945,1527.72253719656,44.2751763039626,-35.8257489158338,528.455035416781,12.9637740010786,437.530584325258,10.5821800326763,-11.9873235127609,-2.45969738363926,-9.21021741014061,-24.6597577635925,-0.462303889201748,67.839058187641,"nonveg_670",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999999821186066,429.439755109238,-195.561177691038,-1753.89362975548,1053.00053969916,716.314619777793,502.9930173545,540.150017125714,3132.15130649963,1534.51677082047,1811.78185669112,-290.643498823492,-4.52695512771606,0.209692567586899,0,842.793369754922,31.2145692501823,88.1685488135456,-1853.39070544847,684.388336875915,-21.9754637872566,540.150017125714,1244.61680059248,46.0969185404622,35.5536004038821,1098.793625876,40.6960602176295,699.751017933124,-18.1972687205562,30.6310080458954,7.35071629350896,22.5531523357885,1.50273215492067,6.7325345228589,77.446173452275,"nonveg_997",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.718722303708394,1536.10038067242,1614.61374726674,-752.082807084352,4725.92999531483,3491.29298270881,5418.74490814144,5935.5033388916,2036.04882934198,571.120352741759,546.780552925543,216.27592409345,-3.55839286247889,-0.00238468781268846,0,2185.50501514284,26.6342707129986,-96.6194079416962,-312.110031549572,2150.63913559699,38.1431725769596,4718.58747658495,2937.57329155246,24.8965000862986,-104.913331841159,769.929308241125,-7.45815486157597,509.06258018503,-1.59984872053316,-17.2238083170683,8.5106013044444,-16.5026289114125,-9.28406823804812,11.1639733033645,61.4456871546903,"Canada.KluaneLake.Quill-MixedTundra",350.643333333333,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.163150444626808,2586.55689487749,2417.45557442579,1255.1816940375,6933.07637249066,5795.39613927752,7011.00575521103,7534.70493509596,1800.10809335778,584.802956920919,516.128796018874,-172.81124354936,-1.60638403892517,-0.0100890202447772,1,1840.79709905303,36.2125492790786,-145.27512019056,2071.75955877825,2833.70872978538,9.64787747561418,7134.51638494818,2783.94083653738,46.4841616808178,-99.4264584477635,591.971345080816,6.91796937763834,346.708205506234,-4.17541369904831,-8.79865980250432,4.66915117262364,-10.0305627167514,2.70154408269159,5.65518447731938,64.7148699988086,"USA.InteriorAlaska.20",747.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
