"ds_type","response_type","importance_type","Variable","Importance_avg","n","Importance_proportion"
"Woody Plant","Regression","SHAP","trees_cover",1.40154964112046,6,0.06
"Woody Plant","Regression","SHAP","topo_tpi",0.968463105393706,71,0.71
"Woody Plant","Regression","SHAP","topo_cti",0.92532667954911,90,0.9
"Woody Plant","Regression","SHAP","topo_slope",0.54623454091411,51,0.51
"Plant","Classification","Proportion","spectral_EVI2b_startSnowfree",0.96,96,0.96
"Plant","Classification","Proportion","spectral_NDWI_endSnowfree",0.91,91,0.91
"Plant","Classification","Proportion","spectral_EVI2b_endSnowfree",0.88,88,0.88
"Plant","Classification","Proportion","spectral_EVI2b_lateSummer",0.8,80,0.8
"Plant","Classification","Proportion","spectral_NDWI_peakSummer",0.79,79,0.79
"Plant","Classification","Proportion","spectral_EVI2b_peakSummer",0.76,76,0.76
"Plant","Classification","Proportion","spectral_NDWI_lateSummer",0.76,76,0.76
"Plant","Classification","Proportion","spectral_NDWI_startSnowfree",0.74,74,0.74
"Plant","Classification","Proportion","spectral_NDWI_earlySummer",0.69,69,0.69
"Plant","Classification","Proportion","spectral_EVI2b_annualRange",0.68,68,0.68
"Plant","Classification","Proportion","trees_presence",0.68,68,0.68
"Plant","Regression","Proportion","bioclimate zone",0.99,99,0.99
"Plant","Regression","Proportion","permafrost_index",0.98,98,0.98
"Plant","Regression","Proportion","ecosystem",0.9668,96.68,0.9668
"Plant","Regression","Proportion","spectral_EVI2b_annualRange",0.93,93,0.93
"Plant","Regression","Proportion","spectral_NDWI_annualRange",0.87,87,0.87
"Plant","Regression","Proportion","trees_presence",0.86,86,0.86
"Plant","Regression","Proportion","texture_NDVI_peakSummer",0.84,84,0.84
"Plant","Regression","Proportion","spectral_SWIR2_annualRange",0.83,83,0.83
"Plant","Regression","Proportion","spectral_EVI2b_changeSSES",0.82,82,0.82
"Plant","Regression","Proportion","spectral_NDVI_annualRange",0.82,82,0.82
"Woody Plant","Classification","Proportion","spectral_EVI2b_startSnowfree",0.95,95,0.95
"Woody Plant","Classification","Proportion","spectral_EVI2b_endSnowfree",0.88,88,0.88
"Woody Plant","Classification","Proportion","spectral_EVI2b_annualRange",0.75,75,0.75
"Woody Plant","Classification","Proportion","spectral_NDWI_peakSummer",0.74,74,0.74
"Woody Plant","Classification","Proportion","trees_presence",0.74,74,0.74
"Woody Plant","Classification","Proportion","spectral_NDWI_endSnowfree",0.72,72,0.72
"Woody Plant","Classification","Proportion","spectral_NDWI_lateSummer",0.72,72,0.72
"Woody Plant","Classification","Proportion","spectral_EVI2b_peakSummer",0.7,70,0.7
"Woody Plant","Classification","Proportion","spectral_NDWI_earlySummer",0.67,67,0.67
"Woody Plant","Classification","Proportion","spectral_EVI2b_earlySummer",0.65,65,0.65
"Woody Plant","Regression","Proportion","permafrost_index",0.99,99,0.99
"Woody Plant","Regression","Proportion","bioclimate zone",0.98,98,0.98
"Woody Plant","Regression","Proportion","spectral_EVI2b_annualRange",0.97,97,0.97
"Woody Plant","Regression","Proportion","texture_NDVI_peakSummer",0.97,97,0.97
"Woody Plant","Regression","Proportion","spectral_EVI2b_changeSSES",0.96,96,0.96
"Woody Plant","Regression","Proportion","spectral_NDWI_annualRange",0.96,96,0.96
"Woody Plant","Regression","Proportion","spectral_SWIR1_annualRange",0.94,94,0.94
"Woody Plant","Regression","Proportion","trees_presence",0.94,94,0.94
"Woody Plant","Regression","Proportion","spectral_NBR_annualRange",0.93,93,0.93
"Woody Plant","Regression","Proportion","spectral_SWIR2_annualRange",0.93,93,0.93
