ds_type,mod,ds_subset,axes,bias_adj,rmse,mae,bias,rsq,mape,rmspe
total,svmLinear_log,presence,original,uncorrected,911.1,504.13,-155.17,0.2,115,266
total,svmLinear_log,presence,log-log,uncorrected,1.52,1.09,-0.55,0.26,20,31
total,svmLinear_log,presence,original,binned_smear,903.57,618.36,152.31,0.1,278,846
total,svmLinear_log,presence,log-log,binned_smear,1052.61,874.78,874.74,0.15,14377,16959
total,svmPoly,all,original,uncorrected,548.27,234.55,-62.19,0.43,NA,338
total,svmPoly,all,log-log,uncorrected,1.91,1.21,0.66,0.67,NA,36
total,svmPoly,presence,original,uncorrected,766.4,436.99,-149.83,0.27,122,338
total,svmPoly,presence,log-log,uncorrected,1.37,0.88,-0.17,0.22,18,36
total,svmPoly_log,all,original,uncorrected,619.79,261.42,-93.92,0.34,Inf,244
total,svmPoly_log,all,log-log,uncorrected,1.37,0.93,-0.17,0.81,Inf,31
total,svmPoly_log,all,original,binned_smear,650.04,301.45,44.82,0.31,Inf,443
total,svmPoly_log,all,log-log,binned_smear,770.64,412.68,412.64,0.44,Inf,16426
total,svmPoly_log,presence,original,uncorrected,871.42,513.51,-189.21,0.21,108,244
total,svmPoly_log,presence,log-log,uncorrected,1.69,1.25,-0.74,0.27,23,31
total,svmPoly_log,presence,original,binned_smear,910.04,575.84,71.78,0.14,199,443
total,svmPoly_log,presence,log-log,binned_smear,1079.21,794.29,794.22,0.16,12720,16426
woody,linearBaseline_log,all,original,uncorrected,588.82,209.98,-119.11,0.23,Inf,17952
woody,linearBaseline_log,all,log-log,uncorrected,1.54,1.06,0.03,0.71,Inf,170
woody,linearBaseline_log,all,original,binned_smear,606.31,252.49,57.69,0.28,Inf,39802
woody,linearBaseline_log,all,log-log,binned_smear,653.02,307.67,307.66,0.31,Inf,42606
woody,linearBaseline_log,presence,original,uncorrected,801.14,386.14,-223.19,0.14,Inf,17952
woody,linearBaseline_log,presence,log-log,uncorrected,1.85,1.36,-0.25,0.2,Inf,170
woody,linearBaseline_log,presence,original,binned_smear,823.78,458.24,98.31,0.19,Inf,39802
woody,linearBaseline_log,presence,log-log,binned_smear,887.3,560.19,560.18,0.1,Inf,42606
woody,rf,all,original,uncorrected,406.12,171.98,25.96,0.62,NA,12001
woody,rf,all,log-log,uncorrected,2.12,1.54,0.99,0.59,NA,191
woody,rf,presence,original,uncorrected,548.08,300.26,29.91,0.57,Inf,12001
woody,rf,presence,log-log,uncorrected,1.81,1.23,0.67,0.25,Inf,191
woody,rf_log,all,original,uncorrected,503.71,167.11,-106.17,0.49,Inf,6005
woody,rf_log,all,log-log,uncorrected,1.33,0.76,0.05,0.78,NA,156
woody,rf_log,all,original,binned_smear,478.44,165.19,-54.56,0.47,Inf,8393
woody,rf_log,all,log-log,binned_smear,459.46,194.99,194.89,0.35,Inf,16029
woody,rf_log,presence,original,uncorrected,685.37,307.8,-198.19,0.42,Inf,6005
woody,rf_log,presence,log-log,uncorrected,1.74,1.22,-0.09,0.25,Inf,156
woody,rf_log,presence,original,binned_smear,650.96,304.06,-102.82,0.4,Inf,8393
woody,rf_log,presence,log-log,binned_smear,625.14,359.24,359.05,0.24,Inf,16029
woody,lgbm,all,original,uncorrected,469.02,187.36,35.96,0.53,NA,17750
woody,lgbm,all,log-log,uncorrected,2.04,1.34,0.89,0.6,NA,194
woody,lgbm,presence,original,uncorrected,635.2,328.01,47.69,0.47,Inf,17750
woody,lgbm,presence,log-log,uncorrected,1.85,1.26,0.49,0.24,Inf,194
woody,lgbm_log,all,original,uncorrected,510.91,175.88,-74.15,0.4,Inf,4014
woody,lgbm_log,all,log-log,uncorrected,1.35,0.78,0.06,0.78,Inf,145
woody,lgbm_log,all,original,binned_smear,505.13,176.95,-59.88,0.41,Inf,4304
woody,lgbm_log,all,log-log,binned_smear,475.44,189.67,189.57,0.31,Inf,11897
woody,lgbm_log,presence,original,uncorrected,695.18,324.13,-138.83,0.33,Inf,4014
woody,lgbm_log,presence,log-log,uncorrected,1.75,1.23,-0.02,0.26,Inf,145
woody,lgbm_log,presence,original,binned_smear,687.26,325.44,-113.07,0.34,Inf,4304
woody,lgbm_log,presence,log-log,binned_smear,646.86,348.99,348.8,0.21,Inf,11897
woody,xgb,all,original,uncorrected,451.13,178.67,14.92,0.54,NA,12035
