dataset_id,citation_short,site_code,plot_code,coord_type,year,latitude,longitude
ds01,Baillargeon et al. 2022,USA.YukonKuskokwimDelta.UB3,USA.YukonKuskokwimDelta.UB3.35,site,2018,61.237811,-163.209211
ds01,Baillargeon et al. 2022,USA.YukonKuskokwimDelta.UB4,USA.YukonKuskokwimDelta.UB4.51,site,2018,61.26097,-163.24286
ds01,Baillargeon et al. 2022,USA.YukonKuskokwimDelta.UB4,USA.YukonKuskokwimDelta.UB4.53,site,2018,61.26097,-163.24286
ds01,Baillargeon et al. 2022,USA.YukonKuskokwimDelta.UB5,USA.YukonKuskokwimDelta.UB5.10,plot,2019,61.23665,-163.22282
ds01,Baillargeon et al. 2022,USA.YukonKuskokwimDelta.UB5,USA.YukonKuskokwimDelta.UB5.12,plot,2019,61.23673,-163.22276
ds01,Baillargeon et al. 2022,USA.YukonKuskokwimDelta.UB5,USA.YukonKuskokwimDelta.UB5.8,plot,2019,61.23656,-163.22276
ds01,Baillargeon et al. 2022,USA.YukonKuskokwimDelta.UB6,USA.YukonKuskokwimDelta.UB6.26,plot,2019,61.29157,-163.34142
ds01,Baillargeon et al. 2022,USA.YukonKuskokwimDelta.UB6,USA.YukonKuskokwimDelta.UB6.28,plot,2019,61.28391,-163.34811
ds01,Baillargeon et al. 2022,USA.YukonKuskokwimDelta.UB6,USA.YukonKuskokwimDelta.UB6.30,plot,2019,61.28381,-163.34811
ds01,Baillargeon et al. 2022,USA.YukonKuskokwimDelta.UB7,USA.YukonKuskokwimDelta.UB7.44,plot,2019,61.3322,-163.01625
ds01,Baillargeon et al. 2022,USA.YukonKuskokwimDelta.UB7,USA.YukonKuskokwimDelta.UB7.46,plot,2019,61.33209,-163.01602
ds01,Baillargeon et al. 2022,USA.YukonKuskokwimDelta.UB7,USA.YukonKuskokwimDelta.UB7.48,plot,2019,61.33209,-163.00804
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.1,USA.YukonKuskokwimDelta.1.1,plot,2016,61.273606,-163.229998
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.1,USA.YukonKuskokwimDelta.1.2,plot,2016,61.273837,-163.229842
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.1,USA.YukonKuskokwimDelta.1.3,plot,2016,61.274249,-163.230039
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.2,USA.YukonKuskokwimDelta.2.1,plot,2016,61.270293,-163.240968
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.2,USA.YukonKuskokwimDelta.2.2,plot,2016,61.270428,-163.241266
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.2,USA.YukonKuskokwimDelta.2.3,plot,2016,61.270543,-163.241547
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.3,USA.YukonKuskokwimDelta.3.1,plot,2016,61.186719,-162.790764
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.3,USA.YukonKuskokwimDelta.3.2,plot,2016,61.186945,-162.791062
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.3,USA.YukonKuskokwimDelta.3.3,plot,2016,61.187138,-162.791429
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.4,USA.YukonKuskokwimDelta.4.1,plot,2016,61.200177,-162.789621
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.4,USA.YukonKuskokwimDelta.4.2,plot,2016,61.200431,-162.789713
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.4,USA.YukonKuskokwimDelta.4.3,plot,2016,61.200698,-162.78977
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.5,USA.YukonKuskokwimDelta.5.1,plot,2016,61.278231,-162.630852
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.5,USA.YukonKuskokwimDelta.5.2,plot,2016,61.277947,-162.630751
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.5,USA.YukonKuskokwimDelta.5.3,plot,2016,61.2777,-162.630726
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.6,USA.YukonKuskokwimDelta.6.1,plot,2016,61.259227,-162.629357
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.6,USA.YukonKuskokwimDelta.6.2,plot,2016,61.258964,-162.629515
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.6,USA.YukonKuskokwimDelta.6.3,plot,2016,61.25872,-162.62972
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.72B2,USA.YukonKuskokwimDelta.72B2.1,plot,2017,61.35168,-163.02261
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.72B3,USA.YukonKuskokwimDelta.72B3.3,plot,2017,61.29202,-163.36098
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.72B4,USA.YukonKuskokwimDelta.72B4.2,plot,2017,61.24974,-163.20647
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.B,USA.YukonKuskokwimDelta.B.1,plot,2017,61.25985,-163.24033
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.B,USA.YukonKuskokwimDelta.B.2,plot,2017,61.3208,-163.24312
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.B,USA.YukonKuskokwimDelta.B.3,plot,2017,61.27071,-163.23524
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.U,USA.YukonKuskokwimDelta.U.1,plot,2017,61.25816,-163.24728
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.U,USA.YukonKuskokwimDelta.U.2,plot,2017,61.32074,-163.2437
ds02,Ludwig et al. 2018,USA.YukonKuskokwimDelta.U,USA.YukonKuskokwimDelta.U.3,plot,2017,61.27041,-163.2373
ds03,Salmon et al. 2019,USA.Kougaork.GraminoidShrub,USA.Kougaork.GraminoidShrub.TT-1,plot,2016,65.16138,-164.82263
ds03,Salmon et al. 2019,USA.Kougaork.GraminoidShrub,USA.Kougaork.GraminoidShrub.TT-2,plot,2016,65.16225,-164.80856
ds03,Salmon et al. 2019,USA.Kougaork.GraminoidShrub,USA.Kougaork.GraminoidShrub.TT-WBT-1,plot,2016,65.16661,-164.81551
ds03,Salmon et al. 2019,USA.Kougaork.GraminoidShrub,USA.Kougaork.GraminoidShrub.TT-WBT-3,plot,2016,65.16189,-164.81422
ds03,Salmon et al. 2019,USA.Kougaork.LowShrub,USA.Kougaork.LowShrub.DSLT-1,plot,2016,65.1655,-164.82451
ds03,Salmon et al. 2019,USA.Kougaork.LowShrub,USA.Kougaork.LowShrub.DSLT-3,plot,2016,65.16244,-164.83061
ds03,Salmon et al. 2019,USA.Kougaork.LowShrub,USA.Kougaork.LowShrub.NAMC-1,plot,2016,65.16416,-164.82581
ds03,Salmon et al. 2019,USA.Kougaork.LowShrub,USA.Kougaork.LowShrub.NAMC-3,plot,2016,65.16119,-164.82651
ds03,Salmon et al. 2019,USA.Kougaork.TallShrub,USA.Kougaork.TallShrub.AS-1,plot,2016,65.16483,-164.82314
ds03,Salmon et al. 2019,USA.Kougaork.TallShrub,USA.Kougaork.TallShrub.AS-2,plot,2016,65.15861,-164.82213
ds03,Salmon et al. 2019,USA.Kougaork.TallShrub,USA.Kougaork.TallShrub.WBT-1,plot,2016,65.16422,-164.8308
ds03,Salmon et al. 2019,USA.Kougaork.TallShrub,USA.Kougaork.TallShrub.WBT-2,plot,2016,65.16101,-164.83
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.001,Finland.Kilpisjarvi.001.EA,plot,2016,69.056944,20.811321
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.001,Finland.Kilpisjarvi.001.EB,plot,2016,69.056977,20.811432
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.002,Finland.Kilpisjarvi.002.EA,plot,2016,69.056901,20.811566
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.002,Finland.Kilpisjarvi.002.EB,plot,2016,69.056922,20.811768
