dataset_id,citation_short,site_code,bioclim_zone,mat_degC,gdd_degC,map_mm,latitude,longitude
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.038,Oroarctic,-2.14999999999998,989.9,740.7,69.0561435,20.81338
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.040,Oroarctic,-2.14999999999998,989.9,740.7,69.056155,20.8146235
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.043,Oroarctic,-2.14999999999998,989.9,740.7,69.055979,20.8120476
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.045,Oroarctic,-2.14999999999998,989.9,740.7,69.0560705,20.8131088333333
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.047,Oroarctic,-2.14999999999998,989.9,740.7,69.0561268,20.8142976
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.068,Oroarctic,-2.14999999999998,989.9,740.7,69.0557185,20.8123775
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.072,Oroarctic,-2.14999999999998,989.9,740.7,69.055765,20.81479
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.074,Oroarctic,-2.14999999999998,989.9,740.7,69.055491,20.81148
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.075,Oroarctic,-2.14999999999998,989.9,740.7,69.055554,20.8120235
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.076,Oroarctic,-2.14999999999998,989.9,740.7,69.0555745,20.8127585
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.077,Oroarctic,-2.14999999999998,989.9,740.7,69.0556116666667,20.8132275
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.084,Oroarctic,-2.14999999999998,989.9,740.7,69.0554668333333,20.8123451666667
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.086,Oroarctic,-2.14999999999998,989.9,740.7,69.0554911666667,20.8136886666667
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.091,Oroarctic,-2.14999999999998,989.9,740.7,69.0553065,20.8121225
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.092,Oroarctic,-2.14999999999998,989.9,740.7,69.055386,20.812792
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1003,Oroarctic,-2.84999999999997,858.2,796.7,69.054028,20.832624
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1009,Oroarctic,-2.14999999999998,989.9,740.7,69.056715,20.831841
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1015,Oroarctic,-2.24999999999994,967.2,788.5,69.059356,20.831064
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1021,Oroarctic,-2.24999999999994,967.2,788.5,69.062024,20.830322
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1027,Oroarctic,-2.24999999999994,967.2,788.5,69.064702,20.829493
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.103,Oroarctic,-1.24999999999994,1150.6,687.5,69.0619,20.8014695
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1033,Oroarctic,-2.24999999999994,967.2,788.5,69.067405,20.828974
